QUALITY MANAGEMENT SYSTEM  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPECTION AND TEST PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:,,,Bourke Street Zetland,Inspector,,Authorised by Client:,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared by:        Daniel Wade 
BUILDER:,,,Binah ,X:  Inspection,Pre-Con,Revision:,,A,Ref : ,,,,,,,,,,,,,,,,,,,,,,,
ITP No.,,,ITP-J282,H: Hold Point,Rough-in ,Date:,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Process: ,,,MECH,W: Witness Point,Fit-off ,Supervisor Name  ,,,Daniel Wade ,,,,,,,,,,,,,,,,,,,,,,,
Criteria ,Pre-Con,Pre-Con,Pre-Con,Pre-Con,,Rough-in ,,Rough-in ,Rough-in ,Rough-in ,Rough-in ,Rough-in ,,,Rough-in ,Rough-in ,,Fit-off ,Fit-off ,Fit-off ,Fit-off ,Fit-off ,Fit-off ,,Fit-off ,Fit-off ,Fit-off ,Fit-off ,,,,
3.08,AC-3.08-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.08-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.08,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.09,AC-3.09-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.09-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.09,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.10,AC-3.10-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.10-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.10,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.11,AC-3.11-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.11-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.11,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.12,AC-3.12-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.12-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.12,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.13,AC-3.13-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.13-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.13,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.14,AC-3.14-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.14-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.14,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.15,AC-3.15-L1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-3.15-L2,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-3.15-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.15,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.16,AC-3.16-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.16-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.16,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.17,AC-3.17-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.17-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.17,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.18,AC-3.18-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.18-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.18,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.19,AC-3.19-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.19-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.19,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.20,AC-3.20-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.20-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.20,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.21,AC-3.21-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.21-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.21,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.22,AC-3.22-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.22-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.23,AC-3.23-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.23-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.23,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.24,AC-3.24-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.24-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.24,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
Level 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.01,AC-4.01-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.01-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.02,AC-4.02-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.02-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.02,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.03,AC-4.03-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.03-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.03,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.04,AC-4.04-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.04-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.04,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.05,AC-4.05-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.05-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.06,AC-4.06-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.06-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.06,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.07,AC-4.07-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.07-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.07,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.08,AC-4.08-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.08-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.09,AC-4.09-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.09-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.10,AC-4.10-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.10-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.10,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.11,AC-4.11-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.11-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.11,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.12,AC-4.12-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.12-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.12,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.13,AC-4.13-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.13-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.13,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.14,AC-4.14-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.14-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.14,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.15,AC-4.15-L1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-4.15-L2,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-4.15-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.15,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.16,AC-4.16-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.16-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.16,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.17,AC-4.17-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.17-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.17,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.18,AC-4.18-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.18-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.18,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.19,AC-4.19-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.19-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.19,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.20,AC-4.20-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.20-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.20,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.21,AC-4.21-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-4.21-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.21,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.22,AC-4.22-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.22-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.22,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.23,AC-4.23-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.23-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.23,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
4.24,AC-4.24-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-4.24-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-4.24,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
Level 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.01,AC-5.01-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.01-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.01,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.02,AC-5.02-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0301BHP-E,,,,,
,AC-5.02-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.02,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.03,AC-5.03-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0271BHP-E,,,,,
,AC-5.03-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.03,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.04,AC-5.04-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.04-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.04,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.05,AC-5.05-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.05-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0151SPHY-E,,,,,
,CU-5.05,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.06,AC-5.06-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.06-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0151SPHY-E,,,,,
,CU-5.06,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.07,AC-5.07-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.07-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.07,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.08,AC-5.08-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.08-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.08,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.09,AC-5.09-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0271BHP-E,,,,,
,AC-5.09-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.09,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.10,AC-5.10-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0361BHP-E,,,,,
,AC-5.10-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.10,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.11,AC-5.11-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.11-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.11,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.12,AC-5.12-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.12-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.12,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.13,AC-5.13-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.13-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.13,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.14,AC-5.14-L1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,AC-5.14-L2,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,AC-5.14-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.14,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.15,AC-5.15-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.15-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.15,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.16,AC-5.16-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.16-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.16,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.17,AC-5.17-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.17-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,CU-5.17,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.18,AC-5.18-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-5.18-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.18,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.19,AC-5.19-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0301BHP-E,,,,,
,AC-5.19-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.19,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
5.20,AC-5.20-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0361BHP-E,,,,,
,AC-5.20-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.20,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0504HS-A,,,,,
5.21,AC-5.21-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-5.21-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-5.21,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
