"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d9f307d-1629-5cf5-9edd-a12cbe5d47f5","","holdpoint","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-FEEDBACK AND SETPOINT","TH13/14 Control Valve-FEEDBACK AND SETPOINT","All relevant signatures (Installed by, Approved by, Client Representative)"
"07969bc8-6218-49f1-9489-634f04810e04","","folder-normal","not-started","","step","TRUE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER"
"a1e6a951-7da7-4202-ada3-f503fc49af83","","checklist-flat","not-started","ITR-CL-1-130 Pressure Instrument Installation","checklist-flat","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER"
"d4c1e317-ed2d-54d2-9c70-042a3627dd53","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","Pressure Instrument Installation"
"b57c26fa-50f7-54a4-a9c8-e9429a36745e","","holdpoint","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","All relevant signatures (Installed by, Approved by, Client Representative)"
"ee763689-ee3c-48e6-8530-10d806cd7454","","checklist-sectioned","not-started","ITP-I05B ENTEC - Instrument Loop Check","checklist","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITP-I05B ENTEC - Instrument Loop Check"
"ee87b263-4606-57f2-9d4c-851a4ac1d2eb","","checkpoint-group","not-started","","","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITP-I05B ENTEC - Instrument Loop Check","Details"
"440cb445-b69b-5ef4-aed0-7af922014e8c","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITP-I05B ENTEC - Instrument Loop Check","Details","Please upload ITP here when complete"
"5468d20d-5615-4653-81dc-b62f05d3c5c9","","checklist-flat","not-started","ITR-CL-1-122 Instrument Calibration","checklist-flat","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-122 Instrument Calibration"
"43ab3b45-3c35-504e-9f32-49956c9de2d5","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-122 Instrument Calibration","Required Data"
"c50fee20-8d89-59f9-9012-3a4f1976b8b2","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-122 Instrument Calibration","Instrument Power Supply"
"876a68e5-51d9-511f-bf7f-bf311d22314c","","holdpoint","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-122 Instrument Calibration","All relevant signatures (Installed by, Approved by, Client Representative)"
