"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7fb5dcb-864d-4df6-97e3-0c36e86f272d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"bba66228-5cbf-4ed0-a025-fd7efd218ffd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"891fcc24-1c60-4bdc-8e4a-1d7735c0c195","","checklist-sectioned","work-in-progress","c71d241eff5be67b2b78867b32e286c30e424d8a15b1441cd158a6f013a6a5cd","checklist","FALSE","FALSE","Site QA","Level 1","External"
"44fe3c77-7bbf-5177-9727-c154ba557a49","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Site QA","Level 1","External","Eastside"
"616654ad-b1ea-525e-8f24-6c606821e64c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","External","Westside","Horizontal sunshade installed"
"a2170d2a-eefa-5364-bfc1-2e666ee88283","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","External","Westside","Vertical fins detail installed"
"66c974f8-77d1-5caf-bdd6-fe87da8a73a0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","External","Westside","All end caps to feature completed"
"f796c444-a9ff-5abc-ba52-9433a255f34d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","External","Westside","All external trimming completed"
"8d73e798-9457-5545-85bc-7ef61f6e2889","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","External","Westside","All external sealing completed"
"b35401a8-0625-41cd-a9b5-992e083e0bf5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","External","Westside","Water testing Subsill"
"8b0bd461-45b6-4688-ae92-898b3bf5dd18","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 10","Lobby"
"143c0fc4-f771-4a4d-8c1a-d95e83c57a24","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","Lobby","LOUV"
"fa65b230-d87b-5c55-a474-22f8bdf5651f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Waterproofing angle completed"
"b15d5da3-65cf-5b0d-b767-52bdaa1f2910","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Installation of sub-sill and caulked"
"407bffa0-0579-50e3-944f-d9340e2315d6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Installation of sub-head and caulked"
"c77fa9ef-20c4-5434-bbaa-5cadadbf8bbb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Install frames including trims to doors"
"4e95b100-cb53-5b03-ac1a-3420cf7dad97","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Install windows and trimming"
"fa4edfa8-6dae-5bdb-91e2-f5705453b51e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Install door panels"
"967d889a-e8b9-5847-bf35-a0d4066d7726","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Installation of all hardware"
"c63db189-1d39-5357-878e-1bd1d8bdbf62","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Ensure all external and internal angles are sealed"
"5abdb93f-e686-5382-a394-bb7ea91c182c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","LOUV","Handover"
"16e2e6db-7fd3-4bd7-bbde-daa30cec80e6","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","Lobby","W09-W"
"33801342-637a-5c0c-a84c-e89e3322d790","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Waterproofing angle completed"
"4dbfb569-221f-529f-b343-86e01a4a66cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Installation of sub-sill and caulked"
"eacb5de1-fc80-5ef8-a348-81dbb8c29c8f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Installation of sub-head and caulked"
"7bace3b9-4fc2-5aac-9f5b-b124dd6fae50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Install frames including trims to doors"
"1d2ca8a5-2942-5e19-b37c-528a50064ca4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Install windows and trimming"
"95f0be95-d116-5233-bcad-edd5dfb1df6a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Install door panels"
"2e41457e-a0e9-5cd7-93d4-939737697b04","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Installation of all hardware"
"8434da8d-f477-55cd-8c9c-51b838455c77","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Ensure all external and internal angles are sealed"
"03008c46-f75d-51dc-b806-2982c0125d1e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-W","Handover"
"ee7bb32a-b890-4b78-99f6-1219cbb035fe","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","Lobby","W09-E"
"961bcb14-778e-5a83-a4fb-4e9d688a60b6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Waterproofing angle completed"
"e40ddf7d-24ef-5917-8b08-327702a9d571","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Installation of sub-sill and caulked"
"b61ee7a2-f624-5e20-bdbc-afb851e601fa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Installation of sub-head and caulked"
"a991e1c0-7d53-5215-97f1-6cc11cc3cafb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Install frames including trims to doors"
"e22205a4-2b80-54b1-b02c-d83c311e990a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Install windows and trimming"
"0c786b65-4196-5a7c-929b-203e4b4ebdd2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Install door panels"
"8defd9d3-d7db-5d1d-aa5e-427144723048","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Installation of all hardware"
"ea41c2f2-1905-5717-91b7-332be193d6b2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Ensure all external and internal angles are sealed"
"f23e2861-c275-5d46-89c1-e1f6613732f5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W09-E","Handover"
"c12a4c80-231b-4459-87c5-1b10626bcd45","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","Lobby","W08"
"f8ce93c8-ecdf-550d-9060-9732346b5507","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Waterproofing angle completed"
"09e01d32-5480-5734-801a-2d66e325f40d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Installation of sub-sill and caulked"
"c83a9798-13aa-55e5-a268-3579b7529978","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Installation of sub-head and caulked"
"1b422e60-3e29-561f-8b6f-0eb76c9da88a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Install frames including trims to doors"
"217a7545-034d-5df6-b5e9-89ba02751399","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Install windows and trimming"
"9e51de0a-5fe4-5e65-a954-c7921a2684c3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Install door panels"
"b3602284-6a33-5888-a0be-f1b2b6748230","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Installation of all hardware"
"1d6829d9-71eb-524f-8e56-92d7b9720cba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Ensure all external and internal angles are sealed"
"f648a395-d475-5504-91bf-a99113ce51cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","Lobby","W08","Handover"
"4831c30b-a10e-441a-98e4-18156b42fc25","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 10","1001"
"e240e073-2b8f-4a2e-ad26-d950cbcdb07d","","checklist-flat","work-in-progress","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1001","W07-L"
"d123cc79-fa16-5a3e-a364-5da6d7bd145d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Waterproofing angle completed"
"5c4d7242-1632-5ea5-b4ee-d3ade59351e3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Installation of sub-sill and caulked"
"d7af27e5-67fa-5e44-a454-52f9e3a14515","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Installation of sub-head and caulked"
"e8574735-0d60-5fa3-a72b-5bb4857093e0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Install frames including trims to doors"
"bab008e5-8928-5aaa-96cc-6bde3d0f3960","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Install windows and trimming"
"a3e6c7c0-fb07-5875-94ac-5123b1e2ee80","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Install door panels"
"c75a75f1-171f-524d-9168-25fa14d90af5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Installation of all hardware"
"828a3fa6-2d17-5af3-92fa-9378edcf2714","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Ensure all external and internal angles are sealed"
"ee5a79d1-7749-5a71-b4e4-eb9af88af462","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W07-L","Handover"
"12720868-89d0-48f7-8c7a-30a8fe2a71a3","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1001","W02-J"
"5d3f38c9-1407-5826-8d5e-f5544152dcdc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Waterproofing angle completed"
"962b3f4a-9b47-5b38-95f4-ccc25d0612a5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Installation of sub-sill and caulked"
"d28a624e-3815-5b21-a91f-dc845c2bd491","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Installation of sub-head and caulked"
"8d1283ba-b07d-5284-83ae-16903d6ed9ae","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Install frames including trims to doors"
"da5d6d2b-8917-54ff-bfe3-441079baf40a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Install windows and trimming"
"2f01889e-f595-595e-8816-d9371393e39c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Install door panels"
"1cb75c2c-6405-5c03-9f56-2b41893f5d64","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Installation of all hardware"
"290a5f4d-0c0b-5b5c-bed0-9ae4f7a0636b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Ensure all external and internal angles are sealed"
"ff60796c-d1c4-528c-b9f5-88823dc96256","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W02-J","Handover"
"b3a3bfab-5f3c-4cb6-8d88-256fcb260169","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1001","W05-C"
"1c3a49a4-5b77-53ce-bf2a-b7198fa2b08d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Waterproofing angle completed"
"b0ebc7af-96dd-54f4-8995-3c5c92a89941","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Installation of sub-sill and caulked"
"1001d846-334b-52e3-9676-b83a49becfd4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Installation of sub-head and caulked"
"f0a03f77-5ceb-5328-a7c6-7dbb427aa549","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Install frames including trims to doors"
"15bfe555-c128-5429-a339-a0ce1ddb27fd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Install windows and trimming"
"36c7dc51-29e6-5207-ae3b-155f010402a1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Install door panels"
"20cb497c-c075-510b-95c2-b1bdb8e3336d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Installation of all hardware"
"b0442dd5-2ff4-579a-8b0f-6700597d59a4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Ensure all external and internal angles are sealed"
"fb38d387-2f0a-5ff2-899a-89e95ddbde9b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W05-C","Handover"
"bffdc197-3634-40fb-bbdc-1cd4d3ba3745","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1001","W01-E"
"bd3a6205-9c93-5160-97a7-011005d1dd5f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Waterproofing angle completed"
"991ea83d-b5a9-5b5f-a800-7672087fb2f5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Installation of sub-sill and caulked"
"ba793b91-3294-5a99-ba52-6a14c059332f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Installation of sub-head and caulked"
"443de378-ead2-5773-b7fa-82b9816b4694","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Install frames including trims to doors"
"46b27ccb-5a26-589f-9454-02c08d3b251e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Install windows and trimming"
"55529792-0835-534f-abbb-37834a0e05c0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Install door panels"
"acbe9231-d494-5b83-aba7-7e5e846e2119","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Installation of all hardware"
"2f22c956-e095-59f9-8699-fb7ea63f6510","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Ensure all external and internal angles are sealed"
"0e5242c8-650b-5ab1-be5c-9c2dfb9eb369","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1001","W01-E","Handover"
"4fdd2b24-74d0-4372-9aba-d84d5cd2e943","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 10","1002"
"c79703c6-8788-4083-b44e-ecde6ad154ca","","checklist-flat","work-in-progress","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1002","W07-F"
"ad9bd8b7-3306-5232-9130-41a16fb3045c","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Waterproofing angle completed"
"b7f90130-e8da-5b18-9447-ddb3ddc1f1c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Installation of sub-sill and caulked"
"d58c0b49-a99d-5ac9-aea4-5850f5f06c20","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Installation of sub-head and caulked"
"e2104c9c-4f89-5286-b774-08eff002a733","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Install frames including trims to doors"
"24b4c151-3ede-5466-8039-61a6fa3cbbc1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Install windows and trimming"
"ddf5fb85-1711-573a-9541-4de1c3ec1ec5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Install door panels"
"b75eeb14-7fd5-5321-ae1e-eb2731b0838e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Installation of all hardware"
"f26d2aa7-d8d5-5bb5-af7f-0d4bd3987b0b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Ensure all external and internal angles are sealed"
"4bdbb2c2-099d-5d9e-b6d5-df91ccc356cd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W07-F","Handover"
"8e61128f-ccff-4f18-8757-d68fcd75d304","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1002","W04-B"
"858a6873-2de0-59a0-b75e-29acf5158792","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Waterproofing angle completed"
"c68163b3-875c-5fd6-ad68-b853816c92ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Installation of sub-sill and caulked"
"1bd49494-c8ba-535b-9a8d-03624e53527a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Installation of sub-head and caulked"
"e41ed0a1-accb-557f-9bb6-e007e57d2a0b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Install frames including trims to doors"
"2b8d0ddc-2fbe-5b53-a64d-9cf61fab78f9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Install windows and trimming"
"c9bd8b58-0dfd-5431-9734-d2e66ba2f729","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Install door panels"
"5e6998fb-7d16-59c6-b120-7b82177577bc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Installation of all hardware"
"f3ae5415-83c2-51e6-8012-968ae5fca3c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Ensure all external and internal angles are sealed"
"090da5db-6ff4-5d19-a0da-b4a12951e781","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W04-B","Handover"
"e2dd0ef8-cb7a-4729-ae73-83ab834ba240","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1002","W05"
"b9bb64cb-9faf-51a3-84d6-87f86dfdf6a8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Waterproofing angle completed"
"c8ce9fec-5995-5980-a636-cd1c46fc5cb9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Installation of sub-sill and caulked"
"a42599ad-3842-5c28-85e1-ea419c630154","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Installation of sub-head and caulked"
"811bdd63-d2e0-518b-8d39-6b8fd5b52f85","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Install frames including trims to doors"
"c396f1d0-953e-5f43-8e5a-8ef1cc1b370e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Install windows and trimming"
"e0ea1180-8400-5428-b60e-98af3da34520","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Install door panels"
"05b2c5e2-6263-5720-86b0-f33f882a5260","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Installation of all hardware"
"b63cbdc6-c7b4-5509-af2c-f34432b2b4f0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Ensure all external and internal angles are sealed"
"b7895ae1-74d2-5c9f-bc04-0e78901f9d7d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W05","Handover"
"24279cc1-79a9-43d6-9280-c0d73e82010c","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1002","W01"
"d5afda02-2d73-50f1-9f3a-ef0223cdc761","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Waterproofing angle completed"
"cf5488c5-0e83-5e7a-be10-2cb6609e5345","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Installation of sub-sill and caulked"
"3cb542a8-8556-5bbe-a55d-97ca69f52ecf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Installation of sub-head and caulked"
"e34f13ec-bc0a-5086-a5b0-ca7fd021ac0d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Install frames including trims to doors"
"eddacb56-5384-5031-814e-9ee46526c92e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Install windows and trimming"
"31a9c33c-c704-5501-a287-862e8738aa0c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Install door panels"
"3d320e67-e0ae-574a-af58-6110bbc37c27","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Installation of all hardware"
"71e90b08-b056-5403-9a08-3e6fdf6c5985","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Ensure all external and internal angles are sealed"
"03ec3a9a-113d-537f-9437-dff2f33910e2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W01","Handover"
"f3b26f31-3559-4301-9b0e-a43b4c28d519","","checklist-flat","work-in-progress","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1002","W29"
"ca10ba7c-311b-5a20-8268-0d44a3317549","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Waterproofing angle completed"
"d9d5e722-1439-50f3-8798-642b94e798d1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Installation of sub-sill and caulked"
"5492a927-ab5c-565e-bfb4-9155c704ed58","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Installation of sub-head and caulked"
"610e6f11-6a0d-5760-8bde-c20670492aa9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Install frames including trims to doors"
"a4297df3-ae7d-5155-8584-129452552ce6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Install windows and trimming"
"e60e04d4-9f44-595f-980e-f28703ea04b0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Install door panels"
"9ce132cf-5b07-5d66-be0b-6211078e1c85","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Installation of all hardware"
"fa3e45d6-8123-5fcd-b3d6-a85cbcf88187","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Ensure all external and internal angles are sealed"
"f0131170-f34e-5e88-ab3a-4c24bf15e739","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1002","W29","Handover"
"c71a19d2-6efa-40c1-89b4-a6d990443e74","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 10","1003"
"65fbc28b-a426-45a3-9ecd-1a7774200b02","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1003","W32"
"646f11e0-7b9f-5da8-af0c-11442e80acfe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Waterproofing angle completed"
"c9c1058b-eadb-56e2-ae65-a6157fe467f8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Installation of sub-sill and caulked"
"6ba8b02f-e7af-5373-a7af-0278dd347cdf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Installation of sub-head and caulked"
"b1e65fe5-88f0-5999-ba7d-b9eeb3c34ef7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Install frames including trims to doors"
"688f8227-d05e-5cd1-9fac-e392c62bbdfe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Install windows and trimming"
"247f3d82-f330-5c9e-a8c7-f3559dbbc2fe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Install door panels"
"cc94c6c0-e2f4-54b9-b1e4-e13900f655e5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Installation of all hardware"
"d8912636-c952-5aa8-97d8-61b4cfaf664a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Ensure all external and internal angles are sealed"
"b63b3589-409e-5688-b467-6e244eafd099","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W32","Handover"
"c014eeb2-a351-4fb7-a7a8-5483e5fd4598","","checklist-flat","not-started","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 10","1003","W01"
"c674a185-4ee7-5a89-8164-5c9e2eb7985f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Waterproofing angle completed"
"43e220d6-8cc3-57f4-ad93-e23fd16cc070","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Installation of sub-sill and caulked"
"9f2aef80-3740-593d-9e71-3941c6e01f46","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Installation of sub-head and caulked"
"7862a737-e9ed-5dca-a33b-f84f0680b979","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Install frames including trims to doors"
"04f35c26-9da8-5918-b900-3bb681ab4ca1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Install windows and trimming"
"d58d95a5-3150-57e2-92ef-00f395311517","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Install door panels"
"e0a8d176-d7a9-55b2-a1cc-bcab17df188f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Installation of all hardware"
"28900d25-70a8-5ecb-a438-d1e4d092ddb5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 10","1003","W01","Ensure all external and internal angles are sealed"
