"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Plumbing Fit-Off - Common Area"
,"Scope",,
,"Rows"
,,"Common Area - B1","grouping","plumbing fit-off","common amenities (fit-off)","b1"
,,"8.1 FO Toilets & Cisterns Installation",,"8.1 fo toilets & cisterns installation"
,,"8.3 FO Wash Basins & Tapware Installation",,"8.3 fo wash basins & tapware installation"
,,"8.4 FO Showers & Tapware Installation",,"8.4 fo showers & tapware installation"
,,"8.5 FO Baths & Tapware Installation",,"8.5 fo baths & tapware installation"
,,"8.6 FO Kitchen Sinks & Tapware Installation",,"8.6 fo kitchen sinks & tapware installation"
,,"8.7 FO Dishwashers Installation",,"8.7 fo dishwashers installation"
,,"8.9 FO Washing Machine Stops Installation",,"8.9 fo washing machine stops installation"
,,"8.10 FO Wall Tundishes Installation",,"8.10 fo wall tundishes installation"
,,"8.12 FO Thermostatic Mixing Valve (TMV) Installation",,"8.12 fo thermostatic mixing valve (tmv) installation"
,,"8.13 FO Tempering Valve (TV) Installation",,"8.13 fo tempering valve (tv) installation"

"Plumbing Fit-Off - Podium Apartments (Fit-Off)"
,"Scope",,
,"Rows"
,,"L3 - D.03.01",,"d.03.01","podium apartments (fit-off)","plumbing fit-off","l3"
,,"L3 - D.03.02",,"podium apartments (fit-off)","d.03.02","plumbing fit-off","l3"
,,"L3 - D.03.03",,"podium apartments (fit-off)","plumbing fit-off","d.03.03","l3"
,,"L3 - D.03.04",,"podium apartments (fit-off)","plumbing fit-off","l3","d.03.04"
,,"L3 - D.03.05",,"podium apartments (fit-off)","plumbing fit-off","d.03.05","l3"
,,"L3 - D.03.06",,"podium apartments (fit-off)","plumbing fit-off","d.03.06","l3"
,,"L3 - D.03.07",,"podium apartments (fit-off)","plumbing fit-off","d.03.07","l3"
,,"L3 - D.03.08",,"podium apartments (fit-off)","plumbing fit-off","d.03.08","l3"
,,"L3 - D.03.09",,"d.03.09","podium apartments (fit-off)","plumbing fit-off","l3"
,,"L3 - D.03.10",,"podium apartments (fit-off)","plumbing fit-off","d.03.10","l3"
,,"L3 - D.03.11",,"podium apartments (fit-off)","plumbing fit-off","d.03.11","l3"
,,"L4 - D.04.01",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.01"
,,"L4 - D.04.02",,"l4","d.04.02","podium apartments (fit-off)","plumbing fit-off"
,,"L4 - D.04.03",,"l4","podium apartments (fit-off)","d.04.03","plumbing fit-off"
,,"L4 - D.04.04",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.04"
,,"L4 - D.04.05",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.05"
,,"L4 - D.04.06",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.06"
,,"L4 - D.04.07",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.07"
,,"L4 - D.04.08",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.08"
,,"L4 - D.04.09",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.09"
,,"L4 - D.04.10",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.10"
,,"L4 - D.04.11",,"l4","podium apartments (fit-off)","plumbing fit-off","d.04.11"
,,"L5 - D.05.01",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.01"
,,"L5 - D.05.02",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.02"
,,"L5 - D.05.03",,"podium apartments (fit-off)","l5","d.05.03","plumbing fit-off"
,,"L5 - D.05.04",,"d.05.04","podium apartments (fit-off)","l5","plumbing fit-off"
,,"L5 - D.05.05",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.05"
,,"L5 - D.05.06",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.06"
,,"L5 - D.05.07",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.07"
,,"L5 - D.05.08",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.08"
,,"L5 - D.05.09",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.09"
,,"L5 - D.05.10",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.10"
,,"L5 - D.05.11",,"podium apartments (fit-off)","l5","plumbing fit-off","d.05.11"
,,"L6 - D.06.01",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.01"
,,"L6 - D.06.02",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.02"
,,"L6 - D.06.03",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.03"
,,"L6 - D.06.04",,"podium apartments (fit-off)","d.06.04","plumbing fit-off","l6"
,,"L6 - D.06.05",,"d.06.05","podium apartments (fit-off)","plumbing fit-off","l6"
,,"L6 - D.06.06",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.06"
,,"L6 - D.06.07",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.07"
,,"L6 - D.06.08",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.08"
,,"L6 - D.06.09",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.09"
,,"L6 - D.06.10",,"podium apartments (fit-off)","plumbing fit-off","l6","d.06.10"
,,"L7 - D.07.01",,"podium apartments (fit-off)","plumbing fit-off","d.07.01","l7"
,,"L7 - D.07.02",,"podium apartments (fit-off)","plumbing fit-off","l7","d.07.02"
,,"L7 - D.07.03",,"podium apartments (fit-off)","plumbing fit-off","l7","d.07.03"
,,"L7 - D.07.04",,"podium apartments (fit-off)","plumbing fit-off","l7","d.07.04"
,,"L7 - D.07.05",,"podium apartments (fit-off)","plumbing fit-off","l7","d.07.05"
,,"L7 - D.07.06",,"podium apartments (fit-off)","plumbing fit-off","l7","d.07.06"
,,"L7 - D.07.07",,"d.07.07","podium apartments (fit-off)","plumbing fit-off","l7"
,,"L7 - D.07.08",,"podium apartments (fit-off)","d.07.08","plumbing fit-off","l7"
,,"L7 - D.07.09",,"podium apartments (fit-off)","plumbing fit-off","d.07.09","l7"
,,"L7 - D.07.10",,"d.07.10","podium apartments (fit-off)","plumbing fit-off","l7"
,,"L8 - D.08.01",,"podium apartments (fit-off)","d.08.01","plumbing fit-off","l8"
,,"L8 - D.08.02",,"podium apartments (fit-off)","plumbing fit-off","d.08.02","l8"
,,"L8 - D.08.03",,"podium apartments (fit-off)","plumbing fit-off","d.08.03","l8"
,,"L8 - D.08.04",,"podium apartments (fit-off)","plumbing fit-off","l8","d.08.04"
,,"L8 - D.08.05",,"podium apartments (fit-off)","plumbing fit-off","l8","d.08.05"
,,"L8 - D.08.06",,"podium apartments (fit-off)","plumbing fit-off","l8","d.08.06"
,,"L8 - D.08.07",,"podium apartments (fit-off)","plumbing fit-off","l8","d.08.07"
,,"L8 - D.08.08",,"d.08.08","podium apartments (fit-off)","plumbing fit-off","l8"
,,"L8 - D.08.09",,"podium apartments (fit-off)","d.08.09","plumbing fit-off","l8"
,,"L8 - D.08.10",,"podium apartments (fit-off)","plumbing fit-off","l8","d.08.10"
,,"L10 - D.10.01",,"podium apartments (fit-off)","d.10.01","plumbing fit-off","l10"
,,"L10 - D.10.02",,"d.10.02","podium apartments (fit-off)","plumbing fit-off","l10"
,,"L10 - D.10.03",,"podium apartments (fit-off)","plumbing fit-off","l10","d.10.03"
,,"L10 - D.10.04",,"podium apartments (fit-off)","plumbing fit-off","l10","d.10.04"
,,"L10 - D.10.05",,"podium apartments (fit-off)","plumbing fit-off","l10","d.10.05"
,"Columns"
,,"8.6 FO Kitchen Sinks & Tapware Installation",,"8.6 fo kitchen sinks & tapware installation"
,,"8.7 FO Dishwashers Installation",,"8.7 fo dishwashers installation"
,,"8.8 FO Laundry Trough & Tapware Installation",,"8.8 fo laundry trough & tapware installation"
,,"8.9 FO Washing Machine Stops Installation",,"8.9 fo washing machine stops installation"
,,"8.10 FO Wall Tundishes Installation",,"8.10 fo wall tundishes installation"
,,"8.1 FO Toilets & Cisterns Installation",,"8.1 fo toilets & cisterns installation"
,,"8.3 FO Wash Basins & Tapware Installation",,"8.3 fo wash basins & tapware installation"
,,"8.4 FO Showers & Tapware Installation",,"8.4 fo showers & tapware installation"
,,"8.5 FO Baths & Tapware Installation",,"8.5 fo baths & tapware installation"
,,"8.13 FO Tempering Valve (TV) Installation",,"8.13 fo tempering valve (tv) installation"
,,"8.12 FO Thermostatic Mixing Valve (TMV) Installation",,"8.12 fo thermostatic mixing valve (tmv) installation"

"Plumbing (Primary Mains) B4 - L29"
,"Scope",,
,"Rows"
,,"B4",,"plumbing (primary mains)","b4"
,,"B3",,"plumbing (primary mains)","b3"
,,"B2",,"b2","plumbing (primary mains)"
,,"B1",,"plumbing (primary mains)","b1"
,,"BMZ",,"plumbing (primary mains)","bmz"
,,"GL",,"plumbing (primary mains)","gl"
,,"L1",,"plumbing (primary mains)","l1"
,,"L2",,"plumbing (primary mains)","l2"
,,"L3",,"plumbing (primary mains)","l3"
,,"L4",,"l4","plumbing (primary mains)"
,,"L5",,"plumbing (primary mains)","l5"
,,"L6",,"plumbing (primary mains)","l6"
,,"L7",,"plumbing (primary mains)","l7"
,,"L8",,"l8","plumbing (primary mains)"
,,"L9",,"plumbing (primary mains)","l9"
,,"L9M",,"plumbing (primary mains)","l9m"
,,"L10",,"plumbing (primary mains)","l10"
,,"L11",,"plumbing (primary mains)","l11"
,,"L12",,"l12","plumbing (primary mains)"
,,"L13",,"plumbing (primary mains)","l13"
,,"L14",,"plumbing (primary mains)","l14"
,,"L15",,"plumbing (primary mains)","l15"
,,"L16",,"l16","plumbing (primary mains)"
,,"L17",,"plumbing (primary mains)","l17"
,,"L18",,"plumbing (primary mains)","l18"
,,"L19",,"plumbing (primary mains)","l19"
,,"L20",,"plumbing (primary mains)","l20"
,,"L21",,"plumbing (primary mains)","l21"
,,"L22",,"plumbing (primary mains)","l22"
,,"L23",,"l23","plumbing (primary mains)"
,,"L24",,"plumbing (primary mains)","l24"
,,"L25",,"plumbing (primary mains)","l25"
,,"L26",,"plumbing (primary mains)","l26"
,,"L27",,"l27","plumbing (primary mains)"
,,"L28",,"plumbing (primary mains)","l28"
,,"L29",,"plumbing (primary mains)","l29"
,"Columns"
,,"Sewer Drainage (Mains)",,"sewer drainage (mains)","plumbing (primary mains)"
,,"Greasy Drainage (Mains)",,"greasy drainage (mains)","plumbing (primary mains)"
,,"Cold Water (Mains)",,"plumbing (primary mains)","cold water (mains)"
,,"Hot Water (Mains)",,"plumbing (primary mains)","hot water (mains)"
,,"Rain Water (Mains)",,"plumbing (primary mains)","rain water (mains)"
,,"Natural Gas (Mains)",,"plumbing (primary mains)","natural gas (mains)"
,,"Syphonic Down Pipe (Mains)",,"plumbing (primary mains)","syphonic down pipe (mains)"
,,"Conventional Down Pipe (Mains)",,"plumbing (primary mains)","conventional down pipe (mains)"

"Plumbing (Sub-Mains/Rough-ins) - Common Amenities (Sub-Mains)"
,"Scope",,
,"Rows"
,,"B1","grouping","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","b1"
,,"cleaner room","expanded","cleaner room","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","b1"
,,"retail staff change rooms (m)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail staff change rooms (m)","b1"
,,"retail staff change rooms (f)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail staff change rooms (f)","b1"
,,"retail staff change rooms (d)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail staff change rooms (d)","b1"
,,"BMZ","grouping","common amenities (sub-mains)","bmz","plumbing (sub-mains/rough-ins)"
,,"GL","grouping","common amenities (sub-mains)","gl","plumbing (sub-mains/rough-ins)"
,,"public wc (m)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","public wc (m)","gl"
,,"public wc (f)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl","public wc (f)"
,,"public wc (d)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","public wc (d)","gl"
,,"retail 21","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl","retail 21"
,,"retail 22","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl","retail 22"
,,"retail 23","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail 23","gl"
,,"retail 27","expanded","retail 27","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl"
,,"retail 28","expanded","common amenities (sub-mains)","retail 28","plumbing (sub-mains/rough-ins)","gl"
,,"retail 29","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl","retail 29"
,,"retail 30","expanded","retail 30","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl"
,,"retail 31","expanded","common amenities (sub-mains)","retail 31","plumbing (sub-mains/rough-ins)","gl"
,,"retail 32","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl","retail 32"
,,"retail 33","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl","retail 33"
,,"retail 34","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail 34","gl"
,,"retail 35","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","gl","retail 35"
,,"retail 36","expanded","common amenities (sub-mains)","retail 36","plumbing (sub-mains/rough-ins)","gl"
,,"L1","grouping","common amenities (sub-mains)","l1","plumbing (sub-mains/rough-ins)"
,,"retail 37","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail 37","l1"
,,"retail 38","expanded","retail 38","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l1"
,,"retail 39","expanded","common amenities (sub-mains)","retail 39","plumbing (sub-mains/rough-ins)","l1"
,,"retail wc (m) 1","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l1","retail wc (m) 1"
,,"retail wc (f) 1","expanded","retail wc (f) 1","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l1"
,,"retail wc (d) 1","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail wc (d) 1","l1"
,,"cleaner room 1","expanded","cleaner room 1","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l1"
,,"retail wc (m) 2","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l1","retail wc (m) 2"
,,"retail wc (f) 2","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail wc (f) 2","l1"
,,"retail wc (d) 2","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","retail wc (d) 2","l1"
,,"cleaner room 2","expanded","common amenities (sub-mains)","cleaner room 2","plumbing (sub-mains/rough-ins)","l1"
,,"public wc (f)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l1","public wc (f)"
,,"public wc (d)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","public wc (d)","l1"
,,"L2","grouping","common amenities (sub-mains)","l2","plumbing (sub-mains/rough-ins)"
,,"treatment room (1)","expanded","treatment room (1)","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l2"
,,"treatment room (2)","expanded","common amenities (sub-mains)","treatment room (2)","plumbing (sub-mains/rough-ins)","l2"
,,"L6","grouping","common amenities (sub-mains)","l6","plumbing (sub-mains/rough-ins)"
,,"L7","grouping","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l7"
,,"L8","grouping","l8","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)"
,,"L9","grouping","common amenities (sub-mains)","l9","plumbing (sub-mains/rough-ins)"
,,"kitchen (1)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l9","kitchen (1)"
,,"kitchen (2)","expanded","kitchen (2)","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l9"
,,"residents wc (m)","expanded","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","residents wc (m)","l9"
,,"residents wc (f)","expanded","common amenities (sub-mains)","residents wc (f)","plumbing (sub-mains/rough-ins)","l9"
,,"residents wc (d)","expanded","residents wc (d)","common amenities (sub-mains)","plumbing (sub-mains/rough-ins)","l9"
,,"L10","grouping","common amenities (sub-mains)","l10","plumbing (sub-mains/rough-ins)"
,,"bar sink","expanded","bar sink","common amenities (sub-mains)","l10","plumbing (sub-mains/rough-ins)"
,,"public wc (unisex)","expanded","common amenities (sub-mains)","l10","plumbing (sub-mains/rough-ins)","public wc (unisex)"
,,"public wc (d)","expanded","common amenities (sub-mains)","l10","plumbing (sub-mains/rough-ins)","public wc (d)"
,"Columns"
,,"1.4 SD Sewer Wastes & Vents (Low Level)",,"1.4 sd sewer wastes & vents (low level)"
,,"4.4 CW Cold Water Rough-in (Low Level)",,"4.4 cw cold water rough-in (low level)"
,,"5.4 HW Hot Water Rough-in (Low Level)",,"5.4 hw hot water rough-in (low level)"
,,"12.0 SC Sub-Contractor Works - Internal",,"12.0 sc sub-contractor works - internal"
,,"6.4 RW Recycled Water Rough-in (Low Level)",,"6.4 rw recycled water rough-in (low level)"
,,"7.4 NG Natural Gas Rough-in (Low Level)",,"7.4 ng natural gas rough-in (low level)"
,,"12.0 SC Sub-Contractor Works - Internal",,"12.0 sc sub-contractor works - internal"

"Plumbing (Sub-Mains/Rough-ins) - Hotel Suites (Sub-Mains)"
,"Scope",,
,"Rows"
,,"L3","grouping","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h10","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h10","l3"
,,"h11","expanded","h11","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h12","expanded","h12","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h13","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h13","l3"
,,"h14","expanded","h14","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h15","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h15","l3"
,,"h16","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h16","l3"
,,"h17","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3","h17"
,,"h18","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h18","l3"
,,"h19","expanded","h19","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h20","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3","h20"
,,"h21","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h21","l3"
,,"h22","expanded","h22","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h23","expanded","h23","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h24","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h24","l3"
,,"h25","expanded","h25","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3"
,,"h26","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h26","l3"
,,"h27","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h27","l3"
,,"h28","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l3","h28"
,,"L4","grouping","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h10","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h10"
,,"h11","expanded","l4","h11","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h12","expanded","l4","h12","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h13","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h13"
,,"h14","expanded","l4","h14","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h15","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h15"
,,"h16","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h16"
,,"h17","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h17"
,,"h18","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h18"
,,"h19","expanded","l4","h19","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h20","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h20"
,,"h21","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h21"
,,"h22","expanded","l4","h22","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h23","expanded","l4","h23","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h24","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h24"
,,"h25","expanded","l4","h25","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h26","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h26"
,,"h27","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h27"
,,"h28","expanded","l4","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h28"
,,"L5","grouping","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h10","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h10"
,,"h11","expanded","l5","h11","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h12","expanded","h12","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h13","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h13"
,,"h14","expanded","l5","h14","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h15","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h15"
,,"h16","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h16"
,,"h17","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h17"
,,"h18","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h18"
,,"h19","expanded","h19","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h20","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h20"
,,"h21","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h21"
,,"h22","expanded","l5","h22","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h23","expanded","h23","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h24","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h24"
,,"h25","expanded","l5","h25","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h26","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h26"
,,"h27","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h27"
,,"h28","expanded","l5","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h28"
,,"L6","grouping","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h10","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h10"
,,"h11","expanded","h11","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h12","expanded","h12","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h13","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h13"
,,"h14","expanded","l6","h14","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h15","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h15"
,,"h16","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h16"
,,"h17","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h17"
,,"h18","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h18"
,,"h19","expanded","h19","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h20","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h20"
,,"h21","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h21"
,,"h22","expanded","h22","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h23","expanded","h23","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h24","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h24"
,,"h25","expanded","l6","h25","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h26","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h26"
,,"h27","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h27"
,,"h28","expanded","l6","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h28"
,,"L7","grouping","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h10","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h10"
,,"h11","expanded","h11","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h12","expanded","h12","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h13","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h13"
,,"h14","expanded","h14","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h15","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h15"
,,"h16","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h16"
,,"h17","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h17"
,,"h18","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h18"
,,"h19","expanded","h19","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h20","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h20"
,,"h21","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h21"
,,"h22","expanded","h22","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h23","expanded","h23","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h24","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h24"
,,"h25","expanded","h25","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7"
,,"h26","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h26"
,,"h27","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h27"
,,"h28","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l7","h28"
,,"L8","grouping","l8","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)"
,,"h10","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h10"
,,"h11","expanded","h11","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8"
,,"h12","expanded","h12","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8"
,,"h13","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","h13","l8"
,,"h14","expanded","h14","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8"
,,"h15","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h15"
,,"h16","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h16"
,,"h17","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h17"
,,"h18","expanded","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8","h18"
,,"h19","expanded","h19","plumbing (sub-mains/rough-ins)","hotel suites (sub-mains)","l8"
