"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"76ab6bd4-7f7e-4e58-8be8-e22f6b980793","","checklist-sectioned","work-in-progress","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","6) ITP-006 Stormwater","SYM-PURL-SWD-1D-2 (PV-2.6.1 to PV-2.6.2)  - ACTUAL"
"8a74ff9e-9b13-496c-80aa-3e848b8a1992","","checklist-sectioned","work-in-progress","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","6) ITP-006 Stormwater","SYM-PURL-SWD-1D-3 (PV-2.6.2 to PV-2.6.4)"
"59baa641-9d0d-49d1-a8cb-6cc1443364af","","checklist-sectioned","pass","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","6) ITP-006 Stormwater","SYM-PURL-SWD-1D-4 (PV-2.6.4 to PV-2.6.5)"
"20ebfa6b-ce95-4a4b-874e-1a6e86904e0d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","7) ITP-007 - Subsurface Drainage"
"af613729-d0fc-4c3d-93dc-beb7eaec47e2","","checklist-sectioned","pass","SYM-ITP-007 - Subsurface Drainage (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","7) ITP-007 - Subsurface Drainage","SYM-PURL-SSD-1D-1 (AGI ACROSS GRATTAN ST INTERSECTION)"
"c977f68d-bb12-4579-8c78-1ba572bd7319","","checklist-sectioned","work-in-progress","SYM-ITP-007 - Subsurface Drainage (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","7) ITP-007 - Subsurface Drainage","SYM-PURL-SSD-1D-2 (AGI B.O.K)"
"e89f9e6f-b753-4a1f-9fb2-be1837997539","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","8) ITP-008 Insitu Concrete Elements"
"773bf6b1-2746-4a28-ab92-4534347d1603","","checklist-sectioned","work-in-progress","SYM-ITP-008 - Insitu Concrete Elements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","8) ITP-008 Insitu Concrete Elements","SYM-PURL-ICE-1D-1 (DISPLAN CABINET FOOTING)"
"d9f37d9c-ff19-4688-83bc-12a46eaff884","","checklist-sectioned","pass","SYM-ITP-008 - Insitu Concrete Elements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","8) ITP-008 Insitu Concrete Elements","SYM-PURL-ICE-1D-2 (PV-TP-GS-1.11)"
"51db50fb-7c88-45bc-8a63-701f9a9cc126","","checklist-sectioned","work-in-progress","SYM-ITP-008 - Insitu Concrete Elements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","8) ITP-008 Insitu Concrete Elements","SYM-PURL-ICE-1D-2 (Truck Stopping Bollards)"
"6dd3ebe3-4d81-4c69-953f-246b53284153","","folder-normal","pass","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","12) ITP-012 Stratavault"
"7639e507-a2b4-4f73-ac10-d57bd50664de","","checklist-sectioned","pass","SYM-ITP-012 - Stratavaults (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","12) ITP-012 Stratavault","SYM-PURL-STV-1D-1 (STRATAVAULT WEST)"
"987f61bd-5d29-4bb6-98eb-f0f77cbe190d","","checklist-sectioned","pass","SYM-ITP-012 - Stratavaults (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","12) ITP-012 Stratavault","SYM-PURL-STV-1D-2 (STRATAVAULT NORTH)"
"b48f86bc-aa05-4c3f-92f0-9c13e6fed0ed","","folder-normal","pass","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","13) ITP-013 Walls and Footings"
"beae8a00-82f6-48cb-8daf-7b000236f711","","checklist-sectioned","pass","SYM-ITP-013 - Retaining walls and wall footings (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","13) ITP-013 Walls and Footings","SYM-PURL-W&F-1D-1 (STATION ENTRY WALLS 5C & 5A)"
"8333033e-30a9-4476-89ad-e7d41c7a7301","","checklist-sectioned","pass","SYM-ITP-013 - Retaining walls and wall footings (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","13) ITP-013 Walls and Footings","SYM-PURL-W&F-1D-2 (LIFT RAMP)"
"5f4426ad-76d9-4fc1-8b7f-8ee155e2b27e","","checklist-sectioned","pass","SYM-ITP-013 - Retaining walls and wall footings (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","13) ITP-013 Walls and Footings","SYM-PURL-W&F-1D-3 (TRUCKSTOPPER BOLLARDS)"
"614e55ea-c887-4e04-bd0d-2f419f70621b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","17) ITP-017 Traffic Signals"
"b6c5be17-53ed-464c-8af3-bd9895c7024d","","checklist-sectioned","work-in-progress","SYM-ITP-017 - Traffic Signals (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","17) ITP-017 Traffic Signals","SYM-PURL-TRS-1D-1"
"dc882a32-e25b-4178-b3a2-09f071f29224","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","18) ITP-018 Public Lighting"
"f48e4cdb-e38d-4e40-a38b-ed76adbf551a","","checklist-sectioned","not-started","SYM-ITP-018 - Public Lighting (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","18) ITP-018 Public Lighting","SYM-PURL-PUL-1D-1"
