"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e7a84e65-2b34-40aa-a271-5d199db12a60","","folder-normal","pass","","step","TRUE","FALSE","Graeme Road"
"3510e1c0-0bbf-4930-8007-f9f3b2e7848b","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - 237 Tamaki Drive","ITP - Traffic Islands"
"b97b22a4-b27e-4923-9a3d-0a64d8d83bd6","","folder-normal","pass","","step","TRUE","FALSE","VRU - 237 Tamaki Drive","Speedtable QA"
"b6ce86f3-8282-4e4a-a727-95952f0551a4","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 237 Tamaki Drive","Speedtable QA","QA Photos"
"2380cb1d-c6c9-48d0-a1c6-d3526e0c9c3d","","folder-normal","pass","","step","TRUE","FALSE","VRU - Alfriston Road"
"cf4aa115-8848-4b72-9485-bd23e5d65793","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - Alfriston Road","ITP - Stormwater Drainage"
"bb09d9f9-088a-4281-83e4-0c3d49370b6d","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - Alfriston Road","ITP - Traffic Islands"
"0759b8a6-5ace-42ee-85ec-388753001c5f","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - Alfriston Road","ITP - Enabling Works - Footpath, Kerb and channel"
"448bb623-efdf-4bb2-a7eb-15f656ba4960","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - Alfriston Road","Speedtable QA"
"ae996d97-f19d-4e20-8adf-de6d80e89e3d","","folder-normal","pass","","step","TRUE","FALSE","VRU Chapel Road"
"364f2fa8-63ac-4355-afbf-7e2018beba1d","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU Chapel Road","ITP - Stormwater Drainage"
"38a56318-c8da-4582-b494-e330a7e60bc1","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU Chapel Road","ITP - Traffic Islands"
"7ede6e3e-01bf-4fe9-8575-6164b6a4029f","","checklist-sectioned","pass","ITP - Massey Road - Enabling Works","checklist","FALSE","FALSE","VRU Chapel Road","ITP - Chapel road - Enabling Works"
"71c20653-3bac-43cb-afd9-03e3874bd847","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU Chapel Road","Speedtable QA"
"802f8894-d8a1-4a7c-9175-1079f9028d28","","folder-normal","pass","","step","TRUE","FALSE","VRU - 86 Robertson Road"
"501bfcb7-f276-459c-af9e-b7981f8893f4","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - 86 Robertson Road","ITP - Traffic Islands"
"d95aeec1-f2cc-4b7e-9d1d-81f16f97de7a","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - 86 Robertson Road","ITP - Enabling Works - Footpath, Kerb and channel"
"e6144aaa-f5d8-4a54-aea0-d5e0f0a8612e","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 86 Robertson Road","QA Speedtable"
"a8d059b8-cb70-4517-bedf-0138c046ee2d","","folder-normal","pass","","step","TRUE","FALSE","VRU - Puni Road"
"dc8c4884-7cd9-4e9a-94ca-484e23765e47","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - Puni Road","ITP - Stormwater Drainage"
"bd48a822-ace7-43f6-ac23-bf5e714eb33f","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - Puni Road","ITP - Traffic Islands"
"c33a37e9-4bf4-42ea-bee0-5c1ce0c5bae2","","checklist-sectioned","pass","ITP - Griffen Park / Hillsborough Rd - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - Puni Road","Footpath, Kerb and channel"
"1dc82696-071a-4ce1-ba75-7e23e38e8cb6","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - Puni Road","QA Speedtable"
"2d79f3ff-cfdb-4bda-b449-441d924430c0","","folder-normal","pass","","step","TRUE","FALSE","VRU - 145 Lake Road"
"c874b53f-925b-4071-8a16-230cfc7d2651","","checklist-sectioned","pass","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - 145 Lake Road","ITP - Enabling Works - Footpath, Kerb and channel"
"da220451-1748-4dcd-bd76-6b8b971bd641","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 145 Lake Road","Speedtable QA"
"da9df936-ce11-48ea-9ad4-260e1a358ea9","","folder-normal","pass","","step","TRUE","FALSE","VRU - 46 Richardson Road"
"d5c78c3e-a14c-4a0a-a431-7716852179c1","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","VRU - 46 Richardson Road","ITP - Raised Pedestrian Crossing"
"f970625d-49b8-488b-a3eb-0f38a87b8d6d","","checklist-sectioned","pass","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - 46 Richardson Road","ITP - Richardson - Enabling Works - Footpath, Kerb and channel"
"cd693b42-46bd-4ea0-97e0-3670f9f3095e","","folder-normal","pass","","step","TRUE","FALSE","VRU - 73 Titirangi Road"
"f56a3b6f-9aa8-46fc-9d94-15fde4ca30a3","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - 73 Titirangi Road","ITP - Traffic Islands"
"c1e71d5b-8684-4ae7-ae05-2a20f08b900a","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - 73 Titirangi Road","ITP - Enabling Works - Footpath, Kerb and channel"
"7b5d0fc2-9032-48dd-9f4a-d8de85caa47e","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 73 Titirangi Road","QA SPEEDTABLE"
"1c5e5a04-842f-4386-bc1a-416529b50e3e","","folder-normal","pass","","step","TRUE","FALSE","VRU - 286 GSR"
"3ed93cd0-10c7-4057-ac70-79886b65ce3e","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU - 286 GSR","ITP - Enabling Works - Footpath, Kerb and channel"
"c044f4fc-5a01-4265-b17e-734607a8a925","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 286 GSR","QA - Speedtable"
"a2754b83-3ad7-4620-99ef-9bbd100eaf7d","","folder-normal","pass","","step","TRUE","FALSE","VRU - Stoddard Road"
"35260714-7d9c-4dbc-b89f-4c7955cc3d02","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU - Stoddard Road","ITP - Enabling Works - Footpath, Kerb and channel"
"61df9226-40fe-4b41-ae03-acf3b4a3f1ae","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - Stoddard Road","ITP - Traffic Islands"
"09af8d9e-6cfe-4049-94f8-c7ed7dfc8fed","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - Stoddard Road","QA SPEEDTABLE"
"61f6e7f5-07f3-4834-8333-4ff1a8d27f06","","folder-normal","pass","","step","TRUE","FALSE","VRU - St Lukes Road & Sandringham Road"
"b20ead21-453c-4a63-8888-a13e120b9d25","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU - St Lukes Road & Sandringham Road","ITP - Enabling Works - Footpath, Kerb and channel"
"9cd79c51-6570-4ff9-ba10-7adc0b3baaf0","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - St Lukes Road & Sandringham Road","ITP - Traffic Islands"
"3b626e8d-9791-42cc-9346-a7e18cd70764","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - St Lukes Road & Sandringham Road","QA SPEEDTABLE"
"1784c753-5464-4f11-b910-9f43eeeaf47f","","folder-normal","pass","","step","TRUE","FALSE","VRU - 297 Tamaki Drive"
"958983f9-a3d4-4f09-b30f-387f20a73dbc","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU - 297 Tamaki Drive","ITP - Enabling Works - Footpath, Kerb and channel"
"c660d7ca-93d2-4213-892a-254a0f43457c","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - 297 Tamaki Drive","ITP - Stormwater Drainage"
"76cefb6a-f3d1-46d4-be9c-91743ea5ecc0","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - 297 Tamaki Drive","ITP - Traffic Islands"
"018c86b8-6bf0-439a-86ae-8a82190b2585","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 297 Tamaki Drive","QA Speedtable"
"f00cf172-6c6b-4233-8d17-b0671c6b4746","","folder-normal","pass","","step","TRUE","FALSE","Red beach "
"064aea20-c5dd-4058-8231-814178544aba","","checklist-flat","pass","Drainage Checklist","checklist-flat","FALSE","FALSE","Red beach ","Drainage Checklist"
"243137cd-fbd2-4a82-a791-e7d44d6dff8b","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","Red beach ","ITP - Enabling Works - Footpath, Kerb and channel"
"cad7b75e-4121-4919-b7d9-7be8385f50e6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements"
"0e4265cf-0321-469e-8042-511db8387c8d","","folder-normal","pass","","step","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Gordon Road/Atkinson Avenue intersection"
"ac1cf3e3-519f-404f-a2c0-3562fb2945b1","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Gordon Road/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"94637cf3-6870-41f3-926c-970390522f19","","folder-normal","pass","","step","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","King Street/Atkinson Avenue intersection"
"ab7d543a-a145-4c44-8d0f-03c9f403c8e4","","checklist-sectioned","pass","6fafa99927175b0f7b24e74c6435ba03a60baef9461f603fa0a3ef168c03381d","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","King Street/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"7b0d43b1-7b91-41d5-9200-1eb685e1bd34","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","King Street/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"93af8fae-6d43-4fc7-89aa-0d24f2b00b7d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection"
"e2b889ad-b16f-43a6-95de-206bb3befc2e","","checklist-sectioned","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"11c5f7ba-3e1b-449c-9639-987f6c669bda","","checklist-sectioned","not-started","ITP - Griffen Park / Hillsborough Rd - Traffic Island","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","Traffic Island"
"824e3134-7085-4268-86b6-db762c183581","","checklist-sectioned","pass","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"bc27ac7c-75a5-42ee-89a5-e64d9f55e783","","checklist-flat","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist-flat","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Princes Street/Atkinson Avenue intersection","ITP - Raised AC Table & Intersection"
"09e31328-e305-4b4f-beaf-4a1f354aa9cf","","folder-normal","not-started","","step","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection"
"9208012f-231d-4f9b-b781-8e6a2c428428","","checklist-sectioned","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"99c3d39e-a08d-4ac3-b864-3361c79af6ff","","checklist-sectioned","not-started","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Traffic Islands"
"e7985f1a-e05e-4e0e-afcd-3bde4a044cf6","","checklist-sectioned","not-started","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"2f9d1517-db9b-481b-a64f-366f54e14806","","checklist-flat","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist-flat","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Avenue Road/Atkinson Avenue intersection","ITP - Raised AC Table & Intersection"
"191408ce-6458-4366-9b21-50ca7a265d2a","","folder-normal","not-started","","step","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection"
"f4a0e0e1-7bb0-4793-81e2-de374e33e6f0","","checklist-sectioned","not-started","ITP - Griffen Park / Hillsborough Rd - Traffic Island","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","Traffic Island"
"3d5e75df-61e1-433b-a49e-2c7e60462f8c","","checklist-sectioned","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","ITP - Stormwater Drainage (Atkinson Ave)"
"44d061e5-b359-4bcb-b95c-18d68315ba87","","checklist-sectioned","not-started","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","ITP - Enabling Works - Footpath, Kerb and channel"
"215ae5fa-b97d-4363-8db6-c21bf253d6d7","","checklist-flat","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist-flat","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Great South Road/High Street/Atkinson Avenue intersection","ITP - Raised AC Table & Intersection"
"833cb4fc-9899-4c20-8c0e-3dc27226fc21","","folder-normal","not-started","","step","TRUE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing"
"40b604f6-7c5c-4131-9bc7-d31a40a49471","","checklist-sectioned","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing","ITP - Stormwater Drainage (Atkinson Ave)"
"27ce559e-0abf-46c2-837b-270c05945791","","checklist-sectioned","not-started","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing","ITP - Enabling Works - Footpath, Kerb and channel"
"ca3dbce4-af5e-49f9-ba83-a43b297b7eb9","","checklist-flat","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist-flat","FALSE","FALSE","Atkinson Avenue High Risk Corridor Improvements","Atkinson Avenue mid block crossing","ITP - Raised AC Table & Intersection"
"e5094869-31e4-4189-8e85-d9d241c6040f","","folder-normal","pass","","step","TRUE","FALSE","Forrest Hill"
"84f0fbbb-1cae-4fa0-94e4-6ca66e74aaea","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Forrest Hill","ITP - Traffic Islands"
"c8676fdd-36d8-469b-b4d2-86141211b4e3","","checklist-sectioned","pass","ITP - Motatau - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Forrest Hill","Enabling Works - Footpath, Kerb and channel"
"e9edb2fa-cb89-471d-b86a-5d5c09482f00","","folder-normal","not-started","","step","TRUE","FALSE","Triangle/Makora"
"19bbbb8f-5c38-4829-8e93-0df0af014862","","checklist-sectioned","not-started","Triangle/Mokora - Ducting and Traffic Signals","checklist","FALSE","FALSE","Triangle/Makora","ITP - Ducting and Traffic Signals"
"4c88fa09-f5e4-4e27-8c2c-f871ef0246d7","","checklist-sectioned","not-started","Triangle/Mokora - Enabling Works - Footpath, Kerb and channel and VX","checklist","FALSE","FALSE","Triangle/Makora","ITP - Enabling Works - Footpath, Kerb and channel and VX"
"030c17f4-321b-4df9-a780-84637c656e00","","checklist-sectioned","not-started","Triangle/Mokora - Pavement","checklist","FALSE","FALSE","Triangle/Makora","ITP - Pavement"
"88c5ca6d-e118-49ab-af69-5ed3112fbf96","","checklist-flat","not-started","Triangle/Mokora - Stormwater Drainage","checklist-flat","FALSE","FALSE","Triangle/Makora","ITP - Stormwater Drainage"
"15d3b337-a9f4-49a0-9ac0-5f8151e21596","","folder-normal","pass","","step","TRUE","FALSE","VRU - Great North Road/Roberton Road"
"71e60325-b3e9-4555-8d5c-cf469bf67df9","","checklist-sectioned","pass","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - Great North Road/Roberton Road","ITP - Great North Road - Enabling Works - Footpath, Kerb and channel"
"aa3ccda8-7445-4530-bdcc-c127b3aa562d","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - Great North Road/Roberton Road","ITP - Stormwater Drainage"
"cc0018c8-e80b-4694-95ba-8389c6605df0","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - Great North Road/Roberton Road","QA - Speedtable"
"a7e259f0-f667-4146-91c4-7dad2f4807fd","","folder-normal","not-started","","step","TRUE","FALSE","Atkinson Ave"
"ca764839-27ce-46d6-be5a-89ac63c1d591","","folder-normal","not-started","","step","TRUE","FALSE","Atkinson Ave","Princes st"
"8530ba4d-8be2-413e-8a12-9014c14bec10","","checklist-sectioned","not-started","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Atkinson Ave","Princes st","ITP - Stormwater Drainage (Atkinson Ave)"
"6737e9cf-0118-4c19-8821-dcddfa39b233","","checklist-flat","not-started","Atkinson Ave - ITP - Raised AC Table & Intersection","checklist-flat","FALSE","FALSE","Atkinson Ave","Princes st","ITP - Raised AC Table & Intersection"
"2113e3da-569c-4a16-8ffc-2c10c7f393c1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Atkinson Ave","Avenue rd"
"7c10d8d8-d86c-4d74-af49-07886c73f3fd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Atkinson Ave","High st"
"40421186-52b1-4b07-a7de-efe14fd60dd7","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites"
"736f2ba0-c967-4188-972b-d0cf57c72a23","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Chivalry Road"
"8d07b32c-bc4c-43bf-969e-368fc890b944","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Chivalry Road","ITP - Raised Pedestrian Crossing"
"be2ead92-7f7a-4fee-8fdd-73eb0f3a067f","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","GSR/McAnalley st"
"b9994fb0-8cac-4e48-ad5e-d40d5d3c7d81","","checklist-sectioned","pass","Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU Package 4 sites","GSR/McAnalley st","Concrete Footpath - Enabling Works - Footpath, Kerb and channel"
"dbb3c7bc-63f4-4b86-8492-7df118a4d6a1","","checklist-sectioned","pass","Atkinson Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","VRU Package 4 sites","GSR/McAnalley st","ITP - Stormwater Drainage (GSR)"
"2ff51a7c-da59-405f-b0fb-32f7c3f39372","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU Package 4 sites","GSR/McAnalley st","ITP - AC Footpath Enabling Works - Footpath, Kerb and channel"
"887445fd-5972-40c3-898e-12e99b3aad6e","","checklist-sectioned","pass","ITP - Great South Rd - Island","checklist","FALSE","FALSE","VRU Package 4 sites","GSR/McAnalley st","ITP - Traffic Islands"
"59a61527-510b-4ca9-a7b5-33fd2ab278c3","","checklist-flat","pass","ITP - Great South Rd - Concrete Speedtable","checklist-flat","FALSE","FALSE","VRU Package 4 sites","GSR/McAnalley st","ITP - Great South Rd - Concrete Speedtable"
"3d07c784-d55b-42f5-9759-8a229320ef34","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Massey Vine"
"0d39876c-35d0-48dc-8255-d2dcbd1bb687","","checklist-flat","pass","96c582d734f863ad2dec96abc8679ec2a414e37ec3225efef216a0291a8330d5","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Massey Vine","ITP Speedtable - Vine Street"
"17935b94-93ee-4cfb-889d-e0a469392022","","checklist-flat","pass","Drainage Checklist","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Massey Vine","Drainage Checklist"
"0d5ecf55-4b64-4da1-876e-4029fc9fb836","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU Package 4 sites","Massey Vine","ITP -  Massey Enabling Works - Footpath, Kerb and channel"
"5e60ac98-a5ab-49b7-88b0-882ab4ffa68b","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU Package 4 sites","Massey Vine","ITP - Traffic Islands"
"0b1a74ae-7417-4bfe-950e-8cce07c1b312","","checklist-flat","pass","ITP - Massey Road - Concrete Speedtable","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Massey Vine","ITP - Massey Road - Concrete Speedtable"
"98e78a5c-aa12-4439-bba9-735c231dc766","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","McKenzie Road"
"ff025583-7337-41c7-8314-1962b28a2e4c","","checklist-flat","pass","da188222c8367d9e24916b8fa6cf1c17c8650ff7e55819f1e1fc6c7aa41fd14b","checklist-flat","FALSE","FALSE","VRU Package 4 sites","McKenzie Road","ITP - Speedtable Mckenzie Road"
"07a47635-ea7a-4f3d-9830-4851cc5c412a","","checklist-flat","pass","Drainage Checklist","checklist-flat","FALSE","FALSE","VRU Package 4 sites","McKenzie Road","Drainage Checklist"
"1365dad2-afb7-4d26-8bb9-552b80139d27","","checklist-sectioned","pass","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU Package 4 sites","McKenzie Road","ITP - McKenzie - Enabling Works - Footpath, Kerb and channel"
"38c985a5-5657-4216-973b-4664a2febf38","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Scotts Road "
"3a9505ab-a148-4be2-b9e7-644eeb28ebe5","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 1 "
"24c1b316-b48f-444d-99fa-debfb3e9da8c","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 1 ","Scotts Road Raised Pedestrian Crossing - Stage 1"
"1c4aadf6-28f3-4710-b164-001b180fcd9e","","checklist-sectioned","pass","ITP - Griffen Park / Hillsborough Rd - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 1 ","Stage 1 - Footpath, Kerb and channel"
"9d26c4bc-e1cd-42f1-8d66-4b424c9222df","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 1 ","Stage 1 - Chicane islands"
"8d754593-0130-4030-a7b6-e8160fb1a09b","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 2"
"97f5ae96-f7b4-4559-b1f7-dafcc9682f7b","","checklist-flat","pass","ITP - Massey Road - Concrete Speedtable","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 2","Stage 2 - Concrete Speedtable"
"05b49a61-b408-4063-91fb-1ae4488ccb0c","","checklist-sectioned","pass","ITP - Massey Road - Enabling Works","checklist","FALSE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 2","Stage 2 - Scotts Road - Enabling Works"
"4d12f16a-cd57-4f3b-acbe-4aead64826b4","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 2","Stage 2 - Traffic islands"
"8a7d52b1-496b-4135-a8f4-0617f7167cd8","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 3 "
"9c8bb840-d8e2-42b1-a44e-839ce2250117","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Scotts Road ","Stage 3 ","Stage 3 - Traffic islands"
"09e37698-028d-4f74-ace0-487927fd78ca","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Quay Street"
"8b298f90-7642-41e1-b657-d4326ea5cbd9","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Quay Street","West Side SL"
"aee5db58-1ce8-4e55-a49a-870cec51b2ec","","checklist-flat","pass","ITP - Mckenzie Road - Concrete Speedtable","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Quay Street","West Side SL"," Concrete Speedtable"
"7f6f4bd2-52a8-4bd6-b46c-1d351f19ac83","","checklist-sectioned","pass","ITP - Massey Road - Traffic Islands","checklist","FALSE","FALSE","VRU Package 4 sites","Quay Street","West Side SL","Traffic Islands"
"5093aed3-f4c8-4f96-9b58-31035dac0b14","","checklist-sectioned","pass","White Swan Road - ITP - Enabling Works","checklist","FALSE","FALSE","VRU Package 4 sites","Quay Street","West Side SL","AC- Footpath, Kerb and channel"
"f662061b-8d9f-4efe-90e5-a54e9d6f15d3","","folder-normal","pass","","step","TRUE","FALSE","VRU Package 4 sites","Quay Street","East side SL"
"71ab42f8-564d-4707-b5ba-2c61fe9ae4b8","","checklist-sectioned","pass","White Swan Road - ITP - Enabling Works","checklist","FALSE","FALSE","VRU Package 4 sites","Quay Street","East side SL","AC Footpath- Footpath, Kerb and channel"
"8a167cfe-015b-4ea7-96c0-deceb41fa338","","checklist-flat","pass","ITP - Mckenzie Road - Concrete Speedtable","checklist-flat","FALSE","FALSE","VRU Package 4 sites","Quay Street","East side SL"," Concrete Speedtable"
