resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L7.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-C-L7.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B2-L7.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B1-L7.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L7.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L7.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L7.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L7.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L7.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L7.01,,,,,,
,,step,,,,Level 08,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L8.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B2-L8.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B1-L8.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L8.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L8.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L8.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L8.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L8.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L8.01,,,,,,
,,step,,,,Level 09,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L9.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L9.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L9.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L9.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L9.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L9.01,,,,,,
