"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27b04da3-f2df-4258-bd8c-ecb93b158f32","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"fc2a1d22-e068-4438-b035-819f67b63e89","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building"
"8869dba3-c41d-4f0c-95ce-1153ce1545f7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor"
"d050f0e6-62c6-40b3-addb-3b7d7985f336","","pass","","folder","TRUE","FALSE","Site QA","Building","Ground floor","Corridor"
"4db27e8d-f15c-4bb1-845e-8ace5ae6e56f","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","602","Plastering & Internal Hebel/Alpha panel/speed panel"
"d973510d-020f-4cfa-a22d-d52073a08084","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","602","External Alpha panel/cladding walls"
"7dcc0148-0d6b-4b26-b3ca-7a6b564e58cf","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","602","Plastering & Internal Hebel/Alpha panel/speed panel"
"640146df-3e1a-451c-bf0a-4a7d401ae6c3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6","603"
"07d2027f-5ac7-409b-b679-afaa95382676","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","603","Plastering & Internal Hebel/Alpha panel/speed panel"
"df431f37-4ee9-4f78-b16f-c9285346073e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","603","External Alpha panel/cladding walls"
"181fac4d-5bc2-4fe1-8d42-938c22174e89","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","603","Plastering & Internal Hebel/Alpha panel/speed panel"
"50557191-6273-4142-a5d3-a91ad8750cbc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 7"
"6f932202-b007-482d-bc0a-967f27b11bdb","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 7","Corridor"
"53640ac8-875a-4ff8-a122-c431b60b4950","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"f4150527-1faa-4815-a8c1-a3819bd2e166","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 7","Corridor","External Alpha panel/cladding walls"
"3c9de7ae-1287-4028-8273-b06b6d2adfe2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 7","701"
"44f670e9-88ca-4163-abea-f431cd2359f4","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","701","Plastering & Internal Hebel/Alpha panel/speed panel"
"15429dd7-0cbc-4606-b63c-4a6e9875ac5e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 7","701","External Alpha panel/cladding walls"
"f939e043-b1f9-4d6e-b079-3288dbc009f1","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","701","Plastering & Internal Hebel/Alpha panel/speed panel"
"002297c8-65ef-4166-8972-2eaaf0a8dda2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 7","702"
"522d2a28-9a66-4d92-9c0f-1998075a1dab","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","702","Plastering & Internal Hebel/Alpha panel/speed panel"
"781b631c-0f06-46a5-bc64-2e03ed550ee6","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 7","702","External Alpha panel/cladding walls"
"a1d9a878-eb7b-4f8f-abba-96ba8e10fa93","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","702","Plastering & Internal Hebel/Alpha panel/speed panel"
"7cc389ac-87bc-4b42-b1af-b3f31472de0b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 8"
"6d003913-bfc4-4332-a437-582976de9484","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 8","Corridor"
"dcbb6241-43d4-4d66-ac97-a70f64382746","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"c2a55439-9ddd-44e8-8040-669108c0adc1","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 8","Corridor","External Alpha panel/cladding walls"
"6b3653fc-ef40-4b12-a431-ef5e800e1c93","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 8","801"
"1a985d7d-3a5b-4bb4-abd3-53ec7787df97","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","801","Plastering & Internal Hebel/Alpha panel/speed panel"
"3fe0b8d8-73f9-4da6-acc3-69967060a8ca","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 8","801","External Alpha panel/cladding walls"
"f989028a-359f-47b5-8edd-02b574ac1b33","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","801","Plastering & Internal Hebel/Alpha panel/speed panel"
"8286ed49-4159-4f0c-be3c-c630afb81bd3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 8","802"
"d1883417-9e7c-418c-985a-b4ef63af2614","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","802","Plastering & Internal Hebel/Alpha panel/speed panel"
"c1a79eb3-a995-42e5-ab1d-ac1ca7c934e4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 8","802","External Alpha panel/cladding walls"
"b56a035c-d739-4781-8e4a-2839707eb8de","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","802","Plastering & Internal Hebel/Alpha panel/speed panel"
"b24b8c7c-7f48-40b9-b959-39f7fdf663f5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 9"
"60c23559-c9a8-4803-9c52-ddd58a405b3c","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 9","External wall "
"824de6dc-bc62-4944-b391-080d461504e2","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 9","External wall ","External Alpha panel/cladding walls"
"b78be30d-94b7-4483-ac67-2ffaf22af53a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 9","901"
"88fb7e33-4f18-4f23-b180-0dca97e66b2e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 9","901","External Alpha panel/cladding walls"
"c0463ca4-e727-4d50-a768-11cc995e3024","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 9","901","Plastering & Internal Hebel/Alpha panel/speed panel"
"6c68cf46-71df-4b41-887b-c7ac9d74ad54","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 9","901","Plastering & Internal Hebel/Alpha panel/speed panel"
"e5f2276c-721b-4057-979b-4034baae56d3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 9","902"
"13d49aa7-69a6-453a-83e8-66debb955a47","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 9","902","Plastering & Internal Hebel/Alpha panel/speed panel"
"f1c564a4-396b-4949-9f5a-ce7dd4b8a845","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 9","902","External Alpha panel/cladding walls"
"ed475903-66bb-4b53-b5c1-9b59331f141c","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 9","902","Plastering & Internal Hebel/Alpha panel/speed panel"
"6266ad07-a083-4486-8669-bf26025a0177","","pass","","folder","TRUE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications "
"785cdded-e867-4732-a0b2-7cd352711fc9","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft No. 2"
"f302a810-2a35-43b8-9deb-b7fb9b726ca5","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft No. 3"
"06e39b31-abea-497b-87bb-3cee3d7690fd","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft N0. 1 "
"5ac2f2de-16fe-4723-b019-bb06273ddd7e","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft No. 4"
"0e88325a-2aef-4117-bfcd-111fda24c07e","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 3 "
"3387dd48-a7eb-4ac0-a996-9cbaca49ed96","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 3 ","Plastering & Internal Hebel/Alpha panel/speed panel"
"d185aa7f-0070-4cc3-8371-16fd6e38473f","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 2"
"76eb8de3-c4f1-47c3-a0e2-07a4044a215f","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 2","Plastering & Internal Hebel/Alpha panel/speed panel"
"b193352a-5054-485a-82f3-afc4db748f4d","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 1"
"5c315c8f-b8a4-4e23-bbd2-e6a9a23b6194","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 1","Plastering & Internal Hebel/Alpha panel/speed panel"
"3cb6c3b8-58c8-4707-bd0c-ba88b63f46aa","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 3 alphapanel "
"18a4fd73-ddb3-4fc9-bafa-b8763240ded4","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 3 alphapanel ","Internal Alpha panel"
"b13ca273-fc33-4e93-8ad8-6a686c52c23e","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 2 alphapanel "
"f1ded968-813e-425d-a826-139595467b03","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 2 alphapanel ","Internal Alpha panel"
"231488fa-e1a6-4464-b0b2-3022b5197e0e","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 1 alphapanel "
"96ab441b-56cd-46d5-8a96-79a6425b1b86","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 1 alphapanel ","Internal Alpha panel"
