resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,227,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,228,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,229,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,230,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,231,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,232,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,233,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,234,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,235,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,236,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,237,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,238,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,239,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,240,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,241,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,242,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,243,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,244,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,245,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,246,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 3,,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,308,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,309,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,310,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,311,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,312,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,313,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,314,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,315,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,316,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,317,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,318,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,319,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,320,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,321,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,322,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,323,,,,,
