"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"32ec30c6-c369-4bcc-8b69-9b69419bf373","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Testing","TST Test Water Service Pipework"
"d374dee6-c449-4ef7-8b64-847c2b0c2c8f","","pass","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Testing","TST Test Gas Services Pipework"
"01e3a268-da65-47ae-853a-0501c9eaba44","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Commissioning"
"5ed60423-ccc5-4e1e-b2d4-77086a56dc83","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commission Water Meter"
"f47af0a8-0f82-4036-90c4-a62f9584e975","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commission Hot Water Unit"
"380116f9-9f8e-438c-b71f-7f412c09f5d5","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commission Gas Appliance"
"0665dba8-ab10-4019-b43e-8709c9e56afc","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commissioning Final Handover"
"4329b05e-c76d-4669-a89c-a72a2cf3f95a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23"
"0ec446f6-3c27-4bbb-a455-be08f34c4d74","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Rough-in"
"c98eab38-5674-4fef-8456-96d35da8850f","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"ff8ddca4-9009-472e-bb45-1f470ff02c2b","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Rough-in","WG Install Water/Gas Rough-ins"
"d10eeaf0-24d1-446a-b432-ee9835ffb47f","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Fit-off"
"e9e7f6f9-1b6a-4bdb-bc26-1621003543bc","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"c2171700-f3e4-4c5f-8787-0c03166a82a2","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Dishwasher"
"3593f98a-fc84-4661-bf1f-e53fcdf768b8","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Gas Appliance"
"8f763426-419d-477a-94cd-ad4868325a3a","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Laundry Trough & Tapware"
"1a32ba87-c07a-488f-951d-d7946de521b8","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Washing Machine Stops"
"0f639aeb-b314-400b-a693-83c81b35c86f","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Toilet & Cistern"
"73860c19-5dfa-4e68-bbea-88c26bf556b2","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Wash Basin & Tapware"
"baeb7a01-a56e-4b7d-8b10-0a1068d153b6","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Shower & Tapware"
"515084dd-e25f-4f0c-ad4b-22bbfbc163c8","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Hot Water Unit"
"0eebd28c-a769-4ff5-8da1-b3b1a4014e95","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Testing"
"24c1d610-f685-482a-8a7b-89621aee1879","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Testing","TST Test Water Service Pipework"
"5a328029-8c70-446e-991d-990e61be3bad","","pass","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Testing","TST Test Gas Services Pipework"
"1d8c0726-796e-4749-9648-6d371ab37c5c","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Commissioning"
"b06d06de-65ab-4a54-9421-b6886f167b18","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commission Water Meter"
"9e9f4624-d929-4b9d-bd3d-4fd8d48e1e4d","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commission Hot Water Unit"
"009f7e75-9f86-47fd-b430-c514607c5b32","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commission Gas Appliance"
"91a3df5b-e678-4ba1-b57e-a3f14ba5f039","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commissioning Final Handover"
"dbc76fd5-6cbc-4dce-8228-851914a3a676","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24"
"516b7d0d-4170-428b-8300-78c0f1a26f72","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24","Rough-in"
"fa88d54f-d4ec-434d-8853-d6b6723e479f","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"fc820d2f-db89-43b4-8b9e-57ff542f1cb9","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Rough-in","WG Install Water/Gas Rough-ins"
"6c6aaa22-08eb-4890-a4c7-1ef3d228f677","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24","Fit-off"
"4068098c-d028-4281-b51e-34cede20e976","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"7951b285-129c-4fda-9dfe-ba1706fc2a87","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Dishwasher"
"4e07bad1-b926-4da5-ab0c-b382dc4470be","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Gas Appliance"
"93c07fa4-f6a7-492a-9924-8a7502fca83d","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Laundry Trough & Tapware"
"e083f55b-c933-42b1-a40e-a3b5ef0e1efd","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Washing Machine Stops"
"c4a6d5bf-e664-4929-81d3-569127fbb66b","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Toilet & Cistern"
