Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,
87af7f0c-add8-4f47-8a33-6d4fdaadcbc5,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 8/12/20
4f585cd3-fe9b-45c8-82e9-0f985f7d4ab5,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 09/12/20
33c17e8f-9ce9-4de5-9995-119e22a59ead,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 10/12/20
67f67960-a4ae-4d6b-999c-e984e9b90072,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 11/12/20
568e0eef-fc12-48a0-aeb2-41d176742d74,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 12/12/20
2c34ac0a-05f1-44a3-8ad9-244a918ce480,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 14/12/20
7dfcdebc-c2c2-4ec9-a02e-e08c6fbbc760,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 15/12/20
f2aa4ffb-e367-444b-be88-02ebc0484530,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 16/12/20
68e15a02-6ba6-4fb8-991f-e1c62a001db9,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 17/12/20
53eadee6-05d6-4424-8562-89bc03e5fe7d,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 18/12/20
094e86b0-c053-41ed-ab86-6a544143bf25,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 19/12/20
163353ec-6935-4299-9320-8e7ace985bd6,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 21/12/20
47a3cdc4-30bd-4459-bcc4-617746d0a31f,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 22/12/20
86107015-8819-4087-a638-421c03480092,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,Daily Fencing Checks 23/12/20
66650802-7b07-4198-8a95-25971ca8d638,,folder-normal,pass,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,Jan-21,
9fabe944-e21f-4b05-926d-1c3168e0b1a3,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,Jan-21,Daily Fencing Checks 11/01/2021
9d26fa4e-e008-483e-ac59-e3c66df689bb,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,Jan-21,Daily Fencing Checks 12/01/2021
8fc6af1c-f92a-4320-b07b-e514133c85b4,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,Jan-21,Daily Fencing Checks 14/01/21
51eed1d0-aee0-45c0-a9a5-58c75a6eaf98,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,Jan-21,Daily Fencing Checks 15/01/2021
e21fe594-fb49-4120-b854-2f6f4c357af4,,folder-normal,work-in-progress,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,,
2f1653d3-67c1-44e9-922c-b434d0ea0384,,folder-normal,work-in-progress,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,
138b5d46-dc91-42d4-b19b-628a3b66aa88,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks - 5/1/21
e5472c5d-ff5f-4e9b-b1ff-0a838814341f,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks - 6/1/21
5a130b89-1e2e-4e09-8022-a2f24612a62b,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks - 7/1/21
97e58108-a3b1-4ef8-8f74-a5b12c4de51e,,checklist-flat,not-started,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks - 8/1/21
82767b68-9bb9-49ee-856b-d2e784c067b3,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 18/01/2021
83ff1475-6f07-45d6-afb3-e424632335cc,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 19.01.2021
96e86b3a-7541-4e15-9985-a7629e5752c1,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 20.01.21
048e3b70-89b0-4d99-a55f-c456a65a2d8d,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 21.01.21
f257d57a-6385-46c5-b18f-fca44b60e244,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 22.01.21
1eebc831-b5a8-45a9-b51f-58d6d58de2c3,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 23.01.21
4bc023b7-7aab-4daf-bb75-b0e212526a6a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 25.01.21
af14b7ca-f879-441d-93da-0985ad7d6905,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 26.01.21
4baa8e46-74c8-482d-a0d1-a293257bf4a1,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 27.01.21
bcd4c979-0cfe-4141-b430-6e0e6d4a4694,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 28.01.21
fc7e499c-22fa-437d-8264-04aa67c43369,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 29.01.21
cb1d87b1-8d43-4a59-a19f-a6d36ab60a4f,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,January,Daily Fencing Checks 02.02.21
50650372-0c4f-4dd3-9043-e634f33b7b92,,folder-normal,pass,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,
0d859776-6119-4ffd-bd64-60ff8373de92,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 02.02.21
f84c82a8-4f55-42f4-85df-47b25e075c07,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 03.02.21
04a015a0-9439-4cea-8ab7-2928b0f142f2,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 04.02.2021
a865fb7c-aa5f-4249-9aa1-f680842ec59c,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 05.02.21
47502372-59f1-41ac-8140-22602f4b101c,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 06.02.21
7da0e9c6-71eb-493f-830a-f27c2c4e1b22,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 09.02.21
2383c91a-6fa7-4940-a040-478d09b30a3a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 10.02.21
1cd69bcd-45a0-4a01-87f5-c54a937a4e71,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 11/02/21
107e298e-d11b-4f47-aafe-d2b813e4cc78,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 12.02.2021
3aec0c2c-86ba-4a11-a3c3-7fb2385caa48,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 13.02.2021
078bdd40-9989-4096-97f5-8589502e35ca,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 15.02.2021
d89895d5-4a27-4328-a5d3-a8133c1b3936,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 16.02.2021
0e730b90-75d9-4164-9668-7c294e51eac1,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 17.02.2021
21f8031f-c60a-4e3a-91fb-90c41ebceca0,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 18.02.2021
7a4de21d-b892-4ed6-9d34-d42f98818a29,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 19.02.21
1ab7ec13-d398-4a09-85af-b48356f405e9,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 20.02.2021
c79b5a03-4f5b-49a5-9c7c-1f83aed905db,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 22.02.2021
23dcafb2-cf7b-47ef-9595-2fa91e8c9728,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 23.02.2021
4c5a5b75-d5a5-4939-8a15-325e137d5eca,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 24.02.2021
534ee527-bc04-49b5-a616-3c8aa84a0cce,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 25.02.2021
e55638cb-3c18-4399-8824-0ce5969e1b7d,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 26.02.2021
5ba1f6ae-eed6-499c-a00c-735301ef1f73,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2021 Daily Fencing Checks,February,Daily Fencing Checks 27.02.2021
