"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a4cfc57b-c8ef-416f-857e-e512da577952","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 93"
"e36c4b39-dbdc-4a01-8fbd-235c965e567a","","checklist-flat","not-started","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 93","Rigid Board"
"8e8ebf43-8156-41e0-ab4c-b97585419bcf","","checklist-flat","pass","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 93","ITP 02 - Speedpanel"
"5052dd62-ef22-4df9-a64d-5da214dc6105","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C "
"9a966f75-f5c8-4f9e-96a1-5b4e846a3101","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level Ground "
"588dc853-48aa-4b28-a55f-a14a43e84a5a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 90"
"4e1811d8-13d4-424a-937e-b5c71b78c791","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 90","Wall Set Out"
"2b461910-1468-44b2-b5a4-1031fb80ae92","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 90","Wall Framing"
"f6ff7df1-fe9c-473d-9b52-a5931d818fe5","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 90","Wall Sheeting"
"59b0b026-1558-4eac-bb69-ed96f28f435a","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 90","Wall Finishing"
"e2650c1f-137a-4263-add6-b70c9374de1f","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 90","ITP 02 - Speedpanel"
"eb98fce9-87c3-4e57-a2c5-f93bf2c52841","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 90","ITP 01 - Rigid Board"
"5e4f85f7-edfd-4a17-8c87-cd6112b6d100","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 91"
"aa2411bb-ddd0-43fd-a984-a423225428be","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 91","Wall Set Out"
"fcc70ee6-62ab-46c9-a0dc-2ac20c361f84","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 91","Wall Framing"
"5090a9e2-2900-4c35-90fc-532b10edbc6e","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 91","Wall Sheeting"
"f485ae2e-3429-44b6-b31b-7d09a743a145","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 91","Wall Finishing"
"b26b350f-22b8-4aac-9cec-439e7a237cef","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 91","ITP 01 - Rigid Board"
"37b4e955-913e-4f65-89f7-0b401f12ae17","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 92"
"d2df30f1-e6d8-4160-93bd-9a541711138c","","checklist-flat","work-in-progress","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 92","Wall Set Out"
"d7b15903-6e22-4877-98fa-23a13ef0e538","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 92","Wall Framing"
"19acdeab-6a85-407f-90b4-00fce517da53","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 92","Wall Sheeting"
"d10b2a27-23fb-4db0-8778-a5ce5854404e","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 92","Wall Finishing"
"e2123ca2-531d-44f2-9a5f-c3bfb2ffd3ef","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 92","ITP 01 - Rigid Board"
"a972a24e-f21b-4144-8121-a08d5a418d22","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 93"
"7b3d3abb-ec9d-4478-a10b-5d39a8583207","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 93","Wall Set Out"
"00cc3fd1-2f07-42a3-8189-c38c791095c8","","checklist-flat","pass","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 93","Wall Framing"
"23ab1e60-1d57-44c4-880f-48d6b399c300","","checklist-flat","work-in-progress","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 93","Wall Sheeting"
"521132ca-dfc7-4c3a-bbda-37d88e097821","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 93","Wall Finishing"
"45a4b9a4-2112-46ae-b986-f6fbf7d28804","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 93","ITP 02 - Speedpanel"
"602a833c-6e4c-4474-85fb-b0535879b1f1","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level Ground ","Zone 93","ITP 01 - Rigid Board"
"59170773-d243-440e-9700-2477cfa7e18a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 1"
"b6c6a568-caa7-45db-8fed-768155bb6b5b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 1","Zone 90"
"9ee6644d-2f5f-4f42-be8b-862d861f342a","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 90","Wall Set Out"
"a14eeeb4-ec03-4d3f-97a1-afa4db356983","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 90","Wall Sheeting"
"8ab3ecfe-5aac-48d9-bc1f-0ede24912a59","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 90","Wall Finishing"
"c8c2b1c9-7966-4ccb-8bbf-4a2d70a59ac3","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 90","ITP 02 - Speedpanel"
"ca998735-b518-4b2b-85c5-b8d5226281d0","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 90","Wall Framing"
"ec8b8835-9251-4b0e-9315-590fecbad851","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 1","Zone 91"
"efb3a096-a753-42cd-9ce9-4f74b798d28b","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 91","Wall Set Out"
"4306ee25-3187-4652-b1b7-0dfb482363b2","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 91","Wall Framing"
"f689e36e-33e0-4bca-bc61-a89e4b94a986","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 91","Wall Sheeting"
"352f8c4a-31a6-4c6c-bf3a-ccdd7039600c","","checklist-flat","not-started","Wall Finishing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 91","Wall Finishing"
"3663ea2d-4dcf-433a-ae07-c3929512e714","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C ","Building C Level 1","Zone 92"
"492ccebd-d155-4bea-b548-d02010337c99","","checklist-flat","pass","Wall Set Out","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 92","Wall Set Out"
"baec6c04-63ec-4f8b-843c-14cf5ff2f324","","checklist-flat","not-started","Wall Framing","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 92","Wall Framing"
"e11fbc01-e71e-4d80-95dc-e9e4cdbb2c41","","checklist-flat","not-started","Wall Sheeting","checklist-flat","FALSE","FALSE","Site QA","Building C ","Building C Level 1","Zone 92","Wall Sheeting"
