"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7c1efc5a-6d6e-436d-9cf1-cfe670ebdc5c","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 11","Unit 115"
"2b9bb031-ec57-4cc0-9585-4804b80a01fc","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 11","Unit 116"
"0c827ae1-fa30-4b8d-b210-bbf7527ebf7b","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 11","Unit 117"
"2c02888e-c817-4f3b-a79e-2c279e84f394","","not-started","","folder","TRUE","FALSE","Site QA","Level 12"
"e7816c23-cebb-4caf-8c30-e8a10d168ef1","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Lobby"
"f3cb399b-8d48-4cf9-9fd9-1e896dce07b0","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Unit 121"
"275b1987-ff4d-4a3f-b884-de9903f5ed16","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Unit 122"
"666f86ed-4085-4c2d-9206-7fbc399ec77c","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Unit 123"
"45e4d11a-299d-4fea-a67a-d7a575d37158","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Unit 124"
"2a370219-4f80-492b-9f5e-ff8763381574","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Unit 125"
"69d52e03-cca6-4bf8-b118-c3dd3bb599f4","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Unit 126"
"4f84a65c-e9a7-4469-b9ec-b25c8b414dfa","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 12","Unit 127"
"879ded4f-50c4-4e72-8ac3-fb684a908852","","not-started","","folder","TRUE","FALSE","Site QA","Level 13"
"a4ad6975-47cd-4570-b676-ac373064fd17","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Lobby"
"906a06b0-bc3c-4264-8a07-6d17def2086d","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Unit 131"
"441d2d96-d373-4aab-b0ea-05efcf0d8b24","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Unit 132"
"f91f1c46-7ef3-49a4-a058-b7279bb77c8e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Unit 133"
"8cb125ba-8880-496a-9f6c-76597025ad3b","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Unit 134"
"1718603e-ef00-4ff7-a5f9-4927e268c702","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Unit 135"
"a90fa080-ad77-477d-93c6-0739be68b70d","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Unit 136"
"453ad56f-e6aa-4c64-bfa0-d93f0199c7e9","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 13","Unit 137"
"61f858ed-dbba-40d1-81bd-ada538e25564","","not-started","","folder","TRUE","FALSE","Site QA","Level 14"
"2243a401-7a61-447c-a7af-682301f9979e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 14","Lobby"
"3cde7c6b-e90c-4f94-bade-4e6c19dbbae1","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 14","Unit 141"
"751a871b-302a-4849-bad3-834f7264f345","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 14","Unit 142"
"6e207ba5-b76f-4f70-a602-b261637550ef","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 14","Unit 144"
"54a528a2-556d-4f55-a10f-a6d215612eb0","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 14","Unit 145"
"191eea38-731a-4107-a891-0901c964f8ea","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 14","Unit 146"
"46364043-b1ba-4f53-8476-fd7edab2a06b","","not-started","","folder","TRUE","FALSE","Site QA","Level 15"
"be8a1c4f-6458-41cb-99b1-c8c735e5d0fe","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 15","Lobby"
"27c88b20-cb7b-43e8-930a-1929dc262173","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 15","Unit 151"
"915c6ace-87e4-454e-a34c-820a42de6f1e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 15","Unit 152"
"e33779d6-add9-49f3-98ff-8ced4a60d6cf","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 15","Unit 153"
"c497d5a2-e4d8-4d68-9c37-2cbc54049e2b","","not-started","","folder","TRUE","FALSE","Site QA","Level 16"
"2da0e9a7-b06e-4f92-a143-66b56621e2c9","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 16","Lobby"
"649890ca-f881-4edf-bc7b-c17829f645ed","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 16","Unit 161"
"31eb54c4-55b0-473d-a59d-c9c5eefae7a7","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 16","Unit 162"
"f1900d95-a813-41bd-b987-aabd75cd2e92","","not-started","","folder","TRUE","FALSE","Site QA","Level 17"
"2a5d84c0-7409-4ff1-bbd0-ce0b36136275","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 17","Lobby"
"3e5fd56d-8791-418b-ac0a-77f815ad4049","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 17","Unit 171"
"5defdb55-8053-4b6f-9f5d-5205e95954c5","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 17","Unit 172"
"d8ca1b8f-e2de-45b2-908d-1e1729cff87f","","fail","","folder","TRUE","FALSE","Site QA","Level 18"
