"","Reo","IFC Drawing","data:Steel Supplier","data:Other Steel Supplier","data:Reo Manufacture date DD/MM/YY","Cage dimensions","Fittings marked","Formwork","Formwork ready to commence","data:Panel type","data:Other Panel type","data:Panel difficulty","data:Location","data:Other Location","data:Quantity","data:Panel Weight (t)","data:Volume (m3)","data:Manufacture date DD/MM/YY","Formwork dimensions","data:Panel thickness","data:Thickness projection","data:Panel width","data:Width projection","data:Panel height","data:Height projection","Square","Silicone Bed","Edge Form/ Fillets","Position of reinforcement","Lifting devices securely/in place","Fittings locations V2","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Lifting devices securely/in place V3","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Ready to pour","data:Notes/Changes","Pre Pouring","Take a picture or attach copy of concrete doc","data:Concrete Supplier","data:Other Concrete Supplier","data:Concrete schedule docket #","data:Pouring date DD/MM/YY","data:Concrete Requisition (m3)","Correct mix being used","data:28 Mpa required","data:Other Mpa required","data:Type of concrete","data:Other Type of concrete","data:Concrete strength tested","Post Production","Post Production ready to commence - Lifting Mpa","data:Date panel stripped","data:Location (Rack #)","data:Other Location","Fitments removed (GT Caps, fillets, Ferrule caps)","Correct dimensions","Bulges, Dents and airholes within tolerances","Cracks within tolerances","Marking","Panel conform to specifications/ tolerances","data:Patching/fixing required","Concrete Test results (28 days result)","Storage","Inserts/Rebates removed","Filling points/lifters exposed","data:Location (Rack #)","data:Other Location (Rack #)","data:Status"
"A-L1P65","pass","pass","","","12/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.5","1","1.83","0.76","12/10/22","pass","200","pass","1200","pass","3160","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","58339","12/10/22","5.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","13/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","5","","pass"
"A-L1P66","pass","pass","","","12/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.6","1","1.75","0.73","12/10/22","pass","200","pass","1205","pass","3020","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","58339","12/10/22","5.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","13/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","5","","pass"
"A-L1P67","pass","pass","","","17/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","4.4","1","5.33","2.22","17/10/22","pass","200","pass","3675","pass","3020","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","58598","17/10/22","5.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","18/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","9","","pass"
"A-L1P68","pass","pass","","","13/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.6U","1","1.67","0.70","13/10/22","pass","200","pass","1130","pass","3160","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","58489","14/10/22","2.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","17/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","1","","pass"
"A-L1P69","pass","pass","","","04/11/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.4","1","4.38","1.75","04/11/22","pass","200","pass","2882","pass","3020","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","59808","05/11/22","7.5","pass","pass","pass"," 50/20/200",""," No","pass","pass","07/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","2","","pass"
"A-L1P69B","pass","pass","","","02/11/22","pass","pass","pass","pass","Wall","","","Pinkenba","3.3","1","4.38","1.75","02/11/22","pass","200","pass","2882","pass","3070","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","59516","02/11/2022","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","03/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","9","","pass"
"A-L1P70","pass","pass","","","02/11/22","pass","pass","pass","pass","Wall","","","Pinkenba","4.4","1","4.84","1.94","02/11/22","pass","200","pass","3153","pass","3070","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","59515","02/11/2022","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","03/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","9","","pass"
"A-L1P70B","pass","pass","Mesh & Bar","","02/11/2022","pass","pass","pass","pass","Wall","","","Pinkenba","3.2","1","4.84","1.94","02/11/2022","pass","200","pass","3153","pass","3070","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","59530","02/11/2022","6.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","03/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","9","","pass"
"A-L1P71","pass","pass","","","13/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.6U","1","5.53","2.30","13/10/22","pass","200","pass","3668","pass","3070","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","58438","13/10/22","7.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","14/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","1","","pass"
"A-L1P72","pass","pass","","","13/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.4","1","4.08","1.70","13/10/22","pass","200","pass","3915","pass","3050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","58496","14/10/22","6.6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","17/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","1","","pass"
"Building A - Level 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A-2B01","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","5.5","1","2","0.83","23/11/22","pass","200","pass","5215","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5tn actech","","","pass","","pass","pass"," Hy-Tec","","42240","24/11/22","2.9","pass","pass","pass","40/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-2B02","pass","pass","","","11/01/23","pass","pass","pass","pass"," Other","Curve","3.2.2"," Bundamba","6.1","1","1.83","0.76","11/01/23","pass","200","pass","4390","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech 2.5"," None","","pass","","pass","pass"," Hy-Tec","","43439","12/01/23","5.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","13/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie","Delivered"
"A-2B03","pass","pass","","","25/11/22","pass","pass","pass","pass"," Balustrade","","2.1.2"," Bundamba","7.3u","1","2.04","0.85","25/11/22","pass","200","pass","5318","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t Actech"," None","","pass","","pass","pass"," Hy-Tec","","42363","25/11/22","4.6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-2B04","pass","pass","","","25/11/22","pass","pass","pass","pass"," Balustrade","","2.1.2"," Bundamba","7.3","1","2.04","0.85","25/11/22","pass","200","pass","5318","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t"," None","","pass","","pass","pass"," Hy-Tec","","42363","25/11/22","4.6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-2B05","pass","pass","","","30/11/22","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","7.1u","1","2.04","0.85","30/11/22","pass","200","pass","5319","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5 actech"," None","","pass","","pass","pass"," Hy-Tec","","42533","30/11/22","6.2","pass","pass","pass","40/20/200","","Yes","pass","pass","02/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-2B06","pass","pass","","","30/11/22","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","7.1","1","1.99","0.83","30/11/22","pass","200","pass","5318","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5 actech "," None","","pass","","pass","pass"," Hy-Tec","","42533","30/11/22","6.2","pass","pass","pass","40/20/200","","Yes","pass","pass","02/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-2B07","pass","pass","","","17/11/2022","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.2u","1","0.16","0.07","17/11/2022","pass","200","pass","1156","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech 1.3t"," None","","pass","M20 lifting ferrules changed to Actech 1.3t","pass","pass"," Hy-Tec","","41960","18/11/22","5.2","pass","pass","pass","40/20/200","","Yes","pass","pass","19/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate"," Rack #"
"A-2B08","pass","pass","Mesh & Bar","","14/12/2022","pass","pass","pass","pass","Wall","","1.1.1"," Bundamba","7.3","1","0.83","0.35","14/12/2022","pass","200","pass","5581","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Achtek 2.5t"," None","","pass","","pass","pass"," Hy-Tec","","43041","14/12/2022","3.9","pass","pass","pass"," 65/10/650","","Yes","pass","pass","15/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-2B09","pass","pass","","","12/12/22","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","7.3","1","0.9","0.38","12/12/22","pass","200","pass","6517","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech "," None","","pass","","pass","pass"," Hy-Tec","","42987","13/12/2022","6.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","14/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","gate","Delivered"
"A-2B10","pass","pass","Mesh & Bar","","15/12/2022","pass","pass","pass","pass","Wall","","1.1.1"," Bundamba","7.3","1","0.84","0.35","15/12/2022","pass","200","pass","5661","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Achtek 2.5t"," None","","pass","","pass","pass"," Hy-Tec","","43121","16/12/22","4.40","pass","pass","pass","40/20/200","","Yes","pass","pass","19/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-2B11","pass","pass","Mesh & Bar","","14/12/2022","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","7.3u","1","0.84","0.35","14/12/2022","pass","200","pass","5661","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Achtek 2.5t"," None","","pass","","pass","pass"," Hy-Tec","","43041","14/12/2022","3.9","pass","pass","pass"," 65/10/650","","Yes","pass","pass","15/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-2B12","pass","pass","Mesh & Bar","","15/12/2022","pass","pass","pass","pass","Wall","","1.1.1"," Bundamba","7.3u","1","0.84","0.35","15/12/2022","pass","200","pass","5661","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Achtek 2.5t"," None","","pass","","pass","pass"," Hy-Tec","","43121","16/12/22","4.4","pass","pass","pass","40/20/200","","Yes","pass","pass","19/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-2B13","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","7.1","1","0.56","0.23","23/11/22","pass","200","pass","3752","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5 actech"," None","","pass","","pass","pass"," Hy-Tec","","42240","24/11/22","2.9","pass","pass","pass","40/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-2B14","pass","pass","","","12/12/22","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","7.3U","1","2.2","0.92","12/12/22","pass","200","pass","5790","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech","","","pass","","pass","pass"," Hy-Tec","","42987","13/12/2022","6.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","14/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground  (front gate)","Delivered"
"A-2B15","pass","pass","","","09/12/22","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","7.1u","1","1.96","0.81","09/12/22","pass","200","pass","5729","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," None",""," Other","2.5t","pass","","pass","pass"," Hy-Tec","","42861","09/12/22","3.3","pass","pass","pass","40/20/200","","Yes","pass","pass","10/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","1 ground","Delivered"
"A-2B16","pass","pass","","","09/12/22","pass","pass","pass","pass"," Balustrade","","1.1.1"," Bundamba","7.11","1","1.96","0.81","09/12/22","pass","200","pass","5729","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," None",""," Other","2.5t","pass","","pass","pass"," Hy-Tec","","42861","09/12/22","3.3","pass","pass","pass","40/20/200","","Yes","pass","pass","15/12/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","1 ground","Delivered"
"A-2B17","pass","pass","","","06/01/23","pass","pass","pass","pass","Wall","","3.2.1"," Bundamba","6.1","1","1.89","0.79","06/01/23","pass","200","pass","4542","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5 actech"," None","","pass","","pass","pass"," Hy-Tec","","43356","07/01/23","6.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","09/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","","Delivered"
"A-2B18","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","5.3","1","1.58","0.66","23/11/22","pass","200","pass","4118","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5tn actech"," None","","pass","","pass","pass"," Hy-Tec","","42240","24/11/22","2.90","pass","pass","pass","40/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground (front gate)","Delivered"
"A-2B19","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","5.4","1","1.61","0.67","23/11/22","pass","200","pass","4181","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5 actech"," None","","pass","","pass","pass"," Hy-Tec","","42240","24/11/22","2.9","pass","pass","pass","40/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","","Delivered"
"A-2B20","pass","pass","","","17/11/2022","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.1u","1","0.65","0.27","17/11/2022","pass","200","pass","4382","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech 1.3t"," None","","pass","M20 lifting ferrules changed to Actech 1.3t","pass","pass"," Hy-Tec","","41960","18/11/22","5.2","pass","pass","pass","40/20/200","","Yes","pass","pass","19/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground ( Bessie)","Delivered"
"A-2B21","pass","pass","","","17/11/2022","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.1","1","0.11","0.05","17/11/2022","pass","200","pass","736","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech 1.3 t"," None","","pass","M20 lifting ferrules changed to Actech 1.3t","pass","pass"," Hy-Tec","","41960","18/11/22","5.2","pass","pass","pass","40/20/200","","Yes","pass","pass","19/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground ","Delivered"
"A-2B22","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","6.5","1","0.2","0.08","23/11/22","pass","200","pass","1330","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5tn actech"," None","","pass","","pass","pass"," Hy-Tec","","42240","24/11/22","2.9","pass","pass","pass","40/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground ( front gate)","Delivered"
"A-2B23","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","6.4","1","0.21","0.09","23/11/22","pass","200","pass","1434","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5 actech"," None","","pass","","pass","pass"," Hy-Tec","","42240","24/11/22","2.9","pass","pass","pass","40/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","","Delivered"
"A-2B24","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","5.6","1","0.46","0.19","23/11/22","pass","200","pass","3115","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t actech"," None","","pass","","pass","pass"," Hy-Tec","","42240","24/11/22","2.9","pass","pass","pass","40/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground ( front gate)","Delivered"
"A-2B25","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","",""," Bundamba","2.4","1","0.46","0.19","23/11/22","pass","200","pass","3115","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5 t Actech "," None","","pass","","pass","pass"," Hy-Tec","","42201","23/11/22","3.4","pass","pass","pass","40/20/200","","Yes","pass","pass","24/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Ground","Delivered"
"A-2B26","pass","pass","","","09/01/23","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.1","1","0.44","0.18","09/01/23","pass","200","pass","3068","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," M20 Prop ferrules",""," None","","pass","","pass","pass"," Hy-Tec","","43373","09/01/23","1.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","10/01/23","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Bessie","Delivered"
"A-2B27","pass","pass","","","21/11/22","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.1U","1","0.92","0.38","21/11/22","pass","200","pass","6157","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech 2.5t"," None","","pass","M20 lifting ferrules changed to Actech 2.5t","pass","pass"," Hy-Tec","","42116","22/11/22","4.7","pass","pass","pass","40/20/200","","Yes","pass","pass","23/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground  ( front gate)","Delivered"
"A-2B28","pass","pass","","","21/11/22","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.2","1","0.92","0.39","21/11/22","pass","200","pass","6269","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","ACTECH 2.5t"," None","","pass","M20 lifting  ferrules changed to Actech 2.5t","pass","pass"," Hy-Tec","","42116","22/11/22","4.7","pass","pass","pass","40/20/200","","Yes","pass","pass","23/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","","Delivered"
"A-2B29","pass","pass","","","21/11/22","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.2U","1","2.09","0.87","21/11/22","pass","200","pass","5601","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech 2.5t"," None","","pass","M20 lifting  ferrules changed to Actech 2.5t","pass","pass"," Hy-Tec","","42116","22/11/22","4.7","pass","pass","pass","40/20/200","","Yes","pass","pass","23/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground  (front gate)","Delivered"
"A-2B30","pass","pass","","","21/11/22","pass","pass","pass","pass"," Balustrade","",""," Bundamba","5.3U","1","2.15","0.90","21/11/22","pass","200","pass","5600","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","Actech.5t "," None","","pass","M20 lifting  ferrules changed to Actech 2.5t","pass","pass"," Hy-Tec","","42116","22/11/22","4.7","pass","pass","pass","40/20/200","","Yes","pass","pass","23/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground (front gate)","Delivered"
"A-2B31","pass","pass","","","18/11/22","pass","pass","pass","pass"," Balustrade","",""," Bundamba","4.6","1","2.16","0.9","18/11/22","pass","200","pass","5613","pass","800","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t Actech"," None","","pass","M20 lifting ferrules changed to Actech 2.5t","pass","pass"," Hy-Tec","","42092","21/11/22","7.3","pass","pass","pass"," 65/10/650","","Yes","pass","pass","22/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground ( front gate)","Delivered"
"A-2B32","pass","pass","","","25/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","3.5u","1","0.77","0.32","25/11/22","pass","200","pass","5189","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t Actech "," None","","pass","","pass","pass"," Hy-Tec","","42340","25/11/22","5.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-2B33","pass","pass","","","25/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","3.4","1","0.77","0.32","25/11/22","pass","200","pass","5159","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t Actech "," None","","pass","","pass","pass"," Hy-Tec","","42340","25/11/22","5.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-2B34","pass","pass","","","25/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","3.4u","1","0.77","0.32","25/11/22","pass","200","pass","5159","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t Actech "," None","","pass","","pass","pass"," Hy-Tec","","42340","25/11/22","5.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-2B35","pass","pass","","","23/11/22","pass","pass","pass","pass"," Balustrade","",""," Bundamba","1.6","1","0.77","0.32","23/11/22","pass","200","pass","5159","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.9t actech","","","pass","","pass","pass"," Hy-Tec","","42201","23/11/22","0.32","pass","pass","pass","40/20/200","","Yes","pass","pass","24/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","","Ground ","Delivered"
"A-2B36","pass","pass","","","25/11/22","pass","pass","pass","pass"," Balustrade","","1.1.2"," Bundamba","3.3","1","0.77","0.32","25/11/22","pass","200","pass","5159","pass","310","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"," Other","2.5t Actech "," None","","pass","","pass","pass"," Hy-Tec","","42340","25/11/22","5.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-L2C82","pass","pass","","","23/11/22","pass","pass","pass","pass"," Column","",""," Bundamba","2.6u","1","1.29","0.54","23/11/22","pass","450","pass","450","pass","2650","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Other","7tn","pass","","pass","pass"," Hy-Tec","","42201","23/11/22","3.4","pass","pass","pass","40/20/200","","Yes","pass","pass","24/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-L2C85","pass","pass","","","23/11/22","pass","pass","pass","pass"," Column","",""," Bundamba","2.5u","1","1.28","0.53","23/11/22","pass","450","pass","450","pass","2640","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," Other","5tn","pass","","pass","pass"," Hy-Tec","","42201","23/11/22","3.4","pass","pass","pass","40/20/200","","Yes","pass","pass","24/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Gate","Delivered"
"A-L2C86","pass","pass","","","23/11/22","pass","pass","pass","pass"," Column","",""," Bundamba","2.2","1","1.16","0.48","23/11/22","pass","300","pass","600","pass","2690","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","Top safety lifter added","pass","pass"," Hy-Tec","","42201","23/11/22","3.4","pass","pass","pass","40/20/200","","Yes","pass","pass","24/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","gate","Delivered"
"A-L2C93","pass","pass","","","24/11/22","pass","pass","pass","pass"," Column","","1.1.1"," Bundamba","6.4","1","1.28","0.53","24/11/22","pass","450","pass","450","pass","2650","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass"," Hy-Tec","","42264","24/11/22","6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","25/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","Ground","Delivered"
