"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"657b1ef8-d220-4ff4-9bf9-f0b54811c85a","","not-started","SNSW Maintenance - Distribution Board","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Distribution Board"
"6eb90890-b444-455b-988e-a91d9d0ea7d5","","not-started","SNSW Maintenance - Distribution Board - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Distribution Board - Final check"
"f2fe7887-c67a-4d23-8e55-22496153a80d","","not-started","SNSW Maintenance - Thermal Imagery","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Thermal Imagery"
"885a51b5-0c88-40db-b599-7b2f3e1560bf","","not-started","SNSW Maintenance - Thermal Imagery - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Thermal Imagery - Final check"
"b9a2497a-af23-4e60-b6fe-f6dd00078079","","not-started","SNSW Maintenance - RCD Testing","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - RCD Testing"
"54695315-ccd7-4de9-8e23-34ab17dee800","","not-started","SNSW Maintenance - Comms Rack","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Comms Rack"
"5552ea13-39fb-470a-b6e5-4a9a24ddd018","","not-started","SNSW Maintenance - Comms Rack - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Comms Rack - Final check"
"0d1b6729-0563-452d-9854-431594f79483","","no-status-not-started","SNSW Maintenance - Test and Tag","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Test and Tag"
"293e5b88-2487-4525-aab4-7bb2bdc1e61e","","not-started","SNSW Maintenance - Test and Tag - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Test and Tag - Final check"
"60a13be8-2dcf-4dc6-aa55-073ab41a56b9","","no-status-not-started","SNSW Maintenance - General maintenance","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - General maintenance"
"3732a462-b5ac-4077-b507-e2aadd0d3922","","not-started","SNSW Maintenance - General maintenance - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - General maintenance - Final check"
