"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b58092d9-8a0b-442c-b301-23f73eefcec3","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-60"
"49ed7a57-0202-4dfd-aa98-7c0bfeffe39d","","work-in-progress","","folder","TRUE","FALSE","Installers Checklist"
"5f470f03-d24c-4fdf-b759-f5b851465b24","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A9"
"d675c877-eb75-4c26-bd7f-bf8fd1dee7c9","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A10"
"8a02918b-6696-4d42-afaa-4bf15f063347","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A11"
"5fdab8cd-59ca-4f01-9454-ac789c535b66","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A12"
"327faa4b-7e8a-4c8f-95cc-a6033dc578d9","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A13"
"4e141f1e-68d0-4e5e-a7f6-30e2cbfff110","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A14"
"f838a0e3-21e0-4e37-ae7e-ef2f2ddd8156","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A15"
"4a793c11-9469-49cd-ae40-c5bea2ca216e","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A16"
"54585f8b-7d1f-464b-b608-398f2261bf86","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A17"
"e97aa834-e56a-4b3e-b82f-b582b6754298","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A18"
"bef1c25d-d498-4257-ac00-b3d82ab0b408","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A19"
"9dffe3c3-8f3b-45de-b7f1-c8c728e95ac9","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A20"
"4ba93738-438e-48af-9de8-4275d329e3a3","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A21"
"3b2583be-8013-43fb-a282-503108092cb3","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A22"
"26ecb406-9d8a-4e90-b6d7-33297f1d1873","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A23"
"b3ea06d5-5a72-43ba-9006-f6a07a3c24fa","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A24"
"92299e4a-d9a9-480c-a32e-9d35e5b8f838","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A25"
"151beda8-17d4-4e45-9fbc-fa3115bece21","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A26"
"c6e41f91-f151-4ea0-b36f-7724f5f426d5","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A27"
"e7529c20-3c64-4765-b129-185084b1fee9","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A28"
"ab762ade-b894-4753-972c-db344b4fa704","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A29"
"e9224f06-d754-4e1b-b39b-0c58499a87a0","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A30"
"c288727c-7410-465f-ba49-c6756e668c11","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A31"
"c5dfd611-b59b-4b49-a958-5c9f3710b81d","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A32"
"006ba4b2-d17b-45cc-b120-f6fbe669fa7c","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A33"
"52624cd4-1846-4044-bd99-9d161650a848","","not-started","Installers Checklist - Abutment Base - Type A","checklist","FALSE","FALSE","Installers Checklist","Base-A34"
