"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1173a02e-4d35-4b4c-9dc4-550a0b480bea","","pass","","folder","TRUE","FALSE","FHC-ITP-001 - Clearing and Grubbing"
"79216736-4489-4011-8f84-083469792f5f","","pass","FHC-ITP-036 - Furniture & Bollard Installation Rev1","checklist","FALSE","FALSE","Furniture","708-0466 - Furniture - Bus Interchange - FHC-ITP-036 - Lot 1"
"3ec0e295-0882-4395-9610-1b2ef8554ca3","","pass","","folder","TRUE","FALSE","Signage"
"86754ebe-a48c-4a2f-8601-eb2a51b694a1","","pass","FHC-ITP-016 - Sign Installation Rev1","checklist","FALSE","FALSE","Signage","708-0420 - Sign Installation - Bus Interchange - FHC-ITP-016 - Lot 1"
"540f00b9-05f5-4c32-92c1-6056bcdcf7df","","pass","","folder","TRUE","FALSE","Fencing"
"5242dfa4-029c-4b60-bc41-a2e4cb526140","","pass","FHC-ITP-038 - Fence Installation","checklist","FALSE","FALSE","Fencing","708-0472 - Fencing - Bus Interchange - FHC-ITP-038 - Lot 1"
"f4219e6e-eaab-4738-b713-d8abd6015669","","pass","FHC-ITP-018 - General Landscaping Rev0","checklist","FALSE","FALSE","	FHC-ITP-018-01 - 708-0388 - LOT 1 - General Landscaping "
"b58aa82d-5291-4a8f-98a4-4a7f7f675078","","work-in-progress","","folder","TRUE","FALSE","LineMarking"
"d09f1e92-debb-4e29-957e-cdf31d370627","","work-in-progress","FHC-ITP-035 - Line Marking Rev2","checklist","FALSE","FALSE","LineMarking","708-0417 - Line Marking - Bus Interchange - FHC-ITP-035 - 01"
"bb5216d4-b425-4b55-a490-845e596af61c","","pass","","folder","TRUE","FALSE","Bus Driver Toilet"
"495037d5-71ec-49c2-b59b-dc634ee103b0","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","Bus Driver Toilet","ITP-FHC-025 - Toilet Block Installation and Footings"
