resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW032,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW033,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW034,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW035,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW036,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW037,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW038,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW039,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW040,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW041,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW042,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW043,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW044,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW045,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW046,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW047,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW048,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW049,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW050,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW051,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW052,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW053,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW054,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW055,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW056,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW057,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW058,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW059,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW060,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW061,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW062,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW063,,,,,,,,
Panel - Elevation Completion checklist,checklist,,,,,,Elevation - Final Sign Off,,,,,,,,
,step,,,,,Cladding,,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB014,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB015,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB016,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB017,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB018,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB019,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB020,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB021,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB022,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB023,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB024,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB025,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB026,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB027,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB028,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB029,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB030,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB031,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB032,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB033,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB034,,,,,,,,
Panel - Elevation Completion checklist,checklist,,,,,,Elevation - Final Sign Off,,,,,,,,
,step,,,Level 3,,,,,,,,,,,
,step,,,,West Elevation,,,,,,,,,,
,step,,,,,Panels,,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L3-WW058,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L3-WW059,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L3-WW060,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L3-WW061,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L3-WW062,,,,,,,,
