"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"875616b4-ae2d-4f02-9e51-d5649d1a1d0d","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Wungong Bridge B01-E&W","Byford U-Beam Stage-2 Casting Checklist Wungong B01-E"
"d023929a-5e0e-4c69-bf4c-b273badaee0d","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Wungong Bridge B01-E&W","Byford U-Beam Stage-1 Casting Wungong B01-W"
"ba01dbb2-0cc5-4d9b-9468-593f29069566","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Wungong Bridge B01-E&W","Byford U-Beam Stage-2 Casting Checklist Wungong B01-W"
"2fc2ee78-72e5-4409-a239-020a8306d5ee","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 42-E and Beam 06-W"
"d27c6ea3-5f03-4886-9dea-54c4e3c5830e","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 42-E and Beam 06-W","Byford U-Beam Stage-1 Casting 42-E"
"3aadc3c5-7aba-4bca-aa24-7d8abdb3fd28","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 42-E and Beam 06-W","Byford U-Beam Stage-2 Casting Checklist 42-E"
"90ac57bb-7a86-4b58-91e9-f15865694e9e","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 42-E and Beam 06-W","Byford U-Beam Stage-1 Casting 06-W"
"ffe2ec7c-c13d-44e6-b494-5cb33fd93aab","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 42-E and Beam 06-W","Byford U-Beam Stage-2 Casting Checklist 06-W"
"73b877c9-c147-49d3-aea7-4ac781bccf12","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 33-CW and Beam 30-W"
"fbec53be-8d48-46e0-a992-dec83a5f3d6c","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 33-CW and Beam 30-W","Byford U-Beam Stage-1 Casting 33-CW"
"4236285d-3558-4d21-91b1-c2135ad60622","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 33-CW and Beam 30-W","Byford U-Beam Stage-2 Casting Checklist 33-CW"
"e39d4bb4-c835-4656-94f2-d07981ec0311","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 33-CW and Beam 30-W","Byford U-Beam Stage-1 Casting 30-W"
"9791ad64-f5ca-42c6-a806-fff00e647730","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 33-CW and Beam 30-W","Byford U-Beam Stage-2 Casting Checklist 30-W"
"770b1c4d-a0c6-43e9-a9f3-5d8c9ec696c3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 34-CW and Beam 29-W"
"db1abb4f-2887-438d-a09f-d11c3bf6d691","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 34-CW and Beam 29-W","Byford U-Beam Stage-1 Casting 34-CW"
"cda56796-64ac-4b77-a02e-fcf5a76207dc","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 34-CW and Beam 29-W","Byford U-Beam Stage-2 Casting Checklist 34-CW"
"93371640-4a1a-471b-aa82-e0dd94093f01","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 34-CW and Beam 29-W","Byford U-Beam Stage-1 Casting 29-W"
"7c306945-6c81-434a-ab1a-e50b74f15adc","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 34-CW and Beam 29-W","Byford U-Beam Stage-2 Casting Checklist 29-W"
