"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"998aab5d-840c-4b2b-8803-50b67447b46c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)"
"99f71ef6-3143-447e-be97-4ea3f78cda7e","","folder-normal","pass","","step","TRUE","FALSE","Tower 1 (West)","Level 1"
"3c660d25-efe9-473f-8a87-98fc8fba7403","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 421"
"e7e4845e-a12d-4fe7-9189-c22f8b198544","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 422"
"74ac1deb-c378-4ed5-bb06-89b6f4035edd","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 423"
"34652a4f-76cb-49bc-862c-ab7cc26e646c","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 424"
"852ab9ca-3369-4363-8acd-82fbf6185c4d","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 425"
"e64cadfc-66a2-4567-b27d-f09887dc0f97","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 426"
"172b09a6-731e-4805-a28f-06ce00450ff6","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 427"
"d85957db-f74f-4a64-9c5f-4bd8c6f04412","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 428"
"416a7586-91ac-4b65-90c9-2d70215313ab","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 429"
"3ae41d58-6ded-4e6d-8759-d355d4568317","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 430"
