"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"62b55fc5-4b52-4d0d-9f54-17c1279fd45c","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.21"
"b9fe85d3-ec16-449c-b5b9-2ba13ff0282e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.22"
"f2fcf834-ed15-4e26-b056-316cca9a41c3","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.23"
"5a75885e-aebc-4f80-a4cf-99e735c21ac1","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.24"
"8c4a02c2-21d5-432b-9fce-a4ab5ca841b7","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.25"
"3b1a9fa1-758b-4043-93d4-646affffeeb1","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.26"
"a3711131-7066-47e0-9b80-be4851fb571b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.27"
"62f6e299-fdf4-455b-a976-d72416f2450c","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.28"
"5197ad18-16c0-40d7-8b39-1593fb864e62","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.29"
"0eae9e05-2ef4-45f1-952d-8685022b7fca","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.30"
"c1f073b7-e423-47b0-b119-0986d25a92d9","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.31"
"7c09e9b6-fce4-43f4-8ae7-f0f5ce63a2c8","","not-started","","folder","TRUE","FALSE","Site QA","Drains.","Novotel","Level 5"
"fc1dbd2a-23de-43e4-9523-9f8d5bea4cd2","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.01"
"5151aac8-4f66-4bab-8b96-21fa4557355d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.02"
"1a31540f-03da-43ea-8e68-0c586561f2ed","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.03"
"094bae2f-0bee-44a7-b7b6-23bfedfb9ce1","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.04"
"c21db8e7-22c0-4d20-b28f-d69fc8e7700a","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.05"
"37ab79c6-08e2-4ac3-8ed6-a9874ff4a9b4","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.06"
"aebe5fd1-a444-452c-bf9d-edff88ea210d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.07"
"29a6f14b-0b53-4960-9599-a7c053c24fe1","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.08"
"7730b7d8-f95b-48b7-bf3d-db46e7b07a0a","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.09"
"ccd4997e-7bf6-4c3a-9a14-5913ffb84221","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.10"
"7fbbe52f-096f-4940-8444-9ff7264f4ec8","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.11"
"46e261bb-eead-400d-b02d-db25eed9b5b8","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.12"
"6a837eb7-a61b-4e50-a9ff-1fb9ebc9655b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.13"
"249d6b2a-d1a5-44ca-a9d2-ec26dc1aafc9","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 5","5.14"
