ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hawkins: Building North - Facade"
,"Scope",,
,"Rows"
,,"North Building","grouping","building b201 north","facade","envelope"
,,"201-240k","expanded","fitout","level 2 - zone a","201-240k","office","building b201 east"
,,"201-240j","expanded","fitout","201-240j","level 2 - zone a","office","building b201 east"
,,"Level 2 - Zone A Toilet - Male","grouping","fitout","level 2 - zone a","toilet - male","building b201 east"
,,"201-257","expanded","fitout","level 2 - zone a","toilet - male","201-257","building b201 east"
,,"Level 2 - Zone A Toilet - ACC","grouping","fitout","level 2 - zone a","toilet - acc","building b201 east"
,,"201-255","expanded","fitout","level 2 - zone a","toilet - acc","building b201 east","201-255"
,,"Level 2 - Zone A Toilet - Female","grouping","toilet - female","fitout","level 2 - zone a","building b201 east"
,,"201-258","expanded","toilet - female","fitout","level 2 - zone a","201-258","building b201 east"
,,"Level 2 - Zone A Service Access","grouping","fitout","level 2 - zone a","service access","building b201 east"
,,"201-259","expanded","fitout","level 2 - zone a","service access","201-259","building b201 east"
,,"Level 2 - Zone A Riser","grouping","fitout","level 2 - zone a","riser","building b201 east"
,,"201-250","expanded","fitout","level 2 - zone a","201-250","riser","building b201 east"
,,"Level 2 - Zone A DB","grouping","fitout","level 2 - zone a","db","building b201 east"
,,"201-253","expanded","fitout","201-253","level 2 - zone a","db","building b201 east"
,,"Level 2 - Zone A Ramp","grouping","fitout","level 2 - zone a","ramp","building b201 east"
,,"Level 2 - Zone B Room","grouping","fitout","level 2 - zone b","room","building b201 east"
,,"201-295","expanded","fitout","201-295","level 2 - zone b","room","building b201 east"
,,"Level 2 - Zone B Stair","grouping","fitout","stair","level 2 - zone b","building b201 east"
,,"201-200s2","expanded","fitout","stair","level 2 - zone b","building b201 east","201-200s2"
,,"Level 2 - Zone B Store","grouping","fitout","level 2 - zone b","store","building b201 east"
,,"201-293b","expanded","fitout","level 2 - zone b","store","201-293b","building b201 east"
,,"Level 2 - Zone B Lift","grouping","fitout","lift","level 2 - zone b","building b201 east"
,,"01-200e6","expanded","fitout","lift","level 2 - zone b","01-200e6","building b201 east"
,,"Level 2 - Zone B Lecture Theater","grouping","fitout","level 2 - zone b","lecture theater","building b201 east"
,,"201-293","expanded","fitout","level 2 - zone b","lecture theater","201-293","building b201 east"
,,"Level 2 - Zone B Water Tank","grouping","fitout","water tank","level 2 - zone b","building b201 east"
,,"201-297","expanded","fitout","201-297","water tank","level 2 - zone b","building b201 east"
,,"Level 2 - Zone B BOH","grouping","fitout","boh","level 2 - zone b","building b201 east"
,,"201-296a","expanded","fitout","201-296a","boh","level 2 - zone b","building b201 east"
,,"Level 2 - Zone B Riser","grouping","fitout","level 2 - zone b","riser","building b201 east"
,,"201-297a","expanded","fitout","level 2 - zone b","riser","201-297a","building b201 east"
,,"Level 3 - Zone A Stair","grouping","level 3 - zone a","fitout","stair","building b201 east"
,,"201-300s3","expanded","level 3 - zone a","fitout","stair","building b201 east","201-300s3"
,,"201-300s4","expanded","level 3 - zone a","fitout","stair","201-300s4","building b201 east"
,,"201-300s5","expanded","level 3 - zone a","fitout","stair","201-300s5","building b201 east"
,,"Level 3 - Zone A Toilet - Female","grouping","level 3 - zone a","toilet - female","fitout","building b201 east"
,,"201-303","expanded","level 3 - zone a","toilet - female","fitout","201-303","building b201 east"
,,"201-358","expanded","level 3 - zone a","toilet - female","fitout","201-358","building b201 east"
,,"Level 3 - Zone A Toilet - Male","grouping","level 3 - zone a","fitout","toilet - male","building b201 east"
,,"201-306","expanded","level 3 - zone a","201-306","fitout","toilet - male","building b201 east"
,,"201-357","expanded","level 3 - zone a","fitout","201-357","toilet - male","building b201 east"
,,"Level 3 - Zone A Toilet - ACC","grouping","level 3 - zone a","fitout","toilet - acc","building b201 east"
,,"201-302","expanded","level 3 - zone a","fitout","201-302","toilet - acc","building b201 east"
,,"201-355","expanded","level 3 - zone a","fitout","toilet - acc","201-355","building b201 east"
,,"Level 3 - Zone A Service Access","grouping","level 3 - zone a","fitout","service access","building b201 east"
,,"201-359","expanded","level 3 - zone a","fitout","service access","201-359","building b201 east"
,,"Level 3 - Zone A SHWR","grouping","level 3 - zone a","fitout","shwr","building b201 east"
,,"201-301","expanded","level 3 - zone a","fitout","shwr","201-301","building b201 east"
,,"Level 3 - Zone A Lift Lobby","grouping","level 3 - zone a","fitout","lift lobby","building b201 east"
,,"201-300l3","expanded","level 3 - zone a","fitout","lift lobby","201-300l3","building b201 east"
,,"201-300l4","expanded","level 3 - zone a","fitout","lift lobby","201-300l4","building b201 east"
,,"201-300l5","expanded","level 3 - zone a","fitout","lift lobby","201-300l5","building b201 east"
,,"Level 3 - Zone A CLNR","grouping","level 3 - zone a","fitout","clnr","building b201 east"
,,"201-304","expanded","level 3 - zone a","fitout","201-304","clnr","building b201 east"
,,"Level 3 - Zone A Lift","grouping","level 3 - zone a","fitout","lift","building b201 east"
,,"201-300e1","expanded","level 3 - zone a","fitout","lift","201-300e1","building b201 east"
,,"201-300e4","expanded","level 3 - zone a","fitout","lift","201-300e4","building b201 east"
,,"201-300e3","expanded","level 3 - zone a","fitout","201-300e3","lift","building b201 east"
,,"201-300e2","expanded","level 3 - zone a","201-300e2","fitout","lift","building b201 east"
,,"201-300e5","expanded","level 3 - zone a","fitout","lift","building b201 east","201-300e5"
,,"Level 3 - Zone A Riser","grouping","level 3 - zone a","fitout","riser","building b201 east"
,,"201-311a","expanded","level 3 - zone a","fitout","201-311a","riser","building b201 east"
,,"201-308","expanded","level 3 - zone a","fitout","201-308","riser","building b201 east"
,,"201-354","expanded","level 3 - zone a","fitout","riser","building b201 east","201-354"
,,"201-342a","expanded","level 3 - zone a","fitout","riser","building b201 east","201-342a"
,,"Level 3 - Zone A DB","grouping","level 3 - zone a","fitout","db","building b201 east"
,,"201-307","expanded","level 3 - zone a","fitout","db","201-307","building b201 east"
,,"Level 3 - Zone A Room","grouping","level 3 - zone a","fitout","room","building b201 east"
,,"201-310","expanded","level 3 - zone a","fitout","room","building b201 east","201-310"
,,"Level 3 - Zone A Breakout","grouping","level 3 - zone a","fitout","breakout","building b201 east"
,,"201-312","expanded","level 3 - zone a","fitout","breakout","201-312","building b201 east"
,,"201-328","expanded","level 3 - zone a","201-328","fitout","breakout","building b201 east"
,,"201-321","expanded","level 3 - zone a","fitout","breakout","building b201 east","201-321"
,,"201-329","expanded","level 3 - zone a","fitout","breakout","201-329","building b201 east"
,,"201-325","expanded","level 3 - zone a","fitout","breakout","201-325","building b201 east"
,,"201-327","expanded","level 3 - zone a","fitout","201-327","breakout","building b201 east"
,,"201-335","expanded","level 3 - zone a","fitout","breakout","201-335","building b201 east"
,,"201-333","expanded","level 3 - zone a","fitout","breakout","201-333","building b201 east"
,,"201-337","expanded","level 3 - zone a","fitout","201-337","breakout","building b201 east"
,,"201-339","expanded","level 3 - zone a","201-339","fitout","breakout","building b201 east"
,,"Level 3 - Zone A Pool Teaching","grouping","level 3 - zone a","fitout","pool teaching","building b201 east"
,,"201-311","expanded","level 3 - zone a","fitout","pool teaching","201-311","building b201 east"
,,"201-326","expanded","level 3 - zone a","fitout","201-326","pool teaching","building b201 east"
,,"201-317","expanded","level 3 - zone a","201-317","fitout","pool teaching","building b201 east"
,,"201-341","expanded","level 3 - zone a","fitout","201-341","pool teaching","building b201 east"
,,"201-334","expanded","level 3 - zone a","fitout","pool teaching","201-334","building b201 east"
,,"201-342","expanded","level 3 - zone a","201-342","fitout","pool teaching","building b201 east"
,,"Level 3 - Zone A Lab","grouping","level 3 - zone a","fitout","lab","building b201 east"
,,"201-320","expanded","level 3 - zone a","201-320","fitout","lab","building b201 east"
,,"201-330","expanded","level 3 - zone a","fitout","201-330","lab","building b201 east"
,,"Level 3 - Zone A Circulation","grouping","level 3 - zone a","fitout","circulation","building b201 east"
,,"201-300c7","expanded","level 3 - zone a","fitout","201-300c7","circulation","building b201 east"
,,"201-300c8","expanded","level 3 - zone a","201-300c8","fitout","circulation","building b201 east"
,,"201-300c6","expanded","level 3 - zone a","fitout","201-300c6","circulation","building b201 east"
,,"201-300c9","expanded","level 3 - zone a","fitout","201-300c9","circulation","building b201 east"
,,"201-300c10","expanded","level 3 - zone a","201-300c10","fitout","circulation","building b201 east"
,,"Level 3 - Zone A Comms","grouping","level 3 - zone a","comms","fitout","building b201 east"
,,"201-324","expanded","level 3 - zone a","comms","fitout","201-324","building b201 east"
,,"Level 3 - Zone A Server","grouping","level 3 - zone a","fitout","server","building b201 east"
,,"201-330a","expanded","level 3 - zone a","fitout","server","201-330a","building b201 east"
,,"Level 3 - Zone A DB","grouping","level 3 - zone a","fitout","db","building b201 east"
,,"201-307","expanded","level 3 - zone a","fitout","db","201-307","building b201 east"
,,"Level 3 - Zone A Service Access","grouping","level 3 - zone a","fitout","service access","building b201 east"
,,"201-359","expanded","level 3 - zone a","fitout","service access","201-359","building b201 east"
,,"Level 3 - Zone A Ramp","grouping","level 3 - zone a","fitout","ramp","building b201 east"
,,"Level 3 - Zone B Riser","grouping","fitout","level 3 - zone b","riser","building b201 east"
,,"201-3110","expanded","fitout","201-3110","level 3 - zone b","riser","building b201 east"
,,"201-395a","expanded","fitout","201-395a","level 3 - zone b","riser","building b201 east"
,,"Level 3 - Zone B Circulation","grouping","fitout","level 3 - zone b","circulation","building b201 east"
,,"201-300c3","expanded","fitout","level 3 - zone b","circulation","building b201 east","201-300c3"
,,"201-300c2","expanded","fitout","level 3 - zone b","201-300c2","circulation","building b201 east"
,,"201-300c4","expanded","fitout","level 3 - zone b","201-300c4","circulation","building b201 east"
,,"201-300c5","expanded","fitout","level 3 - zone b","201-300c5","circulation","building b201 east"
,,"201-300c1","expanded","fitout","201-300c1","level 3 - zone b","circulation","building b201 east"
,,"Level 3 - Zone B Breakout","grouping","fitout","level 3 - zone b","breakout","building b201 east"
,,"201-394","expanded","fitout","level 3 - zone b","breakout","201-394","building b201 east"
,,"201-395","expanded","fitout","201-395","level 3 - zone b","breakout","building b201 east"
,,"201-392","expanded","fitout","level 3 - zone b","breakout","201-392","building b201 east"
,,"201-391","expanded","fitout","level 3 - zone b","breakout","201-391","building b201 east"
,,"Level 3 - Zone B Void","grouping","fitout","level 3 - zone b","void","building b201 east"
,,"Level 3 - Zone B Lift","grouping","fitout","lift","level 3 - zone b","building b201 east"
,,"201-300e6","expanded","fitout","lift","level 3 - zone b","201-300e6","building b201 east"
,,"Level 3 - Zone B Room","grouping","fitout","level 3 - zone b","room","building b201 east"
,,"201-396","expanded","fitout","201-396","level 3 - zone b","room","building b201 east"
,,"Level 3 - Zone B Kitchen","grouping","fitout","level 3 - zone b","kitchen","building b201 east"
,,"201-397","expanded","201-397","fitout","level 3 - zone b","kitchen","building b201 east"
,,"Level 3 - Zone B Toilet - Male","grouping","fitout","level 3 - zone b","toilet - male","building b201 east"
,,"201-398","expanded","fitout","level 3 - zone b","toilet - male","building b201 east","201-398"
,,"Level 3 - Zone B Toilet - Female","grouping","toilet - female","fitout","level 3 - zone b","building b201 east"
,,"201-3100","expanded","toilet - female","fitout","level 3 - zone b","201-3100","building b201 east"
,,"Level 3 - Zone B C. C/BD","grouping","fitout","level 3 - zone b","c. c/bd","building b201 east"
,,"201-399","expanded","fitout","level 3 - zone b","c. c/bd","201-399","building b201 east"
,,"Level 3 - Zone B WC Lobby","grouping","fitout","level 3 - zone b","wc lobby","building b201 east"
,,"201-300l2","expanded","fitout","201-300l2","level 3 - zone b","wc lobby","building b201 east"
,,"Level 3 - Zone B Lecture Theater","grouping","fitout","level 3 - zone b","lecture theater","building b201 east"
,,"201-393","expanded","fitout","level 3 - zone b","201-393","lecture theater","building b201 east"
,,"Level 3 - Zone B Comms","grouping","comms","fitout","level 3 - zone b","building b201 east"
,,"201-393a","expanded","comms","fitout","level 3 - zone b","201-393a","building b201 east"
,,"Level 3 - Zone B DB","grouping","fitout","level 3 - zone b","db","building b201 east"
,,"2201-494","expanded","fitout","2201-494","level 3 - zone b","db","building b201 east"
,,"Level 3 - Zone B Wind Lobby","grouping","wind lobby","fitout","level 3 - zone b","building b201 east"
,,"201-300l1","expanded","wind lobby","201-300l1","fitout","level 3 - zone b","building b201 east"
,,"Level 3 - Zone B Stair","grouping","fitout","level 3 - zone b","stair","building b201 east"
,,"201-300s1","expanded","fitout","201-300s1","level 3 - zone b","stair","building b201 east"
,,"Level 4 - Zone A Toilet - Female","grouping","toilet - female","fitout","level 4 - zone a","building b201 east"
,,"201-403","expanded","toilet - female","fitout","201-403","level 4 - zone a","building b201 east"
,,"201-458","expanded","toilet - female","fitout","201-458","level 4 - zone a","building b201 east"
,,"Level 4 - Zone A Toilet - Male","grouping","fitout","level 4 - zone a","toilet - male","building b201 east"
,,"201-406","expanded","fitout","level 4 - zone a","toilet - male","201-406","building b201 east"
,,"201-457","expanded","fitout","level 4 - zone a","201-457","toilet - male","building b201 east"
,,"Level 4 - Zone A Toilet - ACC","grouping","fitout","level 4 - zone a","toilet - acc","building b201 east"
,,"201-402","expanded","fitout","level 4 - zone a","201-402","toilet - acc","building b201 east"
,,"201-455","expanded","fitout","level 4 - zone a","201-455","toilet - acc","building b201 east"
,,"Level 4 - Zone A SHWR","grouping","fitout","level 4 - zone a","shwr","building b201 east"
,,"201-401","expanded","fitout","level 4 - zone a","201-401","shwr","building b201 east"
,,"Level 4 - Zone A Service Access","grouping","fitout","service access","level 4 - zone a","building b201 east"
,,"201-405","expanded","201-405","fitout","service access","level 4 - zone a","building b201 east"
,,"Level 4 - Zone A CLNR","grouping","fitout","clnr","level 4 - zone a","building b201 east"
,,"201-404","expanded","fitout","201-404","clnr","level 4 - zone a","building b201 east"
,,"Level 4 - Zone A Lift","grouping","fitout","lift","level 4 - zone a","building b201 east"
,,"201-400e1","expanded","fitout","lift","201-400e1","level 4 - zone a","building b201 east"
,,"201-400e4","expanded","fitout","lift","level 4 - zone a","201-400e4","building b201 east"
,,"201-400e3","expanded","fitout","lift","level 4 - zone a","201-400e3","building b201 east"
,,"201-400e2","expanded","fitout","lift","201-400e2","level 4 - zone a","building b201 east"
,,"201-400e5","expanded","fitout","lift","level 4 - zone a","201-400e5","building b201 east"
,,"Level 4 - Zone A Riser","grouping","fitout","level 4 - zone a","riser","building b201 east"
,,"201-417a","expanded","fitout","level 4 - zone a","201-417a","riser","building b201 east"
,,"201-408","expanded","fitout","level 4 - zone a","201-408","riser","building b201 east"
,,"201-440a","expanded","fitout","level 4 - zone a","riser","201-440a","building b201 east"
,,"201-454","expanded","fitout","level 4 - zone a","riser","201-454","building b201 east"
,,"Level 4 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 4 - zone a","building b201 east"
,,"201-400l3","expanded","fitout","lift lobby","level 4 - zone a","201-400l3","building b201 east"
,,"201-400l4","expanded","fitout","lift lobby","level 4 - zone a","201-400l4","building b201 east"
,,"201-400l5","expanded","fitout","lift lobby","level 4 - zone a","201-400l5","building b201 east"
,,"Level 4 - Zone A Shared Open Plan","grouping","fitout","level 4 - zone a","shared open plan","building b201 east"
,,"201-417","expanded","fitout","level 4 - zone a","shared open plan","201-417","building b201 east"
,,"Level 4 - Zone A Room","grouping","fitout","level 4 - zone a","room","building b201 east"
,,"201-419","expanded","fitout","level 4 - zone a","201-419","room","building b201 east"
,,"201-498","expanded","fitout","level 4 - zone a","room","201-498","building b201 east"
,,"201-426","expanded","fitout","201-426","level 4 - zone a","room","building b201 east"
,,"201-420","expanded","fitout","level 4 - zone a","room","building b201 east","201-420"
,,"201-428","expanded","fitout","level 4 - zone a","room","201-428","building b201 east"
,,"201-416","expanded","201-416","fitout","level 4 - zone a","room","building b201 east"
,,"201-418","expanded","fitout","level 4 - zone a","201-418","room","building b201 east"
,,"201-440","expanded","fitout","201-440","level 4 - zone a","room","building b201 east"
,,"Level 4 - Zone A Office","grouping","fitout","level 4 - zone a","office","building b201 east"
,,"201-415","expanded","fitout","201-415","level 4 - zone a","office","building b201 east"
,,"201-413","expanded","fitout","level 4 - zone a","office","201-413","building b201 east"
,,"201-411","expanded","fitout","level 4 - zone a","office","201-411","building b201 east"
,,"201-412","expanded","fitout","level 4 - zone a","office","201-412","building b201 east"
,,"201-414","expanded","fitout","201-414","level 4 - zone a","office","building b201 east"
,,"Level 4 - Zone A Breakout","grouping","fitout","breakout","level 4 - zone a","building b201 east"
,,"201-400c7","expanded","fitout","201-400c7","breakout","level 4 - zone a","building b201 east"
,,"201-425","expanded","fitout","201-425","breakout","level 4 - zone a","building b201 east"
,,"201-435","expanded","fitout","breakout","level 4 - zone a","201-435","building b201 east"
,,"201-430","expanded","201-430","fitout","breakout","level 4 - zone a","building b201 east"
,,"201-439","expanded","fitout","breakout","level 4 - zone a","201-439","building b201 east"
,,"Level 4 - Zone A Circulation","grouping","fitout","level 4 - zone a","circulation","building b201 east"
,,"201-400c6","expanded","fitout","201-400c6","level 4 - zone a","circulation","building b201 east"
,,"201-400c5","expanded","201-400c5","fitout","level 4 - zone a","circulation","building b201 east"
,,"201-400c9","expanded","fitout","level 4 - zone a","201-400c9","circulation","building b201 east"
,,"Level 4 - Zone A Comms","grouping","comms","fitout","level 4 - zone a","building b201 east"
,,"201-424","expanded","comms","fitout","level 4 - zone a","201-424","building b201 east"
,,"Level 4 - Zone A Stair","grouping","fitout","stair","level 4 - zone a","building b201 east"
,,"201-400s4","expanded","fitout","stair","level 4 - zone a","building b201 east","201-400s4"
,,"Level 4 - Zone A Lobby","grouping","fitout","lobby","level 4 - zone a","building b201 east"
,,"Level 4 - Zone A Ramp","grouping","fitout","level 4 - zone a","ramp","building b201 east"
,,"Level 4 - Zone A Store","grouping","fitout","level 4 - zone a","store","building b201 east"
,,"201-452","expanded","201-452","fitout","level 4 - zone a","store","building b201 east"
,,"Level 4 - Zone A Service Access","grouping","fitout","service access","level 4 - zone a","building b201 east"
,,"201-405","expanded","201-405","fitout","service access","level 4 - zone a","building b201 east"
,,"Level 4 - Zone A GN","grouping","fitout","level 4 - zone a","gn","building b201 east"
,,"201-456","expanded","fitout","level 4 - zone a","201-456","gn","building b201 east"
,,"Level 4 - Zone B Plant Room","grouping","fitout","level 4 - zone b","plant room","building b201 east"
,,"201-493f","expanded","fitout","level 4 - zone b","plant room","201-493f","building b201 east"
,,"201-497","expanded","fitout","level 4 - zone b","plant room","building b201 east","201-497"
,,"Level 4 - Zone B AV C/BD","grouping","fitout","av c/bd","level 4 - zone b","building b201 east"
,,"201-493e","expanded","fitout","av c/bd","level 4 - zone b","201-493e","building b201 east"
,,"201-493d","expanded","fitout","av c/bd","level 4 - zone b","201-493d","building b201 east"
,,"Level 4 - Zone B Circulation","grouping","fitout","level 4 - zone b","circulation","building b201 east"
,,"201-400c4","expanded","fitout","level 4 - zone b","circulation","building b201 east","201-400c4"
,,"201-400c2","expanded","fitout","level 4 - zone b","201-400c2","circulation","building b201 east"
,,"201-400c1","expanded","fitout","level 4 - zone b","201-400c1","circulation","building b201 east"
,,"Level 4 - Zone B Manifold","grouping","fitout","manifold","level 4 - zone b","building b201 east"
,,"201-493c","expanded","fitout","manifold","level 4 - zone b","201-493c","building b201 east"
,,"201-493b","expanded","fitout","manifold","level 4 - zone b","201-493b","building b201 east"
,,"201-493a","expanded","201-493a","fitout","manifold","level 4 - zone b","building b201 east"
,,"201-491a","expanded","fitout","manifold","level 4 - zone b","201-491a","building b201 east"
,,"Level 4 - Zone B Breakout","grouping","fitout","level 4 - zone b","breakout","building b201 east"
,,"201-493","expanded","fitout","level 4 - zone b","breakout","201-493","building b201 east"
,,"201-495","expanded","fitout","201-495","level 4 - zone b","breakout","building b201 east"
,,"201-496","expanded","201-496","fitout","level 4 - zone b","breakout","building b201 east"
,,"201-491","expanded","fitout","level 4 - zone b","breakout","201-491","building b201 east"
,,"201-492","expanded","fitout","level 4 - zone b","breakout","201-492","building b201 east"
,,"Level 4 - Zone B Wind Lobby","grouping","wind lobby","fitout","level 4 - zone b","building b201 east"
,,"201-400l2","expanded","wind lobby","fitout","level 4 - zone b","201-400l2","building b201 east"
,,"201-400l1","expanded","wind lobby","fitout","level 4 - zone b","201-400l1","building b201 east"
,,"Level 4 - Zone B Stair","grouping","fitout","level 4 - zone b","stair","building b201 east"
,,"201-400s1","expanded","fitout","level 4 - zone b","stair","201-400s1","building b201 east"
,"Columns"
,,"Wall Preline",,"wall preline","wall services preline"
,,"Interior Framing Checklist",,"interior framing checklist","wall services preline"
,,"Plumbing Walls First Fix",,"plumbing walls first fix","wall services preline"
,,"Fire Protection Walls (Alarms) First Fix",,"fire protection walls (alarms) first fix","wall services preline"
,,"Mechanical Services Wall First Fix",,"mechanical services wall first fix","wall services preline"
,,"Electrical Wall First Fix",,"electrical wall first fix","wall services preline"
,,"Data/Security Wall First Fix",,"data/security wall first fix","wall services preline"
,,"Insulation/Acoustic Checklist",,"insulation/acoustic checklist","wall services preline"
,,"Preline Inspection Checklist",,"preline inspection checklist","wall services preline"
,,"Ceiling Preline",,"ceiling preline"
,,"QA - Insulation Checklist Prior to Lining",,"ceiling preline","qa - insulation checklist prior to lining"
,,"QA - Plumbing First Fix",,"ceiling preline","qa - plumbing first fix"
,,"Fire Protection (Sprinklers & Alarms) First Fix",,"ceiling preline","fire protection (sprinklers & alarms) first fix"
,,"Mechanical Services First Fix",,"ceiling preline","mechanical services first fix"
,,"Electrical/Data/Security Fix",,"ceiling preline","electrical/data/security fix"
,,"Rondo Ceiling Grid Installation",,"ceiling preline","rondo ceiling grid installation"
,,"Preline Inspection Checklist",,"ceiling preline","preline inspection checklist"
,,"Walls Postline",,"walls postline"
,,"Ceiling Postline",,"ceiling postline"
,,"Flooring",,"flooring"
,,"Final Sign Off",,"final sign off"

"Hawkins: Building East - Fitout (L5-11)"
,"Scope",,
,"Rows"
,,"Level 5 - Zone A Toilet - Female","grouping","toilet - female","fitout","level 5 - zone a","building b201 east"
,,"201-503","expanded","toilet - female","fitout","201-503","level 5 - zone a","building b201 east"
,,"201-558","expanded","toilet - female","fitout","201-558","level 5 - zone a","building b201 east"
,,"Level 5 - Zone A Toilet - Male","grouping","fitout","level 5 - zone a","toilet - male","building b201 east"
,,"201-506","expanded","fitout","level 5 - zone a","toilet - male","201-506","building b201 east"
,,"201-557","expanded","fitout","201-557","level 5 - zone a","toilet - male","building b201 east"
,,"Level 5 - Zone A Toilet - ACC","grouping","fitout","level 5 - zone a","toilet - acc","building b201 east"
,,"201-502","expanded","fitout","201-502","level 5 - zone a","toilet - acc","building b201 east"
,,"201-555","expanded","fitout","level 5 - zone a","201-555","toilet - acc","building b201 east"
,,"Level 5 - Zone A Service Access","grouping","fitout","service access","level 5 - zone a","building b201 east"
,,"201-505","expanded","fitout","service access","level 5 - zone a","201-505","building b201 east"
,,"Level 5 - Zone A SHWR","grouping","fitout","level 5 - zone a","shwr","building b201 east"
,,"201-501","expanded","fitout","level 5 - zone a","201-501","shwr","building b201 east"
,,"Level 5 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 5 - zone a","building b201 east"
,,"201-500l3","expanded","201-500l3","fitout","lift lobby","level 5 - zone a","building b201 east"
,,"201-500l2","expanded","fitout","lift lobby","201-500l2","level 5 - zone a","building b201 east"
,,"Level 5 - Zone A CLNR","grouping","fitout","clnr","level 5 - zone a","building b201 east"
,,"201-504","expanded","201-504","fitout","clnr","level 5 - zone a","building b201 east"
,,"Level 5 - Zone A Void","grouping","fitout","void","level 5 - zone a","building b201 east"
,,"Level 5 - Zone A Lift","grouping","fitout","lift","level 5 - zone a","building b201 east"
,,"201-500e1","expanded","fitout","lift","level 5 - zone a","201-500e1","building b201 east"
,,"201-500e5","expanded","fitout","lift","201-500e5","level 5 - zone a","building b201 east"
,,"201-500e4","expanded","201-500e4","fitout","lift","level 5 - zone a","building b201 east"
,,"201-500e3","expanded","fitout","lift","level 5 - zone a","201-500e3","building b201 east"
,,"201-500e2","expanded","fitout","lift","201-500e2","level 5 - zone a","building b201 east"
,,"Level 5 - Zone A Riser","grouping","fitout","level 5 - zone a","riser","building b201 east"
,,"201-508","expanded","fitout","level 5 - zone a","201-508","riser","building b201 east"
,,"201-554","expanded","fitout","level 5 - zone a","201-554","riser","building b201 east"
,,"Level 5 - Zone A SOP","grouping","fitout","level 5 - zone a","sop","building b201 east"
,,"201-548","expanded","201-548","fitout","level 5 - zone a","sop","building b201 east"
,,"Level 5 - Zone A Circulation","grouping","fitout","level 5 - zone a","circulation","building b201 east"
,,"201-500c1","expanded","fitout","level 5 - zone a","201-500c1","circulation","building b201 east"
,,"201-500c3","expanded","fitout","201-500c3","level 5 - zone a","circulation","building b201 east"
,,"201-500c4","expanded","fitout","level 5 - zone a","201-500c4","circulation","building b201 east"
,,"201-500c2","expanded","201-500c2","fitout","level 5 - zone a","circulation","building b201 east"
,,"Level 5 - Zone A Office","grouping","fitout","level 5 - zone a","office","building b201 east"
,,"201-517c","expanded","fitout","level 5 - zone a","office","201-517c","building b201 east"
,,"201-511","expanded","fitout","level 5 - zone a","office","201-511","building b201 east"
,,"201-517b","expanded","fitout","level 5 - zone a","office","201-517b","building b201 east"
,,"201-513","expanded","fitout","201-513","level 5 - zone a","office","building b201 east"
,,"201-517a","expanded","fitout","level 5 - zone a","office","201-517a","building b201 east"
,,"201-515","expanded","201-515","fitout","level 5 - zone a","office","building b201 east"
,,"201-512","expanded","fitout","level 5 - zone a","office","201-512","building b201 east"
,,"201-522","expanded","fitout","level 5 - zone a","office","201-522","building b201 east"
,,"201-514","expanded","fitout","201-514","level 5 - zone a","office","building b201 east"
,,"201-520","expanded","fitout","level 5 - zone a","office","201-520","building b201 east"
,,"201-516","expanded","fitout","level 5 - zone a","office","201-516","building b201 east"
,,"201-518","expanded","fitout","level 5 - zone a","office","201-518","building b201 east"
,,"201-523","expanded","fitout","level 5 - zone a","office","201-523","building b201 east"
,,"201-521","expanded","fitout","level 5 - zone a","office","201-521","building b201 east"
,,"201-519","expanded","fitout","level 5 - zone a","office","201-519","building b201 east"
,,"201-530","expanded","fitout","level 5 - zone a","office","building b201 east","201-530"
,,"201-537","expanded","201-537","fitout","level 5 - zone a","office","building b201 east"
,,"201-535","expanded","fitout","201-535","level 5 - zone a","office","building b201 east"
,,"201-539","expanded","fitout","level 5 - zone a","office","201-539","building b201 east"
,,"201-500c5","expanded","fitout","level 5 - zone a","office","building b201 east","201-500c5"
,,"201-540","expanded","201-540","fitout","level 5 - zone a","office","building b201 east"
,,"201-538","expanded","fitout","level 5 - zone a","office","201-538","building b201 east"
,,"201-543","expanded","fitout","level 5 - zone a","office","201-543","building b201 east"
,,"201-545","expanded","fitout","level 5 - zone a","office","201-545","building b201 east"
,,"201-536","expanded","fitout","201-536","level 5 - zone a","office","building b201 east"
,,"201-541","expanded","fitout","level 5 - zone a","office","building b201 east","201-541"
,,"201-500c6","expanded","fitout","level 5 - zone a","office","201-500c6","building b201 east"
,,"201-546","expanded","fitout","201-546","level 5 - zone a","office","building b201 east"
,,"201-544","expanded","fitout","level 5 - zone a","office","201-544","building b201 east"
,,"201-542","expanded","fitout","level 5 - zone a","office","201-542","building b201 east"
,,"201-500c7","expanded","fitout","level 5 - zone a","office","201-500c7","building b201 east"
,,"201-549","expanded","fitout","level 5 - zone a","office","201-549","building b201 east"
,,"201-547","expanded","fitout","201-547","level 5 - zone a","office","building b201 east"
,,"201-548a","expanded","fitout","level 5 - zone a","office","201-548a","building b201 east"
,,"201-548b","expanded","fitout","level 5 - zone a","office","201-548b","building b201 east"
,,"201-548c","expanded","fitout","201-548c","level 5 - zone a","office","building b201 east"
,,"201-551","expanded","201-551","fitout","level 5 - zone a","office","building b201 east"
,,"Level 5 - Zone A Room","grouping","fitout","level 5 - zone a","room","building b201 east"
,,"201-526","expanded","201-526","fitout","level 5 - zone a","room","building b201 east"
