"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4134de46-be58-4c5d-a856-ba82f3c74bab","","work-in-progress","","folder","FALSE","FALSE","June 2025"
"f3d9d0cb-126a-4c63-a259-271dadf25f21","","no-status-not-started","","folder","FALSE","FALSE","August 2025","28 August"
"8d66b4cc-92a7-48c3-bc82-b59b6dc2ef6d","","no-status-not-started","","folder","TRUE","FALSE","August 2025","28 August","Prepour"
"b4d2732c-b993-4f32-97fa-cba8aa6b84c5","","no-status-not-started","","folder","TRUE","FALSE","August 2025","28 August","Postpour"
"78f11661-de15-4d34-8a7d-1d51a3d47d0e","","no-status-not-started","","folder","FALSE","FALSE","August 2025","29 August"
"619b2ca0-63ba-41af-93a1-658717c99cb6","","no-status-not-started","","folder","TRUE","FALSE","August 2025","29 August","Prepour"
"f4b9b906-a505-40f2-80e9-d0c45e3b2cbb","","no-status-not-started","","folder","TRUE","FALSE","August 2025","29 August","Postpour"
"5336c50c-ddaa-438a-a597-1c1e643e540a","","no-status-not-started","","folder","FALSE","FALSE","August 2025","30 August"
"673366e4-3149-432c-a90c-6f230a0fff01","","no-status-not-started","","folder","TRUE","FALSE","August 2025","30 August","Prepour"
"3fa50ce0-8ceb-4f24-b7bf-8c47697dbaa1","","no-status-not-started","","folder","TRUE","FALSE","August 2025","30 August","Postpour"
"95269212-66f8-494a-952a-af07b8a54a41","","no-status-not-started","","folder","FALSE","FALSE","August 2025","31 August"
"6dfff4b1-32cd-4575-8693-4eb9bcfbb04b","","no-status-not-started","","folder","TRUE","FALSE","August 2025","31 August","Prepour"
"0bbd489d-705f-4252-b547-593a185b75e9","","no-status-not-started","","folder","TRUE","FALSE","August 2025","31 August","Postpour"
"ac08d5c6-198b-482c-be58-69748704606d","","no-status-not-started","","folder","FALSE","FALSE","September 2025"
"903ef970-b265-4816-8cdc-dd8225cad1a8","","no-status-not-started","","folder","FALSE","FALSE","September 2025","1 September"
"610fcc62-8f37-4d11-9564-d0d130ffb105","","no-status-not-started","","folder","TRUE","FALSE","September 2025","1 September","Prepour"
"ad1b21b5-d93f-4e24-8b77-76c865b30a9a","","no-status-not-started","","folder","TRUE","FALSE","September 2025","1 September","Postpour"
"4eed05e2-7f21-4f5a-8359-cc54defc2f68","","no-status-not-started","","folder","FALSE","FALSE","September 2025","2 September"
"5816374b-763b-42ac-b922-01a8e3d1d520","","no-status-not-started","","folder","TRUE","FALSE","September 2025","2 September","Prepour"
"8b8ade1a-697c-49b6-a7d0-d8aa259fd24d","","no-status-not-started","","folder","TRUE","FALSE","September 2025","2 September","Postpour"
"5fcea1dc-15f9-4c81-bf81-87fd29539410","","no-status-not-started","","folder","FALSE","FALSE","September 2025","3 September"
"bb261471-f6ba-4ede-8321-5f97e7fcbefe","","no-status-not-started","","folder","TRUE","FALSE","September 2025","3 September","Prepour"
"ccd089a7-4113-4bba-a716-2aa9954b9b87","","no-status-not-started","","folder","TRUE","FALSE","September 2025","3 September","Postpour"
"0d0ef334-cb96-46b2-ba99-0474449cdafe","","no-status-not-started","","folder","FALSE","FALSE","September 2025","4 September"
"7cc1f5cd-0b46-4640-a2c0-5d94df7e3232","","no-status-not-started","","folder","TRUE","FALSE","September 2025","4 September","Prepour"
"6825cef7-9baf-4954-9403-40adabb65528","","no-status-not-started","","folder","TRUE","FALSE","September 2025","4 September","Postpour"
"899d3570-ae3f-4b10-9400-805819e16a30","","no-status-not-started","","folder","FALSE","FALSE","September 2025","5 September"
"9e91cbee-9a2c-47bb-b922-2cbac139db51","","no-status-not-started","","folder","TRUE","FALSE","September 2025","5 September","Prepour"
"d581960c-5ca4-4c66-af1e-13fe3122f923","","no-status-not-started","","folder","TRUE","FALSE","September 2025","5 September","Postpour"
"a79b3d05-8e10-4478-bad5-8e7222f05222","","no-status-not-started","","folder","FALSE","FALSE","September 2025","6 September"
"d61582af-3dfd-47aa-ab2e-15267dabb8f2","","no-status-not-started","","folder","TRUE","FALSE","September 2025","6 September","Prepour"
"d9dddebf-238b-42c1-9987-9cb4cffd2964","","no-status-not-started","","folder","TRUE","FALSE","September 2025","6 September","Postpour"
"b831e500-09d6-4c2b-bdf1-8532645bd5de","","no-status-not-started","","folder","FALSE","FALSE","September 2025","7 September"
"f5d629f6-bae1-4fb6-8d51-185e331358e1","","no-status-not-started","","folder","TRUE","FALSE","September 2025","7 September","Prepour"
"a1e45177-c02a-43b9-a184-ab24c1fe4269","","no-status-not-started","","folder","TRUE","FALSE","September 2025","7 September","Postpour"
"f6345741-260a-4850-8421-641f01fa9889","","no-status-not-started","","folder","FALSE","FALSE","September 2025","8 September"
"4d1bc27d-e9c0-402c-b3b2-21d36a1939c5","","no-status-not-started","","folder","TRUE","FALSE","September 2025","8 September","Prepour"
"d5aad216-ce38-4c6f-a638-e38786a5a06d","","no-status-not-started","","folder","TRUE","FALSE","September 2025","8 September","Postpour"
"9bde0858-6af3-4c48-9cda-043e8367640e","","no-status-not-started","","folder","FALSE","FALSE","September 2025","9 September"
"2a8cd66f-eba8-4b4b-8ed9-14f82d8414d7","","no-status-not-started","","folder","TRUE","FALSE","September 2025","9 September","Prepour"
"e11d1051-6797-43f1-887a-8ef189bbc6c7","","no-status-not-started","","folder","TRUE","FALSE","September 2025","9 September","Postpour"
"e6ca42a8-ad78-49ba-a0a5-73b195cf9d5d","","no-status-not-started","","folder","FALSE","FALSE","September 2025","10 September"
"74ad7abd-6f66-4e74-bd5b-b25448f2e67e","","no-status-not-started","","folder","TRUE","FALSE","September 2025","10 September","Prepour"
"f35ba993-b1f0-40e1-a164-1a279191b5f8","","no-status-not-started","","folder","TRUE","FALSE","September 2025","10 September","Postpour"
"2806814e-9f79-4f71-8d5d-028286855706","","no-status-not-started","","folder","FALSE","FALSE","September 2025","11 September"
"2d275f1c-bae2-4619-8ddb-407c76145fd3","","no-status-not-started","","folder","TRUE","FALSE","September 2025","11 September","Prepour"
"3b6326ab-c8c8-4397-abc0-bac87f40556d","","no-status-not-started","","folder","TRUE","FALSE","September 2025","11 September","Postpour"
"7b2f0ad4-e7b4-438f-8714-637f47672ed4","","no-status-not-started","","folder","FALSE","FALSE","September 2025","12 September"
"969407cb-e74a-4e8d-ab54-738d70bd677a","","no-status-not-started","","folder","TRUE","FALSE","September 2025","12 September","Prepour"
"fee1b9b1-afd2-4633-a15b-7d70d3fcf375","","no-status-not-started","","folder","TRUE","FALSE","September 2025","12 September","Postpour"
"355dc41d-b9b8-42f2-b14e-43dadb192f34","","no-status-not-started","","folder","FALSE","FALSE","September 2025","13 September"
"c4b6ecd2-e56e-423c-95d8-f5f5fcbdc3ef","","no-status-not-started","","folder","TRUE","FALSE","September 2025","13 September","Prepour"
"aae09b5e-fae8-4391-a0b3-230b86180154","","no-status-not-started","","folder","TRUE","FALSE","September 2025","13 September","Postpour"
"89bb127f-c070-4fe8-811f-2cd42ee4709b","","no-status-not-started","","folder","FALSE","FALSE","September 2025","14 September"
"9c05b8f4-432d-4c0c-879e-e4ef2ba6d776","","no-status-not-started","","folder","TRUE","FALSE","September 2025","14 September","Prepour"
"cf5f52d8-de2e-43df-b08a-82e76fdd0c3b","","no-status-not-started","","folder","TRUE","FALSE","September 2025","14 September","Postpour"
"3aa1dea3-6b57-4289-992b-68931447b5ad","","no-status-not-started","","folder","FALSE","FALSE","September 2025","15 September"
"270a5b0b-7ac4-4ee4-b7be-4df436153b59","","no-status-not-started","","folder","TRUE","FALSE","September 2025","15 September","Prepour"
"60c0ea44-731c-42f1-86a0-60f70f33941a","","no-status-not-started","","folder","TRUE","FALSE","September 2025","15 September","Postpour"
"d09df78d-8c81-4f62-bb58-2654d6a08441","","no-status-not-started","","folder","FALSE","FALSE","September 2025","16 September"
"5bc27228-5a8a-4ab7-8eb3-85182cd2df2f","","no-status-not-started","","folder","TRUE","FALSE","September 2025","16 September","Prepour"
"82cb4089-0c58-4f83-b679-0785e905d1ed","","no-status-not-started","","folder","TRUE","FALSE","September 2025","16 September","Postpour"
"87b33ee6-3118-4ab3-8227-b17352317ba7","","no-status-not-started","","folder","FALSE","FALSE","September 2025","17 September"
"ac1d39ef-aec0-49a6-b75a-18ef77a446e3","","no-status-not-started","","folder","TRUE","FALSE","September 2025","17 September","Prepour"
"90e63246-b541-43b0-a9a3-9c1886a90c76","","no-status-not-started","","folder","TRUE","FALSE","September 2025","17 September","Postpour"
"31d1988f-0ba7-40bb-aa70-88cec325af78","","no-status-not-started","","folder","FALSE","FALSE","September 2025","18 September"
"70d8556e-b74f-4fd1-afb1-114fe6ae7aa4","","no-status-not-started","","folder","TRUE","FALSE","September 2025","18 September","Prepour"
"5891714f-37b9-4843-a801-a96e90a2ec04","","no-status-not-started","","folder","TRUE","FALSE","September 2025","18 September","Postpour"
"f1c9f4b8-09cd-401a-af0d-ae295dc601fc","","no-status-not-started","","folder","FALSE","FALSE","September 2025","19 September"
"214b2cf7-7ee2-476c-9252-6553ff3a9237","","no-status-not-started","","folder","TRUE","FALSE","September 2025","19 September","Prepour"
"a49d58b7-5e1f-480e-a350-4cbe9a49c7e6","","no-status-not-started","","folder","TRUE","FALSE","September 2025","19 September","Postpour"
"206eac18-bce0-493b-94ec-75dd7438b675","","no-status-not-started","","folder","FALSE","FALSE","September 2025","20 September"
"98b348fe-2f60-4087-849a-53166bee41a7","","no-status-not-started","","folder","TRUE","FALSE","September 2025","20 September","Prepour"
"536bfe58-88e9-47ca-8c0a-3306ae2d7175","","no-status-not-started","","folder","TRUE","FALSE","September 2025","20 September","Postpour"
"49b0c3fc-2f5c-456a-a8c5-1983322909f3","","no-status-not-started","","folder","FALSE","FALSE","September 2025","21 September"
"aac5c486-0d01-4785-9d7a-069f17fd33fd","","no-status-not-started","","folder","TRUE","FALSE","September 2025","21 September","Prepour"
"84b36b94-1f3c-40f9-a0dc-2dd13fec282c","","no-status-not-started","","folder","TRUE","FALSE","September 2025","21 September","Postpour"
"6049d896-673a-40ce-9537-2871e57b61fd","","no-status-not-started","","folder","FALSE","FALSE","September 2025","22 September"
"c5c07714-3d26-46d7-bb86-5078aff27b25","","no-status-not-started","","folder","TRUE","FALSE","September 2025","22 September","Prepour"
"79cf6b82-6a07-4ac2-a09d-83f352d00147","","no-status-not-started","","folder","TRUE","FALSE","September 2025","22 September","Postpour"
"bc05e7b3-860f-4ddb-b83e-4ecde344072e","","no-status-not-started","","folder","FALSE","FALSE","September 2025","23 September"
"3eb07af9-f295-4450-ac5f-f083977d0ec4","","no-status-not-started","","folder","TRUE","FALSE","September 2025","23 September","Prepour"
"8019949c-37fc-45c9-99d0-6a799d36b9ba","","no-status-not-started","","folder","TRUE","FALSE","September 2025","23 September","Postpour"
"26bc01df-ec0b-40ff-ae35-4a830e57c323","","no-status-not-started","","folder","FALSE","FALSE","September 2025","24 September"
"dd422a5b-ab82-4900-9087-d80f192ab65f","","no-status-not-started","","folder","TRUE","FALSE","September 2025","24 September","Prepour"
"0e203413-b85d-48fb-8f91-29f6ba51d97c","","no-status-not-started","","folder","TRUE","FALSE","September 2025","24 September","Postpour"
"833ae54d-1d86-4edd-b7b8-ec896431ef84","","no-status-not-started","","folder","FALSE","FALSE","September 2025","25 September"
"dfd4ffda-e7cc-4cd5-8924-ed26a032198c","","no-status-not-started","","folder","TRUE","FALSE","September 2025","25 September","Prepour"
"44d5dad5-76d2-47c8-b2a2-31c2dce26d1e","","no-status-not-started","","folder","TRUE","FALSE","September 2025","25 September","Postpour"
"d96a5500-7d48-4da9-96cd-85172ac48fd7","","no-status-not-started","","folder","FALSE","FALSE","September 2025","26 September"
"73522f73-df94-471a-ae6a-bf0a02e905cd","","no-status-not-started","","folder","TRUE","FALSE","September 2025","26 September","Prepour"
"c8d33d64-7f93-4d44-8a6b-6709fe728a4a","","no-status-not-started","","folder","TRUE","FALSE","September 2025","26 September","Postpour"
"38d052fe-bf7c-42b6-b8a3-ef0986ebcce6","","no-status-not-started","","folder","FALSE","FALSE","September 2025","27 September"
"00d2f73b-04b0-4848-adf2-a00aa8495fbd","","no-status-not-started","","folder","TRUE","FALSE","September 2025","27 September","Prepour"
"2c209cd6-425c-4c99-8d10-8e7ebad4ff0e","","no-status-not-started","","folder","TRUE","FALSE","September 2025","27 September","Postpour"
"bb595083-ede1-4c5e-bc00-d33bfc257fc3","","no-status-not-started","","folder","FALSE","FALSE","September 2025","28 September"
"4e955095-7fa9-4dfe-b1dc-8e8152c1b6f2","","no-status-not-started","","folder","TRUE","FALSE","September 2025","28 September","Prepour"
"cca48d3e-6fcd-40b1-a490-72b618c99f27","","no-status-not-started","","folder","TRUE","FALSE","September 2025","28 September","Postpour"
"40faea6a-631a-4e24-983d-57339d381604","","no-status-not-started","","folder","FALSE","FALSE","September 2025","29 September"
"d32e7728-cf06-4e93-a682-2abff30b5b4c","","no-status-not-started","","folder","TRUE","FALSE","September 2025","29 September","Prepour"
"edde03a7-6acb-4499-8e53-1423d91cc96c","","no-status-not-started","","folder","TRUE","FALSE","September 2025","29 September","Postpour"
"edc18715-d4da-4a9f-b343-c1e6ea3bd0af","","no-status-not-started","","folder","FALSE","FALSE","September 2025","30 September"
"39c91437-212e-4096-859a-4d3acaf80259","","no-status-not-started","","folder","TRUE","FALSE","September 2025","30 September","Prepour"
"fd8e1b82-b301-4f55-be7e-b8b471ce292a","","no-status-not-started","","folder","TRUE","FALSE","September 2025","30 September","Postpour"
"c6f5e279-8e04-43fe-a8dd-ea55c487b064","","fail","","folder","TRUE","FALSE","Test"
"5862fdbb-a013-4564-a2be-a78c307090d4","","work-in-progress","","folder","TRUE","FALSE","Test","Prepour"
"0d55d8a4-5f0a-4532-a3b5-23887b76ca77","","pass","7f015579601004ce256a573b5cd1bea69df8556524a69b91757942b63ce23cd8","checklist","FALSE","FALSE","Test","Prepour","11/16 P/COR - Cage:122"
"08139956-3452-4950-b58a-20c227108b88","","pass","e3b7ac258f5d06fb512c0eba4072694953b31a9afdabd8dbea55a18c719d912d","checklist","FALSE","FALSE","Test","Prepour","12.5/16 P/COR - Cage:7"
"d4c9b258-534c-4191-b3e0-63740acad1e4","","work-in-progress","ae685de7289b377bffea1f1915afda4c107b925cb3dcc94063564b14ac4f84b9","checklist","FALSE","FALSE","Test","Prepour","Cage: 527 Pole Type: 20/24 J "
"f2e65d1b-ebba-46ae-af5e-3b2fb41e580d","","not-started","4af013894ed977f3a7fa77a9e51d98b4e698c4329a22e663f4eb4e5b3ba32d41","checklist","FALSE","FALSE","Test","Prepour","Product Number:400 12.5/16 P/COR"
"b7ae177f-c318-4e86-9404-49d1f7bd2cb9","","pass","e3b7ac258f5d06fb512c0eba4072694953b31a9afdabd8dbea55a18c719d912d","checklist","FALSE","FALSE","Test","Prepour","12.5/16 P/COR - Cage:777"
"20653982-eda4-4863-84f1-7a0ff662d8f4","","work-in-progress","ae685de7289b377bffea1f1915afda4c107b925cb3dcc94063564b14ac4f84b9","checklist","FALSE","FALSE","Test","Prepour","20/24 J Cage:800"
"c13b3021-6b5e-4c68-b56c-35ae3f744616","","work-in-progress","ae685de7289b377bffea1f1915afda4c107b925cb3dcc94063564b14ac4f84b9","checklist","FALSE","FALSE","Test","Prepour","Cage:."
"0a16820d-2cbd-4fe8-aa72-cec38a698588","","pass","7f015579601004ce256a573b5cd1bea69df8556524a69b91757942b63ce23cd8","checklist","FALSE","FALSE","Test","Prepour","11/16 P/COR - Cage:200"
"2dc57729-802e-4a73-9fbc-0185d22cce3b","","work-in-progress","ae685de7289b377bffea1f1915afda4c107b925cb3dcc94063564b14ac4f84b9","checklist","FALSE","FALSE","Test","Prepour","20/24 J Str98"
"9807dd8c-7927-4cd0-b8af-d65359a6ef41","","not-started","5a1bb5a0e748fa85cc09c4116791c64dbf21e4628fdf38ffc63df2969d6c0048","checklist","FALSE","FALSE","Test","Prepour","11/16 SPAN - Cage: 1"
"c07b10ac-2dd5-486b-a506-9358824977f8","","not-started","1. Prepour (Secondary and Primary cage inspections): Fitting Layout 5594","checklist","FALSE","FALSE","Test","Prepour","12.5/16 SPAN W/S - Cage: Pete1"
"9ce95052-0757-4be5-ae37-ce0241abd2fa","","fail","","folder","TRUE","FALSE","Test","Postpour"
"678ad3b8-9a85-493e-900a-e78aac29cedd","","fail","4af013894ed977f3a7fa77a9e51d98b4e698c4329a22e663f4eb4e5b3ba32d41","checklist","FALSE","FALSE","Test","Postpour","Product Number: 200 12.5/16 PCOR"
"b20eb9f7-8e2a-4753-a56b-9fa01bef9565","","work-in-progress","4af013894ed977f3a7fa77a9e51d98b4e698c4329a22e663f4eb4e5b3ba32d41","checklist","FALSE","FALSE","Test","Postpour","Product Number:4651"
"ff05241a-2c88-4c1f-9ac4-62862bc69cba","","not-started","4af013894ed977f3a7fa77a9e51d98b4e698c4329a22e663f4eb4e5b3ba32d41","checklist","FALSE","FALSE","Test","Product Number:"
"a9874ad7-8c45-45a4-811b-c15d56b10066","","no-status-not-started","","folder","TRUE","FALSE","QA_FOR_023_Ultimate Load Test"
