"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fe768d7a-984f-4680-aedc-917e2911e50a","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Tuesday"
"ab1308c6-376f-4164-b674-e5d1c04837a7","","fail","9bdddc1589866ecc2cba256ed7f2758b74b842d0746b79b330c6ebad38f2ac1f","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Wednesday"
"48f91b44-24fc-40bc-9dac-7ce887a2d73e","","pass","SYS - Thursday (v1)","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Thursday"
"03201e67-34ca-4edc-bc71-1b2a7a67428f","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","June 17, 2024 - June 21, 2024","Friday"
"e9ed2365-fddb-470e-bc3c-9dd82982cf72","","work-in-progress","","folder","TRUE","FALSE","Tasks","June 24, 2024 - June 28, 2024"
"a72a66a2-993d-476d-b1cc-acc33efc04c2","","work-in-progress","SYS - Monday (v1)","checklist","FALSE","FALSE","Tasks","June 24, 2024 - June 28, 2024","Monday"
"b1b16b33-29d1-4c62-88a0-d8fc5b5aa305","","pass","SYS - Tuesday + Friday (v0)","checklist","FALSE","FALSE","Tasks","June 24, 2024 - June 28, 2024","Tuesday"
"e6bc7812-e384-4427-92b8-e22ecf6e6db2","","pass","9bdddc1589866ecc2cba256ed7f2758b74b842d0746b79b330c6ebad38f2ac1f","checklist","FALSE","FALSE","Tasks","June 24, 2024 - June 28, 2024","Wednesday"
"bc459abc-9376-4d95-9795-e849f2b47404","","pass","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","June 24, 2024 - June 28, 2024","Thursday"
"d2d8a8e9-a5ee-493e-8a03-780398d51e06","","not-applicable","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","June 24, 2024 - June 28, 2024","Friday"
"c9dcf072-6723-41e5-9297-d23ca38b3da6","","work-in-progress","","folder","TRUE","FALSE","Tasks","July 1, 2024 - July 5, 2024"
"0a81d25e-2f9f-4127-a072-2e680016d710","","pass","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","July 1, 2024 - July 5, 2024","Monday"
"07553fd7-2c04-4b9e-ba05-acfb65c8a61f","","pass","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","July 1, 2024 - July 5, 2024","Tuesday"
"36765383-43d2-4698-8359-9642674cb239","","pass","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","July 1, 2024 - July 5, 2024","Wednesday"
"5f5eb44b-d737-4b01-80f8-a0e518407b7e","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","July 1, 2024 - July 5, 2024","Thursday"
"a831b5e1-4f78-4e12-841e-c566c03bde5b","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","July 1, 2024 - July 5, 2024","Friday"
"0ed7a40a-255b-4f18-8c38-477931d0a065","","not-started","","folder","TRUE","FALSE","Tasks","July 8, 2024 - July 12, 2024"
"a6ea0782-01ab-4cc6-8e2a-40f019c9ef11","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","July 8, 2024 - July 12, 2024","Monday"
"2285c03b-06a8-408b-849b-1ffc065eda5e","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","July 8, 2024 - July 12, 2024","Tuesday"
"0b774f06-2473-493b-b8f9-bae09b55b54b","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","July 8, 2024 - July 12, 2024","Wednesday"
"de6446f7-703f-444a-a66d-900b62192230","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","July 8, 2024 - July 12, 2024","Thursday"
"cc874325-f170-4503-b6d4-79cf40e1f62c","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","July 8, 2024 - July 12, 2024","Friday"
"f40825e9-a81a-4f91-9829-1e0d4f7850a6","","not-started","","folder","TRUE","FALSE","Tasks","July 15, 2024 - July 19, 2024"
"4e169c58-ec28-45ab-aac8-a8b957f8409b","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","July 15, 2024 - July 19, 2024","Monday"
"1c3dcd67-3340-4df2-950a-d186e1c9f304","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","July 15, 2024 - July 19, 2024","Tuesday"
"ca82f488-f09b-463d-8d2b-f3f7ee34c658","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","July 15, 2024 - July 19, 2024","Wednesday"
"68062ef3-dc27-404b-909b-b938c17db242","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","July 15, 2024 - July 19, 2024","Thursday"
"b081bf25-a8b6-464b-8224-b6f04b040aa4","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","July 15, 2024 - July 19, 2024","Friday"
"9b747d3f-c14e-41f0-b15c-1562193055a3","","not-started","","folder","TRUE","FALSE","Tasks","July 22, 2024 - July 26, 2024"
