"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ad2e66d9-2596-4836-a908-083dbbe44f93","","fail","","folder","TRUE","FALSE","Site QA"
"784115f6-d19e-481e-98da-2dadf5aee4f3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A"
"998b52fe-078b-4425-921a-56aa05273680","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2"
"623dd645-284e-4fac-9eb7-8bd581819cf9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas"
"3bfc0efe-503c-42bd-9d67-17d4450a6dec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 201"
"3fe8980e-11e5-4e24-bfd1-1fa0b3241ecb","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 4","Common areas","Corridors"
"7e2ea462-d5d9-475b-8b09-e97c41ec2f0e","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 4","Common areas","Corridors","Pre Wire"
"3fb59c79-c447-4ab3-8881-7811e0a018dd","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building B","Level 4","Common areas","Corridors","Terminated & Tested"
"e052e7c9-85db-4067-b952-d543301799b2","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 4","Common areas","Corridors","Fit off"
"cb29a4b1-b8c9-4b9b-b769-0db5911bd4a7","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 4","Service areas"
"dab5cf3b-5cf8-439d-9b06-4de4e3686bcf","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 4","Service areas","ICT Riser"
"ca218d83-06d0-4e9f-8db9-ffd5d6a205a2","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 4","Service areas","ICT Riser","Pre Wire"
"bc09373e-a6b0-4f1d-98a5-7974dc48d026","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building B","Level 4","Service areas","ICT Riser","Terminated & Tested"
"b2ccddce-6ec3-4827-a844-1ebf0bf9b263","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 4","Service areas","ICT Riser","Fit off"
"70e7bc30-cf48-4dbf-a5a4-e80213edd633","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 4","Floor Commissioning"
"ec962133-075a-471d-ad3e-eca7f1fad8ed","","not-started","Floor Commissioning","checklist","FALSE","FALSE","Site QA","Building B","Level 4","Floor Commissioning","Floor Commissioning"
"6456edf4-2c32-41f9-b311-71d4fa0c0d74","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5"
"cb336ede-c1cf-49fb-82c2-0f3a04e963dd","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Residential areas"
"966869b5-a36e-4cad-a324-c73daea3eccf","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 501"
"c4013e93-88dc-47a3-a23f-7ec5095c4ee8","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 501","Pre Wire"
"d3d2c04e-3ba8-4a37-94a1-b6374ee2ab5e","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 501","Install DB"
"ed128f6c-e877-4245-90c4-e50fd1b105a3","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 501","Fit off"
"ea99ca07-ed5d-4948-a008-fa542196171c","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 502"
"fa19d347-f9cf-4ee2-8dbe-9645682b3359","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 502","Pre Wire"
"2c101a2e-8dc2-493c-bf7e-e8b7ab83b92c","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 502","Install DB"
"08662c1d-0430-4993-ae34-311089d972b1","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 502","Fit off"
"75f11215-d0e0-4736-b21c-0f2dcbd877a0","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 503"
"6b48be24-738b-4a90-9ee7-a06ba5549437","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 503","Pre Wire"
"95adad47-ca6c-47f8-b131-e8c1cc4bdae8","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 503","Install DB"
"a75a9b06-75cd-4b52-8998-dd74a2fbffab","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 503","Fit off"
"d31d035b-4831-4196-94a4-0e9403ac0aa6","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 504"
"0b939ada-221b-40b9-912c-f69a70824450","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 504","Pre Wire"
"68f342f4-dbd2-4a56-a3fa-60fc39b19dc6","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 504","Install DB"
"fb3ab06e-175f-4c7b-aa4c-cf761df953b6","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Residential areas","Apartment 504","Fit off"
"4fd523b6-6b37-4bf4-b98e-f51cd53a54ee","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Common areas"
"689d8cd9-ac07-482c-a137-f22a70a2bd4a","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Common areas","Corridors"
"e5c17787-001e-45c3-80f8-a56df4fb88ca","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Common areas","Corridors","Pre Wire"
"d0368c9d-a2fb-400d-a855-035a2f25af3c","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Common areas","Corridors","Terminated & Tested"
"44e6e1c6-787a-4b63-b11a-b3ff614ec94d","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Common areas","Corridors","Fit off"
"cec1f448-8304-41f8-a1c5-293357783d3d","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Service areas"
"2bbb92d9-0b1d-4c98-a977-c2a59ad73f1e","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Service areas","ICT Riser"
"f6b854c7-858a-4892-9c7a-095b509d32b9","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Service areas","ICT Riser","Pre Wire"
"cb96a8ad-3d05-48b7-b9f1-57ab6e4115aa","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Service areas","ICT Riser","Terminated & Tested"
"d2aef735-9863-48d4-bc89-c5885fa36b4c","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Service areas","ICT Riser","Fit off"
"0c142932-fb61-482a-bb8c-c42db5659946","","not-started","","folder","TRUE","FALSE","Site QA","Building B","Level 5","Floor Commissioning"
"5a19086b-2db4-4657-af86-e1e2f312fde1","","not-started","Floor Commissioning","checklist","FALSE","FALSE","Site QA","Building B","Level 5","Floor Commissioning","Floor Commissioning"
"f4a758b3-df67-4f78-8270-c680743b770c","","not-started","Building Commissioning","checklist","FALSE","FALSE","Site QA","Building B","Building Commissioning"
"2768651b-c9d8-4543-ae3d-bd9fe6e98a69","","not-started","Completion Documents","checklist","FALSE","FALSE","Site QA","Building B","Completion Documents"
"24435961-d414-4b6c-9ff1-77d0a072b5ef","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C"
"bde06457-08e4-44ca-9120-9819d82ee29a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1"
"15773033-1daa-4e9b-96f5-2228765ecb4f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential"
"7e1c4bec-1cb1-42eb-81fc-005d2bd606e7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 101"
"acc18a78-3229-4218-9e2e-719a1eca3410","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 101","Pre Wire"
"7b667e80-3812-4480-b788-ca3e6759cdda","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 101","Terminated & Tested"
"cc12b196-6822-4ab7-8742-ee60235f8821","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 101","Fit off"
"5d5b3d9a-0ebe-4747-8bc9-83599e7ee79e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 102"
"1d0067a1-6e90-4ef6-aaac-1e334ef1f045","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 102","Pre Wire"
"87b52349-7f04-4788-bc09-18398bdf22d4","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 102","Terminated & Tested"
"4311b336-cdca-4faa-9680-87f8852119cc","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 102","Fit off"
"bbc431f4-402e-4697-b3ea-281e421b0aaa","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 103"
"02f29bb5-1b0a-4527-884a-356a9eb5a3e4","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 103","Pre Wire"
"ebf15432-2c85-48b6-a18c-94a214b5d020","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 103","Terminated & Tested"
"0d01731c-c0fe-4d97-8d54-92b49dc79c46","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 103","Fit off"
"2bbe4d27-f93e-438b-926a-3d3480784bb3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 104"
"0e1f1258-20d0-4293-9f93-184da1d8bfd5","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 104","Pre Wire"
"7c966601-2fb8-4ddb-941e-bf564c167b66","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 104","Terminated & Tested"
"76dfda6e-113c-4723-bab4-f688d40a2602","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 104","Fit off"
"27a3c395-b0da-4cae-91b4-6e9fb807fb61","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 105"
"af7293df-6388-4c6a-812f-66766ebfd4b4","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 105","Pre Wire"
"0fbd621c-b275-44f4-a4e7-df3f8fae2b25","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 105","Terminated & Tested"
"78c033af-d214-44f3-8d32-92c6f2ac9c87","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 105","Fit off"
"c8bd3b55-6e7b-4975-adba-4126d10d1e77","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 106"
"32798d4d-c289-4e79-874d-ea8a1be6c588","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 106","Pre Wire"
"e24ad745-0bce-4ea7-8be3-1e6656ba9550","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 106","Terminated & Tested"
"ebfb25cc-a0c3-4e37-af95-d10ec09f2a3d","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 106","Fit off"
"91315967-fc52-4f29-addc-1b3236fdfc29","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 107"
"81188cca-39c9-44da-9d14-205e7ce59b21","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 107","Pre Wire"
"1e2891c0-69f7-4ac8-a2df-0a3de2f95c3f","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 107","Terminated & Tested"
"df440e8d-53ef-4d1d-8ebf-e07506137bc1","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 107","Fit off"
"a9096904-9b20-43a1-956a-4c03e8e72756","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 108"
"9d32fa19-675c-4280-a805-b6dd44f05061","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 108","Pre Wire"
"c0138e43-aa36-418a-b74d-e47470bfb7ce","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 108","Terminated & Tested"
"c907154f-f0a5-491c-8f00-ad5e2ea9464b","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 108","Fit off"
"7d4207cb-5c40-4db0-b927-0a7e826e5422","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 109"
"1d2100d2-457c-49d4-b398-a290b8ec4586","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 109","Pre Wire"
"43a26493-f520-452a-94f2-16735a8e09e4","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 109","Terminated & Tested"
"cd69a667-abd0-4000-af0a-3c086b874f11","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 109","Fit off"
"ba20e92b-87ac-4c21-acd1-878789b2fd26","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 110"
"87dd2714-e2bc-4458-8208-57ed0e1fd11a","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 110","Pre Wire"
"e4ec2fdb-cf0c-42f9-9df7-cf39d198143b","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 110","Terminated & Tested"
"e6b9fce6-f8b6-4460-b6c1-0279f1b2947c","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 110","Fit off"
"16208b08-e02a-4f0d-8f60-eb16188136ec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 111"
"b3e484db-b475-4db4-a292-f3dfd7227a68","","work-in-progress","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 111","Pre Wire"
"b892d953-ce94-4ecd-8053-e36f3bae2ef2","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 111","Terminated & Tested"
"f11d60d3-daa7-4d81-98e2-b00923aa1e89","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Residential","Apartment 111","Fit off"
"ab9664d5-c5f7-4761-8093-c396e32a47fd","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Service Areas"
"2b8eff48-f433-4941-af38-2307d3b5d1d4","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Service Areas","Electrical DB"
"a907aef1-babd-475a-b051-9ac278d44654","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Electrical DB","Pre Wire"
"0502fe15-50e1-45ea-a455-cd5b6575dd94","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Electrical DB","Terminated & Tested"
"039ec6b6-5760-46e4-838d-b177d38aac07","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Electrical DB","Fit off"
"ea0d74bd-f0ab-412a-9226-0f45cf4fe094","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Service Areas","Service (Riser)"
"76cb00b2-c7d3-405d-818b-53fd7a3187cc","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Service (Riser)","Pre Wire"
"270240ac-d2f3-4f71-b5bc-fe0586f030fd","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Service (Riser)","Terminated & Tested"
"e1a935af-8a79-4bd0-8e34-c1edfa80a035","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Service (Riser)","Fit off"
"ce3cc779-7d6a-4766-bb82-e1ecf564ebf3","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Service Areas","Stairs"
"3edca962-3298-4580-ade0-475a3a2b694c","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Stairs","Pre Wire"
"e2ac275a-f7c4-48ad-b7f6-f4bfecc63aaf","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Stairs","Terminated & Tested"
"d6469e4c-06c4-4b51-bb9e-2c228193be9a","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Stairs","Fit off"
"a6a42e4a-bd71-4332-8d23-6997a1084046","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 1","Service Areas","Scooter Park"
"60525c9a-6f0c-430b-9e86-60372acb3438","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Scooter Park","Pre Wire"
"0bb7ff0b-f778-46b6-bc2a-a184bef53c78","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Scooter Park","Terminated & Tested"
"ef5a0d33-cdb8-46d9-9636-69e7ba3a04d0","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 1","Service Areas","Scooter Park","Fit off"
"5b1b5a26-db90-4216-8d4d-0da3634d7eec","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2"
"b86201a3-cb34-44f5-87aa-1f2ab049e32b","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential"
"1beb8eb4-70a1-43b2-b739-285934448107","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 201"
"eb5b3ea0-39d4-41a5-9c89-67631db72ff6","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 201","Pre Wire"
"cc3079e6-bc9d-4f01-8104-6d61a30e96de","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 201","Terminated & Tested"
"8c3c0db2-8753-4284-8052-bac971feecbe","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 201","Fit off"
"11f66c56-5412-4e31-acd5-1e1993fd7b55","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 202"
"c0e70adf-3f15-4480-9c25-29cb837421c3","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 202","Pre Wire"
"244bea64-be59-4836-998d-ce01e26406e2","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 202","Terminated & Tested"
"44dd11e0-f256-4274-bcc7-b1f6031798a9","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 202","Fit off"
"ded1493f-4d25-4d82-a6c5-ce4ac7336aa5","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 203"
"2d6fe29b-cc85-4804-a8d0-02ba60106bac","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 203","Pre Wire"
"c34c68e0-d78e-4de9-a6a8-21f499da1aa8","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 203","Terminated & Tested"
"c9986786-c9d8-4e53-b360-870722c6881b","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 203","Fit off"
"5941c514-604e-4e75-b98b-8f00ff04c291","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 204"
"b820cb9f-4fca-4181-95af-db6471e27df0","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 204","Pre Wire"
"a3326a56-c403-4b7e-a15a-aea16510f646","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 204","Terminated & Tested"
"ccefcbfb-d540-4b87-aa98-a0f0dcc6a4cc","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 204","Fit off"
"057d7201-e464-43ce-8947-4f95e86964a6","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 205"
"9ffe1a30-3749-461b-b194-3128cdebbf5d","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 205","Pre Wire"
"c9100d8d-f4a9-4924-a9c0-89e238c12d25","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 205","Terminated & Tested"
"72e0db04-f608-48c7-9298-18bb43642cbb","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 205","Fit off"
"5b316eac-6ae8-47bd-8790-c499ba8d7528","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 206"
"d6b0eb0f-7cae-412d-b191-fbdb35267db0","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 206","Pre Wire"
"ba536345-2efc-4d0e-90b5-c8e314021a3e","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 206","Terminated & Tested"
"b1a21028-f167-482e-bebd-21991c9fa38d","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 206","Fit off"
"9e281bec-cce0-4db4-85df-b13f4e5e1a21","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 207"
"b23f0a4a-7176-4adf-8c2c-13943743214d","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 207","Pre Wire"
"25b88424-e10d-4d12-a007-7abfe1722ec0","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 207","Terminated & Tested"
"6ad01493-b742-4be5-89e0-b38a13633c76","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 207","Fit off"
"51d1583a-4dda-4b79-8e72-fe405bf0fe81","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 208"
"ad6d70c5-e6c9-4cbd-8416-c906733ed26e","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 208","Pre Wire"
"f48be49c-bb08-43d9-b7c0-41295e3be0ca","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 208","Terminated & Tested"
"ccedcd66-f2cb-4d97-9f4f-1d78012ddfe0","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 208","Fit off"
"d5153f77-df81-4347-b38d-5549a2df8c2b","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 209"
"61537c75-3de8-4fcd-9772-518e3347e4ca","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 209","Pre Wire"
"f099216c-6d45-4813-b75a-85bd318cd4e2","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 209","Terminated & Tested"
"cfbf0412-e203-4611-a2d6-c50c102ac9f4","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 209","Fit off"
"cc1717a1-239d-4210-97d1-199bdf7b814c","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 210"
"ee12983a-6b36-4220-bc97-f95bdc01a863","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 210","Pre Wire"
"72d52657-b354-40b1-b47b-f7cfcdf8495c","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 210","Terminated & Tested"
"cf1c247b-c67b-49f1-a97f-b683b29dde87","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 210","Fit off"
"074bf7ac-04f7-42df-9dda-ed0a8ea20443","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 211"
"eb07d61a-d487-46bf-afca-022601f6022a","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 211","Pre Wire"
"0eac639b-d439-40c5-9ab7-1fded5c6c5cb","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 211","Terminated & Tested"
"66f61ff2-fe32-4a45-8ea1-75ad994b2d36","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 211","Fit off"
"505c6f0d-0b18-48c3-828f-1ebdbb8d8fa2","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 212"
"a8e1cbf8-e376-424c-98b1-130eb7807097","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 212","Pre Wire"
"a8b9eb15-fe70-4b13-bb50-a4e9f15751dc","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 212","Terminated & Tested"
"89f0734c-18d6-4677-a436-56905f7d6410","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Residential","Apartment 212","Fit off"
"f684941f-e9ef-4cff-bf83-7115f785de74","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Service Areas"
"0b652fd2-2511-4547-bf76-74eac4bd680b","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Service Areas","Electrical DB"
"817cd4ab-d5b9-4e2f-8d86-d8c9f5bc1c65","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Service Areas","Electrical DB","Pre Wire"
"03fbb20d-1b79-4c92-9098-308beec5beeb","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Service Areas","Electrical DB","Terminated & Tested"
"93cdeeb0-0118-4dce-963b-2eec0f7dad74","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building C","Level 2","Service Areas","Electrical DB","Fit off"
"b80af1a5-54ba-416b-bec3-eb10948df058","","not-started","","folder","TRUE","FALSE","Site QA","Building C","Level 2","Service Areas","Service (Riser)"
