"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cf8dfc24-bd5a-43da-be5e-bfae9590dfb3","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 1","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"acb8c5d9-cdda-4b48-b829-55ce93b9938e","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 2"
"e982095f-32a5-46e2-9c65-95ce95ce4d16","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 2","AE-ITCX-001 - Temp DB Checklist"
"909bcdfb-4f1f-4c28-8fc7-f0f23b77023b","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 2","AE-ITCX-002 - Monthly RCD Test Sheet"
"3fcd01fa-fb9f-431e-a9b6-fd87c49b2964","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 2","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"36f5a5e9-fc1d-41ee-83cf-d19b81fae576","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 1"
"8d37cb56-e67d-4e63-b9f8-c9a348cb513f","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 1","AE-ITCX-001 - Temp DB Checklist"
"c0c991b4-248a-4d95-9710-68e0808af2b2","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 1","AE-ITCX-002 - Monthly RCD Test Sheet"
"9d5045d0-af85-40a4-bc67-969d541e09bc","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 1","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"7b28ac8a-ca3b-4266-a137-5b72e7b9817d","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 2"
"0aaa5c95-2fd8-408c-b876-421436d9edf7","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 2","AE-ITCX-001 - Temp DB Checklist"
"78cb4b73-7d28-4925-ad55-d01f4a42b73d","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 2 DB 2","AE-ITCX-002 - Monthly RCD Test Sheet"
