"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4cd9e0f4-98dc-5475-b04f-6b3ac48edd4c","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004S","Panel"
"faa6887a-4673-47be-94a8-476d3ddf1f35","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005"
"437f7358-226c-5465-8ba8-2cb6313f5388","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Panel has been installed correctly and is free from defects"
"6f7bdad4-4571-5b1f-b4cc-41c6ed33c0c9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Bracket Installation"
"99c15a13-844b-5cbb-8cc9-c6821b4023ef","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Panel"
"3bb81be7-b1c0-4216-b8c4-bcdabf2ba28e","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005"
"af471323-8f99-5e62-980d-235b54e22b94","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Panel has been installed correctly and is free from defects"
"094d1ae7-4fc1-5aa8-9767-ae5efe5f28f6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Bracket Installation"
"73163ac4-3bc8-5fb4-b9b5-01a4bdefa395","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005","Panel"
"fd6ad4ac-e41a-40f1-a95e-557df56abc54","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-005"
