Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
,,Terminal - Copper - Level 2 - FDR-4244.14,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.14,
,,Terminal - Copper - Level 2 - FDR-4244.15,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.15,
,,Terminal - Copper - Level 2 - FDR-4244.16,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.16,
,,Terminal - Copper - Level 2 - FDR-4244.17,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.17,
,,Terminal - Copper - Level 2 - FDR-4244.18,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.18,
,,Terminal - Copper - Level 2 - FDR-4244.19,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.19,
,,Terminal - Copper - Level 2 - FDR-4244.20,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.20,
,,Terminal - Copper - Level 2 - FDR-4244.23,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.23,
,,Terminal - Copper - Level 2 - FDR-4201.12,dynamic,Communications,Terminal,Copper,Level 2,FDR-4201.12,
,,Terminal - Copper - Level 3 - FDR-4344.01,dynamic,Communications,Terminal,Copper,Level 3,FDR-4344.01,
,,Terminal - Copper - Level 3 - FDR-4344.02,dynamic,Communications,Terminal,Copper,Level 3,FDR-4344.02,
,,Terminal - Copper - Level 3 - FDR-4344.03,dynamic,Communications,Terminal,Copper,Level 3,FDR-4344.03,
,,Terminal - Copper - Level 3 - FDR-4344.06,dynamic,Communications,Terminal,Copper,Level 3,FDR-4344.06,
,,Terminal - Copper - Level 3 - FDR-4344.09,dynamic,Communications,Terminal,Copper,Level 3,FDR-4344.09,
,,Terminal - Copper - Level 3 - FDR-4344.10,dynamic,Communications,Terminal,Copper,Level 3,FDR-4344.10,
,,Terminal - Copper - Terminal Plaza - Landside,dynamic,Communications,Terminal,Copper,Terminal Plaza,Landside,
,,Terminal - Copper - CarPark 1-2 Arrivals - Landside Arrivals,dynamic,Communications,Terminal,Copper,CarPark 1-2 Arrivals,Landside Arrivals,
,,Terminal - Copper - CarPark 3-4 Departures - Landside Departures,dynamic,Communications,Terminal,Copper,CarPark 3-4 Departures,Landside Departures,
,,Terminal - Copper - NCS - Airside Apron West,dynamic,Communications,Terminal,Copper,NCS,Airside Apron West,
,,Terminal - Copper - NCS - Airside Apron East,dynamic,Communications,Terminal,Copper,NCS,Airside Apron East,
,,TERs - TER 1,dynamic,Communications,TERs,TER 1,,,
,,TERs - TER 2,dynamic,Communications,TERs,TER 2,,,
,,BAF - Cabinets - Basement - BDR1-4B44.01,dynamic,Communications,BAF,Cabinets,Basement,BDR1-4B44.01,
,,BAF - Cabinets - Basement - BDR2-4B40.16,dynamic,Communications,BAF,Cabinets,Basement,BDR2-4B40.16,
,,BAF - Cabinets - Basement - FDR\SPLIT RACK-4B44.02,dynamic,Communications,BAF,Cabinets,Basement,FDR\SPLIT RACK-4B44.02,
,,BAF - Cabinets - Basement - FDR\SPLIT RACK-4B44.04,dynamic,Communications,BAF,Cabinets,Basement,FDR\SPLIT RACK-4B44.04,
,,BAF - Cabinets - Basement - FDR\SPLIT RACK-4B44.03,dynamic,Communications,BAF,Cabinets,Basement,FDR\SPLIT RACK-4B44.03,
,,BAF - Cabinets - Basement - FIELD HUB-4B43.06,dynamic,Communications,BAF,Cabinets,Basement,FIELD HUB-4B43.06,
,,BAF - Cabinets - Basement - FIELD HUB-4B48.04,dynamic,Communications,BAF,Cabinets,Basement,FIELD HUB-4B48.04,
,,BAF - Cabinets - Basement - FIELD HUB-4B43.08,dynamic,Communications,BAF,Cabinets,Basement,FIELD HUB-4B43.08,
,,BAF - Cabinets - Ground - ASNET RACK-4056.4,dynamic,Communications,BAF,Cabinets,Ground,ASNET RACK-4056.4,
,,BAF - Cabinets - Ground - DAFF SPLIT RACK-4056.77,dynamic,Communications,BAF,Cabinets,Ground,DAFF SPLIT RACK-4056.77,
,,BAF - Cabinets - Ground - FDR\SPLIT RACK-4044.21,dynamic,Communications,BAF,Cabinets,Ground,FDR\SPLIT RACK-4044.21,
,,BAF - Cabinets - Ground - FDR\SPLIT RACK-4044.07,dynamic,Communications,BAF,Cabinets,Ground,FDR\SPLIT RACK-4044.07,
,,BAF - Cabinets - Ground - FDR\SPLIT RACK-4044.09,dynamic,Communications,BAF,Cabinets,Ground,FDR\SPLIT RACK-4044.09,
,,BAF - Cabinets - Ground - FDR\SPLIT RACK-4044.23,dynamic,Communications,BAF,Cabinets,Ground,FDR\SPLIT RACK-4044.23,
,,BAF - Cabinets - Ground - FDR\SPLIT RACK-4044.2,dynamic,Communications,BAF,Cabinets,Ground,FDR\SPLIT RACK-4044.2,
,,BAF - Cabinets - Ground - FDR\SPLIT RACK-4044.17,dynamic,Communications,BAF,Cabinets,Ground,FDR\SPLIT RACK-4044.17,
