"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6532d80-f7d5-4446-8f81-ada97f5061a6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"600f689d-0f38-4b9d-a201-986d9375acf6","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 5","Precast"
"b9d4f1f3-4088-4920-9c1d-ce6ad8bfd2a2","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 5","Concrete Pour"
"ff396308-ae12-4b2a-9662-0587a7a9363b","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 5","Columns"
"b9abeaa9-208e-41bc-8d73-4617923224a6","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 5","Jump Form"
"7ad613f4-05ad-47d6-a511-c7f5a4a5ad2e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 6"
"ee85547d-a393-48cd-ae6d-607972c6807d","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 6","Precast"
"5b203c70-e587-4c93-8720-824689fadcb5","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 6","Concrete Pour"
"6926731f-7bac-4a02-853a-62ba74dd56dc","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 6","Columns"
"3f79b11b-4700-4dc9-a556-5f5a6ffed5e5","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 6","Jump Form"
"5d3bb9e5-3b2c-43f8-b9af-c3579f587e8a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 7"
"a3705905-abe7-4dfb-9602-2427cb143057","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 7","Precast"
"e70c7b78-3473-4a5d-895e-f95f7eef1055","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 7","Concrete Pour"
"5682d8cb-1712-4dae-92e2-dc72c200d148","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 7","Columns"
"e21f100b-8309-4d54-9e8a-5e58b3470dea","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 7","Jump Form"
"67da543d-d498-4f5f-ac0d-c5e30161652d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 8"
"ee3faa65-9396-41b1-9111-a682735aa453","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 8","Precast"
"2cdf4499-b7f4-4d51-829d-9bfb37e1bc66","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 8","Concrete Pour"
"23d4a245-8109-4947-9794-e6dd2d431fbe","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 8","Columns"
"ccf29bed-9f8f-4d58-ae51-93b8e01e5f16","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 8","Jump Form"
"0d3d6969-79b5-4ecd-8ffb-5f02cd185c34","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 9"
"a586856d-4473-40e8-983c-e461f4fbe076","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 9","Precast"
"a0fd1095-9358-43eb-ac24-608cdd07dd55","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 9","Concrete Pour"
"74aeb4aa-aabc-4c90-8b5d-02829d774a38","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 9","Columns"
"3c1a07f0-c2a9-4667-902f-814f0b5d2691","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 9","Jump Form"
"9b8bbc58-16e7-44ab-b7bd-4f7ed4af4b63","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 10"
"de801f83-33d1-4279-ad4f-d4599bf4f858","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 10","Precast"
"23d64145-62d6-4059-ac4d-faffc4b177e4","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 10","Concrete Pour"
"7a25edef-92b8-480c-a82d-a02aa6cb5bc3","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 10","Columns"
"df1187da-9811-4b10-ae02-b4ff45fbcfb0","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 10","Jump Form"
"39263230-682c-4eea-8efd-c1c11cacbf5e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 11"
"70db2564-e5ad-449f-8239-74f77059267f","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 11","Precast"
"4bd2eaeb-1884-4018-9ba5-622a19fa4c8e","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 11","Concrete Pour"
"8b59ff01-b738-451a-8619-2b576da5957b","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 11","Columns"
"c3aaa532-d017-4553-98bd-905e051637ea","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 11","Jump Form"
"4ede63ed-aee9-427d-84fb-19c18babbd61","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 12"
"05b6c8de-ce88-4ae3-8fd4-aaf35f5aac77","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 12","Precast"
"05d9682f-ec51-47ca-b3c1-7521f328a03b","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 12","Concrete Pour"
"c284b671-7602-4da7-8610-880a74f557d8","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 12","Columns"
