,,"North Wing - Level 6 - APT C505",,"north wing","level 6","apt c505","second fix"
,,"South Wing - Level 2 - APT B101",,"second fix","apt b101","south wing","level 2"
,,"South Wing - Level 2 - APT B102",,"apt b102","second fix","south wing","level 2"
,,"South Wing - Level 2 - APT B103",,"apt b103","second fix","south wing","level 2"
,,"South Wing - Level 2 - APT B104",,"apt b104","second fix","south wing","level 2"
,,"South Wing - Level 2 - APT B105",,"apt b105","second fix","south wing","level 2"
,,"South Wing - Level 2 - APT B106",,"second fix","south wing","level 2","apt b106"
,,"South Wing - Level 2 - APT B107",,"second fix","south wing","level 2","apt b107"
,,"South Wing - Level 3 - APT B201",,"apt b201","second fix","south wing","level 3"
,,"South Wing - Level 3 - APT B202",,"apt b202","second fix","south wing","level 3"
,,"South Wing - Level 3 - APT B203",,"apt b203","second fix","south wing","level 3"
,,"South Wing - Level 3 - APT B204",,"apt b204","second fix","south wing","level 3"
,,"South Wing - Level 3 - APT B205",,"second fix","south wing","apt b205","level 3"
,,"South Wing - Level 3 - APT B206",,"second fix","south wing","level 3","apt b206"
,,"South Wing - Level 3 - APT B207",,"apt b207","second fix","south wing","level 3"
,,"South Wing - Level 3 - APT B208",,"second fix","apt b208","south wing","level 3"
,,"South Wing - Level 4 - APT B301",,"level 4","apt b301","second fix","south wing"
,,"South Wing - Level 4 - APT B302",,"level 4","apt b302","second fix","south wing"
,,"South Wing - Level 4 - APT B303",,"level 4","apt b303","second fix","south wing"
,,"South Wing - Level 4 - APT B304",,"level 4","second fix","south wing","apt b304"
,,"South Wing - Level 4 - APT B305",,"level 4","second fix","south wing","apt b305"
,,"South Wing - Level 4 - APT B306",,"level 4","apt b306","second fix","south wing"
,,"South Wing - Level 5 - APTB401",,"level 5","aptb401","second fix","south wing"
,,"South Wing - Level 5 - APTB402",,"level 5","aptb402","second fix","south wing"
,,"South Wing - Level 5 - APTB403",,"level 5","aptb403","second fix","south wing"
,,"South Wing - Level 5 - APTB404",,"aptb404","level 5","second fix","south wing"
,,"East Wing - Level 5 - APT C401",,"level 5","apt c401","second fix","east wing"
,,"East Wing - Level 5 - APT C402",,"apt c402","level 5","second fix","east wing"
,,"East Wing - Level 5 - APT C403",,"level 5","apt c403","second fix","east wing"
,,"East Wing - Level 5 - APT C404",,"level 5","second fix","east wing","apt c404"
,"Columns"
,,"Oven",,"oven"
,,"Hob",,"hob"
,,"Range",,"range"
,,"Hood",,"hood"
,,"Microwave",,"microwave"
,,"Dishwasher",,"dishwasher"
,,"Fridge",,"fridge"
,,"Kitchen Above Bench Power",,"kitchen above bench power"
,,"Lounge",,"lounge"
,,"Bed 1",,"bed 1"
,,"Bed 2",,"bed 2"
,,"Bed 3",,"bed 3"
,,"Bathroom power",,"bathroom power"
,,"Heater",,"heater"
,,"HTR",,"htr"
,,"Led Strips",,"led strips"
,,"Bonds Fixed",,"bonds fixed"
,,"Lights Cut Out",,"lights cut out"
,,"Lights Fitted Off",,"lights fitted off"
,,"Pendants Hung",,"pendants hung"
,,"Fan Controls",,"fan controls"
,,"Tested and Commissioned",,"tested and commissioned"
,,"DB Fit Off",,"db fit off"

"Second Fix - Common Areas Progress"
,"Scope",,,"second fix"
,"Rows"
,,"West Wing - Level 1 - D001 CORRIDOR",,"west wing","second fix","level 1","d001 corridor"
,,"West Wing - Level 1 - D002 PLANTROOM",,"d002 plantroom","west wing","second fix","level 1"
,,"West Wing - Level 1 - D004 RUBBISH ROOM",,"west wing","second fix","level 1","d004 rubbish room"
,,"West Wing - Level 1 - D005 STAIR",,"west wing","second fix","level 1","d005 stair"
,,"West Wing - Level 1 - D006 STORAGE",,"west wing","second fix","level 1","d006 storage"
,,"West Wing - Level 2 - D101 CORRIDOR",,"d101 corridor","west wing","second fix","level 2"
,,"West Wing - Level 2 - D102 CORRIDOR",,"west wing","second fix","d102 corridor","level 2"
,,"West Wing - Level 2 - D103 RISER",,"west wing","d103 riser","second fix","level 2"
,,"West Wing - Level 2 - D104 RUBBISH ROOM",,"west wing","second fix","level 2","d104 rubbish room"
,,"West Wing - Level 2 - D105 STORAGE",,"west wing","second fix","d105 storage","level 2"
,,"West Wing - Level 2 - D106 STAIR",,"west wing","d106 stair","second fix","level 2"
,,"West Wing - Level 3 - D201 CORRIDOR",,"west wing","d201 corridor","second fix","level 3"
,,"West Wing - Level 3 - D202 RISER",,"d202 riser","west wing","second fix","level 3"
,,"West Wing - Level 3 - D203 RUBBISH ROOM",,"d203 rubbish room","west wing","second fix","level 3"
,,"West Wing - Level 3 - D204 SERVICES/STORE",,"west wing","d204 services/store","second fix","level 3"
,,"West Wing - Level 3 - D205 STAIR",,"d205 stair","west wing","second fix","level 3"
,,"West Wing - Level 4 - D301 CORRIDOR",,"level 4","d301 corridor","west wing","second fix"
,,"West Wing - Level 4 - D302 RISER",,"level 4","west wing","second fix","d302 riser"
,,"West Wing - Level 4 - D303 RUBBISH ROOM",,"level 4","d303 rubbish room","west wing","second fix"
,,"West Wing - Level 4 - D304 SERVICES/STORE",,"level 4","d304 services/store","west wing","second fix"
,,"West Wing - Level 4 - D305 STAIR",,"level 4","west wing","second fix","d305 stair"
,,"North Wing - Level 1 - D007 PLANT ROOM",,"north wing","d007 plant room","second fix","level 1"
,,"North Wing - Level 1 - D008 CORRIDOR",,"north wing","d008 corridor","second fix","level 1"
,,"North Wing - Level 1 - D009 STAIR",,"north wing","d009 stair","second fix","level 1"
,,"North Wing - Level 1 - D010 STORAGE",,"north wing","d010 storage","second fix","level 1"
,,"North Wing - Level 1 - DO11 SERVICES",,"north wing","second fix","level 1","do11 services"
,,"North Wing - Level 1 - D012 LOBBY",,"north wing","d012 lobby","second fix","level 1"
,,"North Wing - Level 2 - D107 CORRIDOR",,"north wing","d107 corridor","second fix","level 2"
,,"North Wing - Level 2 - D108 SWIMMING POOL",,"north wing","second fix","level 2","d108 swimming pool"
,,"North Wing - Level 2 - D109 CHANGE",,"north wing","d109 change","second fix","level 2"
,,"North Wing - Level 2 - D110 ACC BATHROOM",,"north wing","d110 acc bathroom","second fix","level 2"
,,"North Wing - Level 2 - D111 GYM",,"north wing","second fix","level 2","d111 gym"
,,"North Wing - Level 2 - D112 STAIR",,"north wing","second fix","level 2","d112 stair"
,,"North Wing - Level 2 - D120 CARPARK",,"north wing","second fix","level 2","d120 carpark"
,,"North Wing - Level 2 - D121 KITCHEN PLANT",,"north wing","d121 kitchen plant","second fix","level 2"
,,"North Wing - Level 2 - D122 STORAGE",,"north wing","second fix","level 2","d122 storage"
,,"North Wing - Level 2 - D123 STAIR",,"north wing","d123 stair","second fix","level 2"
,,"North Wing - Level 2 - D124 LOBBY",,"north wing","d124 lobby","second fix","level 2"
,,"North Wing - Level 3 - D201 CORRIDOR",,"north wing","d201 corridor","second fix","level 3"
,,"North Wing - Level 3 - D207 RISER",,"north wing","second fix","d207 riser","level 3"
,,"North Wing - Level 3 - D208 STAIR",,"north wing","second fix","d208 stair","level 3"
,,"North Wing - Level 3 - D209 STORE ROOM",,"north wing","d209 store room","second fix","level 3"
,,"North Wing - Level 3 - D210 MULTIFUNCTION ROOM",,"north wing","d210 multifunction room","second fix","level 3"
,,"North Wing - Level 3 - D211 CORRIDOR",,"north wing","second fix","d211 corridor","level 3"
,,"North Wing - Level 3 - D212 LOUNGES",,"north wing","d212 lounges","second fix","level 3"
,,"North Wing - Level 3 - D213 POOL ROOM",,"north wing","second fix","d213 pool room","level 3"
,,"North Wing - Level 3 - D215-218 TOILETS",,"north wing","second fix","d215-218 toilets","level 3"
,,"North Wing - Level 3 - D219 WAITING LOUNGE",,"north wing","second fix","d219 waiting lounge","level 3"
,,"North Wing - Level 3 - D22 CORRIDOR",,"north wing","d22 corridor","second fix","level 3"
,,"North Wing - Level 3 - D23 WIND LOBBY",,"north wing","d23 wind lobby","second fix","level 3"
,,"North Wing - Level 3 - D224 LOBBY",,"north wing","d224 lobby","second fix","level 3"
,,"North Wing - Level 3 - D225 CENTRAL SPACE",,"north wing","second fix","d225 central space","level 3"
,,"North Wing - Level 3 - D226 DINING",,"north wing","second fix","d226 dining","level 3"
,,"North Wing - Level 3 - D227 CAFÉ",,"north wing","second fix","d227 café","level 3"
,,"North Wing - Level 3 - D228 ADMIN OFFICE",,"north wing","d228 admin office","second fix","level 3"
,,"North Wing - Level 3 - D229 RECEPTION",,"north wing","second fix","d229 reception","level 3"
,,"North Wing - Level 3 - D230 SALES OFFICE",,"north wing","second fix","d230 sales office","level 3"
,,"North Wing - Level 3 - D231 FM/VM OFFICE",,"north wing","d231 fm/vm office","second fix","level 3"
,,"North Wing - Level 3 - D232 GUEST OFFICE",,"north wing","d232 guest office","second fix","level 3"
,,"North Wing - Level 3 - D233 CORRIDOR",,"north wing","d233 corridor","second fix","level 3"
,,"North Wing - Level 3 - D234 CORRIDOR",,"north wing","d234 corridor","second fix","level 3"
,,"North Wing - Level 3 - D236 CLEANERS",,"north wing","d236 cleaners","second fix","level 3"
,,"North Wing - Level 3 - D237 ELECTRICAL",,"north wing","second fix","d237 electrical","level 3"
,,"North Wing - Level 3 - D238 RISER",,"north wing","second fix","d238 riser","level 3"
,,"North Wing - Level 3 - D239 COMMERCIAL KITCHEN",,"north wing","d239 commercial kitchen","second fix","level 3"
,,"North Wing - Level 3 - D240 OFFICE",,"north wing","d240 office","second fix","level 3"
,,"North Wing - Level 3 - D241 DRY STORE",,"north wing","d241 dry store","second fix","level 3"
,,"North Wing - Level 3 - D242 ALCOHOL STORE",,"north wing","second fix","d242 alcohol store","level 3"
,,"North Wing - Level 3 - D243 STAFFROOM",,"north wing","d243 staffroom","second fix","level 3"
,,"North Wing - Level 3 - D244 CORRIDOR",,"north wing","d244 corridor","second fix","level 3"
,,"North Wing - Level 3 - D247 CARE LOUNGE",,"north wing","d247 care lounge","second fix","level 3"
,,"North Wing - Level 3 - D248 NURSE STATION",,"north wing","d248 nurse station","second fix","level 3"
,,"North Wing - Level 3 - D249 ADMIN OFFICE",,"north wing","d249 admin office","second fix","level 3"
,,"North Wing - Level 3 - D250-253 STAFF CHANGE/WC",,"north wing","second fix","d250-253 staff change/wc","level 3"
,,"North Wing - Level 3 - D254 STAFF CHANGE",,"north wing","d254 staff change","second fix","level 3"
,,"North Wing - Level 4 - D301 CORRIDOR",,"north wing","level 4","d301 corridor","second fix"
,,"North Wing - Level 4 - D308 STAIR",,"north wing","level 4","second fix","d308 stair"
,,"North Wing - Level 4 - D309 LIBRARY",,"north wing","level 4","d309 library","second fix"
,,"North Wing - Level 4 - D310 CORRIDOR",,"north wing","level 4","d310 corridor","second fix"
,,"North Wing - Level 4 - D311 GALLERY WALK",,"north wing","level 4","d311 gallery walk","second fix"
,,"North Wing - Level 4 - D314 STORE",,"north wing","level 4","second fix","d314 store"
,,"North Wing - Level 4 - D316 ACTIVITY LOUNGE",,"north wing","level 4","second fix","d316 activity lounge"
,,"North Wing - Level 4 - D317 CARE LOUNGE",,"north wing","level 4","d317 care lounge","second fix"
,,"North Wing - Level 4 - D318 CARE LINING",,"north wing","level 4","d318 care lining","second fix"
,,"North Wing - Level 4 - D319 PRIVATE DINING",,"north wing","level 4","d319 private dining","second fix"
,,"North Wing - Level 4 - D320-322 ACC WC",,"north wing","level 4","second fix","d320-322 acc wc"
,,"North Wing - Level 4 - D323 CARE CAFÉ",,"north wing","level 4","second fix","d323 care café"
,,"North Wing - Level 4 - D324 CAFÉ CLEANERS",,"north wing","level 4","d324 café cleaners","second fix"
,,"North Wing - Level 4 - D312 CORRIDOR",,"north wing","level 4","d312 corridor","second fix"
,,"North Wing - Level 4 - D327 RISER",,"north wing","level 4","d327 riser","second fix"
,,"North Wing - Level 4 - D328 DIRTY LINEN",,"north wing","level 4","second fix","d328 dirty linen"
,,"North Wing - Level 4 - D329 STAIR",,"north wing","level 4","d329 stair","second fix"
,,"North Wing - Level 4 - D330 TREATMENT ROOM",,"north wing","level 4","d330 treatment room","second fix"
,,"North Wing - Level 4 - D331 NURSES STATION",,"north wing","level 4","d331 nurses station","second fix"
,,"North Wing - Level 5 - D403 STAIR",,"north wing","level 5","second fix","d403 stair"
,,"North Wing - Level 5 - D401 CORRIDOR",,"north wing","level 5","d401 corridor","second fix"
,,"North Wing - Level 5 - D404 CLEANERS",,"north wing","level 5","second fix","d404 cleaners"
,,"North Wing - Level 5 - D408 STAIR",,"north wing","d408 stair","level 5","second fix"
,,"North Wing - Level 6 - D501 CORRIDOR",,"north wing","level 6","d501 corridor","second fix"
,,"North Wing - Level 6 - D502 CLEANER",,"north wing","level 6","second fix","d502 cleaner"
,,"North Wing - Level 6 - D503 RISER",,"north wing","d503 riser","level 6","second fix"
,,"South Wing - Level 1 - D013 CARPARK",,"d013 carpark","second fix","level 1","south wing"
,,"South Wing - Level 2 - D118 CORRIDOR",,"d118 corridor","second fix","south wing","level 2"
,,"South Wing - Level 2 - D119 CORRIDOR",,"d119 corridor","second fix","south wing","level 2"
,,"South Wing - Level 2 - D115 SERVICES",,"d115 services","second fix","south wing","level 2"
,,"South Wing - Level 2 - D117 MULTIPURPOSE ROOM",,"second fix","d117 multipurpose room","south wing","level 2"
,,"South Wing - Level 3 - D201 CORRIDOR",,"d201 corridor","second fix","south wing","level 3"
,,"South Wing - Level 3 - D206 CORRIDOR",,"d206 corridor","second fix","south wing","level 3"
,,"South Wing - Level 4 - D301 CORRIDOR",,"level 4","d301 corridor","second fix","south wing"
,,"South Wing - Level 5 - D401 CORRIDOR",,"level 5","d401 corridor","second fix","south wing"
,,"East Wing - Level 2 - D120 CARPARK",,"second fix","east wing","level 2","d120 carpark"
,,"East Wing - Level 2 - D125 LINEN PICKUP",,"second fix","east wing","d125 linen pickup","level 2"
,,"East Wing - Level 2 - D127 HYDRAULIC PLANT ROOM",,"d127 hydraulic plant room","second fix","east wing","level 2"
,,"East Wing - Level 2 - D128 PROPERTY MANAGER",,"d128 property manager","second fix","east wing","level 2"
,,"East Wing - Level 2 - D129 RUBBISH ROOM",,"d129 rubbish room","second fix","east wing","level 2"
,,"East Wing - Level 3 - D244 CORRIDOR",,"d244 corridor","second fix","east wing","level 3"
,,"East Wing - Level 3 - D248 NURSES STATION",,"d248 nurses station","second fix","east wing","level 3"
,,"East Wing - Level 3 - D249 ADMIN OFFICE",,"d249 admin office","second fix","east wing","level 3"
,,"East Wing - Level 3 - D250-D253 STAFF CHANGE/WC",,"second fix","east wing","level 3","d250-d253 staff change/wc"
,,"East Wing - Level 3 - D255 CORRIDOR",,"d255 corridor","second fix","east wing","level 3"
,,"East Wing - Level 3 - D256 CM OFFICE",,"d256 cm office","second fix","east wing","level 3"
,,"East Wing - Level 3 - D257 DCM OFFICE",,"d257 dcm office","second fix","east wing","level 3"
,,"East Wing - Level 3 - D258 CLEAN LINEN",,"d258 clean linen","second fix","east wing","level 3"
,,"East Wing - Level 3 - D259 CLEANERS CUPBOARD",,"second fix","east wing","d259 cleaners cupboard","level 3"
,,"East Wing - Level 3 - D260 EQUIPMENT",,"d260 equipment","second fix","east wing","level 3"
,,"East Wing - Level 3 - D262 STAIR",,"d262 stair","second fix","east wing","level 3"
,,"East Wing - Level 3 - D263 LOBBY",,"second fix","east wing","d263 lobby","level 3"
,,"East Wing - Level 4 - D332 CORRIDOR",,"level 4","d332 corridor","second fix","east wing"
,,"East Wing - Level 4 - D333 EQUIPMENT",,"level 4","d333 equipment","second fix","east wing"
,,"East Wing - Level 4 - D334 CLEANERS STORAGE",,"level 4","d334 cleaners storage","second fix","east wing"
,,"East Wing - Level 4 - D335 CLEAN LINEN",,"level 4","d335 clean linen","second fix","east wing"
,,"East Wing - Level 4 - D336 GP/DOC MEETING ROOM",,"level 4","d336 gp/doc meeting room","second fix","east wing"
,,"East Wing - Level 4 - D337 SLUICE/LINEN CHUTE",,"level 4","d337 sluice/linen chute","second fix","east wing"
,,"East Wing - Level 4 - D339 SHOWER TROLLEYS",,"level 4","second fix","east wing","d339 shower trolleys"
,,"East Wing - Level 4 - STAIR",,"level 4","stair","second fix","east wing"
,,"East Wing - Level 5 - D409 CORRIDOR",,"level 5","d409 corridor","second fix","east wing"
,,"East Wing - Exterior Lights - FED FROM DB-3A",,"fed from db-3a","second fix","east wing","exterior lights"
,,"East Wing - Exterior Lights - FED FROM DB-3B",,"fed from db-3b","second fix","east wing","exterior lights"
,,"East Wing - Exterior Lights - FED FROM DB-3C",,"second fix","east wing","fed from db-3c","exterior lights"
,,"East Wing - Exterior Lights - FED FROM DB-2A",,"fed from db-2a","second fix","east wing","exterior lights"
,"Columns"
,,"Lights Cut Out",,"lights cut out"
,,"Light Fitted Off",,"light fitted off"
,,"Power Cut Out",,"power cut out"
,,"Power Fitted Off",,"power fitted off"
,,"Dali Sensors Fitted Off",,"dali sensors fitted off"
,,"Emergencies and Exits",,"emergencies and exits"
,,"DB Installed",,"db installed"
,,"Tested and Commissioned",,"tested and commissioned"

"Second Fix - Care Suites Progress"
,"Scope",,,"second fix"
,"Rows"
,,"North Wing - Level 4 - CS320",,"north wing","level 4","cs320","second fix"
,,"North Wing - Level 4 - CS319",,"north wing","level 4","cs319","second fix"
,,"North Wing - Level 4 - CS318",,"north wing","level 4","cs318","second fix"
,,"North Wing - Level 4 - CS317",,"north wing","level 4","cs317","second fix"
,,"East Wing - Level 3 - CS201",,"cs201","second fix","east wing","level 3"
,,"East Wing - Level 3 - CS202",,"cs202","second fix","east wing","level 3"
,,"East Wing - Level 3 - CS203",,"second fix","east wing","cs203","level 3"
,,"East Wing - Level 3 - CS204",,"second fix","east wing","cs204","level 3"
,,"East Wing - Level 3 - CS205",,"second fix","east wing","level 3","cs205"
,,"East Wing - Level 3 - CS206",,"cs206","second fix","east wing","level 3"
,,"East Wing - Level 3 - CS207",,"cs207","second fix","east wing","level 3"
,,"East Wing - Level 3 - CS208",,"cs208","second fix","east wing","level 3"
,,"East Wing - Level 3 - CS209",,"cs209","second fix","east wing","level 3"
,,"East Wing - Level 3 - CS210",,"cs210","second fix","east wing","level 3"
,,"East Wing - Level 3 - CS211",,"cs211","second fix","east wing","level 3"
,,"East Wing - Level 4 - CS301",,"level 4","cs301","second fix","east wing"
,,"East Wing - Level 4 - CS302",,"level 4","second fix","east wing","cs302"
,,"East Wing - Level 4 - CS303",,"level 4","second fix","east wing","cs303"
,,"East Wing - Level 4 - CS304",,"level 4","second fix","east wing","cs304"
,,"East Wing - Level 4 - CS305",,"level 4","cs305","second fix","east wing"
,,"East Wing - Level 4 - CS306",,"level 4","cs306","second fix","east wing"
,,"East Wing - Level 4 - CS307",,"level 4","cs307","second fix","east wing"
,,"East Wing - Level 4 - CS308",,"level 4","cs308","second fix","east wing"
,,"East Wing - Level 4 - CS309",,"level 4","cs309","second fix","east wing"
,,"East Wing - Level 4 - CS310",,"level 4","cs310","second fix","east wing"
,,"East Wing - Level 4 - CS311",,"level 4","cs311","second fix","east wing"
,,"East Wing - Level 4 - CS312",,"level 4","cs312","second fix","east wing"
,,"East Wing - Level 4 - CS313",,"level 4","second fix","east wing","cs313"
,,"East Wing - Level 4 - CS314",,"level 4","second fix","east wing","cs314"
,,"East Wing - Level 4 - CS315",,"level 4","second fix","east wing","cs315"
,,"East Wing - Level 4 - CS316",,"level 4","cs316","second fix","east wing"
,"Columns"
,,"Lounge Power",,"lounge power"
,,"Bed Power",,"bed power"
,,"Kitchen Power",,"kitchen power"
,,"Wall Light",,"wall light"
,,"Hoist",,"hoist"
,,"Lights Cut Out",,"lights cut out"
,,"Lights Fit Off",,"lights fit off"
,,"Emergency Lights",,"emergency lights"
,,"Tested And Commissioned",,"tested and commissioned"

