"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ca6b8dc2-1378-41a4-80b3-adcbcb953793","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 13 (FSW-ITR-113)"
"65557a23-c3a7-4620-8e31-93a6fe933124","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 13 (FSW-ITR-113)","Sprinkler Installation/Fitoff"
"a2d71764-62ea-49b5-8286-aef7974ce06b","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 13 (FSW-ITR-113)","Sprinkler Control Valve"
"aa871eb6-90ce-465e-9503-21312fe12bf1","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 13 (FSW-ITR-113)","Sprinkler & Hydrant Hydrostatic Test"
"5a0348c6-9e4c-46b5-a6a0-3c659bf6f003","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 13 (FSW-ITR-113)","Hydrant Installation"
"341f3ed8-7da3-48b3-a130-5226dedb4fff","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 14 (FSW-ITR-114)"
"cec03e50-8b9e-4a8a-b16a-77ac93057b84","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 14 (FSW-ITR-114)","Sprinkler Installation/Fitoff"
"1db87bd2-9516-4007-914d-7e898e74a422","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 14 (FSW-ITR-114)","Sprinkler Control Valve"
"c79ec275-5f9e-43a4-a889-997a4b8f9fbd","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 14 (FSW-ITR-114)","Sprinkler & Hydrant Hydrostatic Test"
"2c565e72-fb77-4377-9d52-a49c8a0455eb","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 14 (FSW-ITR-114)","Hydrant Installation"
"30971ee9-e136-4895-b9de-9cd9796ab063","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 15 (FSW-ITR-115)"
"884e8fe5-c600-4b46-8722-29ace45087a8","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 15 (FSW-ITR-115)","Sprinkler Installation/Fitoff"
