"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f05341f9-3d75-482f-a9c7-f887b85c965c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 29","WPM TO HOBS"
"0079e7fe-d6d7-479e-8a5d-8ae41bf84030","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium External Walls "
"c3244479-5f26-4ae6-85e5-aadc32c3cbf2","","checklist-flat","work-in-progress","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Podium External Walls ","MARK UP"
"60125b5b-b13d-46de-8e0f-01e7c08ab703","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium External Walls ","Facade walls"
"e63faefc-4fa1-45fe-b92f-97e6925f8bf8","","checklist-sectioned","work-in-progress","HP1200 v1.1","checklist","FALSE","FALSE","Podium External Walls ","Facade walls","HP1200 v1.1"
"c30ae97e-f357-4f08-96ef-3519377839e3","","folder-normal","work-in-progress","","step","TRUE","FALSE","SCOPE GAP"
"254e4268-d328-4a3b-90ec-296b7b92ab1e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SCOPE GAP","Elizabeth Street (PLAN 820000-L)"
"379798ee-f4cb-41c7-99d1-0d8ba465edaa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SCOPE GAP","Castlereagh Street (PLAN 828000-K)"
"5d67a55c-96ee-444c-b4fa-1c5bbf1d2c17","","folder-normal","work-in-progress","","step","TRUE","FALSE","SCOPE GAP","mark up"
"2cbc585a-a273-463a-8dac-8a397edf8d5b","","checklist-flat","work-in-progress","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SCOPE GAP","mark up","scope gap"
"c5badab4-7da1-4676-921b-9dd68e692f4d","","checklist-flat","work-in-progress","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SCOPE GAP","mark up","Document Upload Checklist"
"5c9718e0-efff-494d-a580-8479bb1ecd38","","folder-normal","work-in-progress","","step","TRUE","FALSE","SCOPE GAP","mark up","Loading dock"
"feef59b7-87c9-44a7-99dc-975276c4dfaa","","checklist-flat","work-in-progress","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","SCOPE GAP","mark up","Loading dock","Enviro BLV + HP1200"
"36b5f1c2-1e04-425e-baa8-d19077c9e0a6","","checklist-sectioned","not-started","SYS - Archived checklist 5","checklist","FALSE","FALSE","Enviro BSM V1.0"
"4a8aa777-12e0-4884-8f7e-0339dd66eb67","","folder-normal","work-in-progress","","step","TRUE","FALSE","Waterloo planters variation"
"72066042-2891-4101-8397-92f9fd68d1d3","","checklist-sectioned","work-in-progress","HP1200 v1.1","checklist","FALSE","FALSE","Waterloo planters variation","HP1200 v1.1"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","work-in-progress","","step","FALSE","FALSE","Variations"
"9212e339-f488-408a-9d9a-6753a1650c15","","checklist-flat","pass","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","Si 0539"
"7a4a7f76-498b-4384-bcab-ec2b28283e43","","checklist-flat","work-in-progress","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","Si 0504"
"096aca62-2b76-48b0-97ff-374492f90a9a","","checklist-flat","work-in-progress","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","Si 0504"
"10c80ca6-0871-41ca-a8cd-c7ad9650d465","","checklist-flat","work-in-progress","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","Si 0504"
"644c42ee-c66a-44df-9bf1-cd11d33c452c","","checklist-flat","not-applicable","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","Si 0607"
