"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"df8b14f9-3b1a-4dbb-8917-e1ba6d2add3f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Planter Boxes"
"b4eb7757-856f-4af2-8b48-4284ea91d34d","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Planter Boxes","Planter box on LWR GR1"
"25946efe-9136-4eeb-ab0b-11905bd5101a","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Planter Boxes","Planter box on GF"
"8eb629fa-7dd4-475c-a93a-a30fa7f919f8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Roof"
"73d8295c-14dc-4691-8f9e-fa97a40665d1","","checklist-flat","work-in-progress","zSYS - Level 2 Roof","checklist-flat","FALSE","FALSE","Site QA","Building B","Roof","Roof level"
"59f5311a-dbd2-4b51-8ff4-7db836cf969b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C"
"32f3ff68-022c-48c9-a0d6-e3dbc3c89cb6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C","Balconies"
"796ec0ee-3e5f-47a7-81e8-f242756b4c5d","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Building C","Balconies","LWR GR2 Balconies"
"4b79d3ae-5d6e-4871-84f0-97aebf0bf24a","","checklist-flat","pass","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building C","Balconies","LWR GR2 Balconies","C-LG201 - (Enviro Primer + 700X)"
"6c02c928-7b16-4827-8ce7-2780701a5abc","","checklist-flat","pass","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building C","Balconies","LWR GR2 Balconies","C-LG202 - (Enviro Primer + 700X)"
"501a1b0e-889f-4bc9-8c36-1dce36f5d31f","","checklist-flat","pass","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building C","Balconies","LWR GR2 Balconies","C-LG203 - (Enviro Primer + 700X)"
"18471378-c3c6-405c-bae0-bcfb875a3069","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building C","Balconies","LWR GR1 Balconies"
"b54a0ac0-d5c2-41a9-b464-36095864b71f","","checklist-flat","pass","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building C","Balconies","LWR GR1 Balconies","C-LG101 - (Enviro Primer + 700X)"
