"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38e41d24-bf4a-4ee7-8ce0-98bf17c6ec85","","checklist-flat","work-in-progress","Job Details","checklist-flat","FALSE","FALSE","Mondrian - Job Details"
"6fb5fe2d-f429-48a6-aa16-8b5bc9b55350","","folder-normal","fail","","step","TRUE","FALSE","Podium"
"da5eac98-442e-49b6-a33a-7d2a61228653","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium","Manufacture QA"
"33549ecf-decd-4032-a640-ef9152fe6e17","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 1"
"066b4929-5bb0-42c2-9255-81d7046faa21","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 1","Column"
"ec9386eb-98af-48b2-b672-f8dde4054ab5","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-240"
"d00e26f1-0912-43a8-aba8-f302e4a2f620","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-241"
"0f150d28-f2fc-4ebb-93e0-a831666d90ef","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-242"
"d4db6a12-25fa-4286-8e84-bd2dcf1992a4","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-243"
"01ad7f18-bb30-4a3b-8c31-a0ad4673f5e2","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-244"
"6cb0b049-0011-40ec-a200-e506114b10ef","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-245"
"04cfa346-78a9-4dd6-a20d-c2867aec7c28","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-246"
"a1a47bb7-b796-4fe9-806e-4cd77128b588","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-247"
"5055d0b8-e864-4410-b159-862575cc1b24","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-248"
"8e02b3f9-c4b5-4808-88eb-f199bebe475f","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-249"
"3638cd41-ecbb-442b-b04f-df23140eb8ee","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-250"
"cf7e9115-7d8d-423d-952f-1e1b9d6122fd","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-251"
"5a368b14-b3bb-4de3-9c54-ce18ecc38efd","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-257"
"f8eef96c-d348-4301-8249-e5407a25b9b0","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-258"
"4c509e59-740d-4c0b-8fcd-0e3e30de58b5","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-259"
"1f0f6ad8-fe42-4c40-8ea3-dbb3729e84cb","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-260"
"00086a05-bdaa-464f-b7c2-a6b03f608a63","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-261"
"d4ef11ea-7957-4f13-b0fc-e2d39d9c71e6","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-262"
"b6fc23a7-fa1b-4224-a8ca-fdd24bf86b6d","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-263"
"af45456c-925e-4f33-9a14-697de2cdac41","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-264"
"cf3a5333-2635-4c72-bc81-2222dd721a2d","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-265"
"b4456c6b-125e-4d52-8079-2386ec6e7ef3","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-266"
"b4d102c7-c631-4483-bf31-bbb5afab1a9b","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-267"
"75b81ee3-3f3d-4d2d-a630-ba8926ce0f10","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-268"
"f99c480a-6fda-4c00-9169-c98dd58d9f73","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-269"
"193d2424-6119-4c49-be1e-66bac563093e","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-270"
"74dad7c9-c42e-4d6c-99ff-39fade1d8034","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-271"
"50d71608-b6fc-4ddf-8f45-c8479d7cfbea","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-272"
