"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"813b2ad7-6bff-414f-9335-318dbece285f","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G16","QA- Tiling Installation walls"
"d305487d-168c-4258-aed9-5cd9aee69626","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G16","QA-Other Information"
"471b3af2-113e-41f9-b5ae-eca36655b965","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G17"
"44127b8f-e5b7-4f5c-b029-d45df1dd238c","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G17","QA- Wall/Floor prep"
"8c495257-5908-461a-8145-9095a4490b6b","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G17","QA- waterproofing"
"47f74f47-1b12-416a-88e0-417482a9e133","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G17","QA- Tiling Installation walls"
"d395d59c-cb45-4da1-ad32-feca8480334f","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G17","QA-Other Information"
"adfd508b-572f-4708-919b-ebb2205a1793","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G18"
"efd80fbf-8048-4a9e-adab-5d9b04fdbfe5","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G18","QA- Wall/Floor prep"
"3929063d-bea1-407e-87d2-fcdc64752db8","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G18","QA- waterproofing"
"6e6206fe-53b8-475d-a822-c9a82cb8c61e","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G18","QA- Tiling Installation walls"
"9cfe154e-cd9a-4ec7-a3e4-829a618e6207","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G18","QA-Other Information"
"b149e1d4-9071-46ad-8623-79da395dca00","","not-started","","folder","TRUE","FALSE","Level 1"
"caedb5a3-9560-4442-8467-7ff545c3e063","","not-started","","folder","TRUE","FALSE","Level 1","L1 01"
"c6d7803c-12c1-4a1a-8d16-8e12b6f4f1bd","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 01","QA- Wall/Floor prep"
"5a630f7a-94cd-4d26-b00d-0a133ac88567","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 01","QA- waterproofing"
"5454ec95-b493-4b19-b94d-7e43c65b0912","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 01","QA- Tiling Installation walls"
"309f3833-6a27-4125-9abf-519b42ac8631","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 01","QA-Other Information"
"c4629c89-7334-4517-92ba-afde040ce4be","","not-started","","folder","TRUE","FALSE","Level 1","L1 02"
"58a1cf0b-d0d9-47c4-b2f4-117e0cf03c95","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 02","QA- Wall/Floor prep"
"310b2c59-3624-40bc-8313-d1cafebb2b89","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 02","QA- waterproofing"
"21bdcb89-46ff-4692-abe3-60c51bc5796b","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 02","QA- Tiling Installation walls"
"77b31604-fdfd-4671-b22a-d96fad426fb0","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 02","QA-Other Information"
"251fdb30-3682-4ea1-b8b4-a8838ae7766c","","not-started","","folder","TRUE","FALSE","Level 1","L1 03"
"156e13f1-26e5-494b-bd29-a4e249f49c43","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 03","QA- Wall/Floor prep"
