"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"74f9d8c1-5272-40e1-a4d4-a54d307ee78d","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 5","Fire Detection Installation"
"a7264e9b-295e-48d9-87c7-45bc0323c6cf","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 5","Fire Detection Fit Off"
"5fc410e9-4076-4528-ac06-efed4f16d0b5","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 6"
"2b2320b4-c0c4-493f-b979-7e5b1a61ce09","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 6","Ewis Installation"
"b4a45255-b4d2-4433-b9c6-26846de87d2c","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 6","Ewis Installation Fit Off"
"cc5e4bcb-7a50-42ff-9b3a-26f66ea6a3d2","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 6","Fire Detection Installation"
"ed955251-61a2-4d2e-ba23-6d58f662b546","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 6","Fire Detection Fit Off"
"a29d8389-62ff-4592-86b7-dde8c6dae2c0","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 7"
"4744a4c6-6948-4258-b2e3-a8704cf70f91","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 7","Ewis Installation"
"3c2031bc-210f-42a4-8646-70061acdb57c","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 7","Ewis Installation Fit Off"
"470ba62b-8e50-4ded-bd50-6a69d971f8c7","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 7","Fire Detection Installation"
"efb57589-788a-4d95-af72-e5ac238ac56d","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 7","Fire Detection Fit Off"
"c496cc0a-0415-482e-ab4e-3de6b875296c","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 8"
"913d718e-7adc-4367-a92b-401c55d623b6","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 8","Ewis Installation"
"2e84db20-4489-4362-9bb6-25f8cfe51ca5","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 8","Ewis Installation Fit Off"
"49422c7b-2353-493c-ab17-74efdb240be6","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 8","Fire Detection Installation"
"61493243-de12-40af-a00b-fb005f102cd6","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 8","Fire Detection Fit Off"
"fb252485-84f7-42c3-8811-ce1f0685b330","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 9"
"03aae70f-cd75-43f6-9016-9fe37682f350","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 9","Ewis Installation"
"4f785e3b-6f2e-4f37-bd3e-43abc6d676df","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 9","Ewis Installation Fit Off"
"063c6416-97f5-459f-ba60-c0b31b91ab31","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 9","Fire Detection Installation"
"6febea49-f9e5-4b43-8be4-48aebdde7762","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 9","Fire Detection Fit Off"
"e63aaa8d-9c75-4d6c-a754-b4e7188e0956","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 10"
"99586e3a-72af-47d7-8128-7790ed5b297b","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 10","Ewis Installation"
"9631959f-5a48-4c72-bf45-9569e155b481","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 10","Ewis Installation Fit Off"
"43250db5-b706-428c-8d98-743d03d7df0e","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 10","Fire Detection Installation"
"d4a5a9f8-fd0c-4452-a02f-d419d9b64cb5","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 10","Fire Detection Fit Off"
"614e58fc-9707-4345-bf5b-b86881b369e6","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 11"
"b6e88245-9b6e-485b-bd4e-bb0d286c909a","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 11","Ewis Installation"
"1acebee5-7f93-4b7c-9bc8-e945be343276","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 11","Ewis Installation Fit Off"
"2c0cd2a1-323e-45b5-947c-37e3bdf96528","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 11","Fire Detection Installation"
"ecb3fe13-efb8-4832-a883-71ad90089145","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 11","Fire Detection Fit Off"
"5e236663-edb3-421b-b671-9df2be6625a5","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 12"
"50a41539-89ef-4d18-a8bd-4259a907b19f","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 12","Ewis Installation"
"3c10e792-6bd8-4e20-b451-54590d675d49","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 12","Ewis Installation Fit Off"
"82bdac7e-d8fa-44f7-a98e-e1f78d8f01e4","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 12","Fire Detection Installation"
"6c0ee52c-2323-48d3-81c2-cf89c70b5f21","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 12","Fire Detection Fit Off"
"c1b80812-5572-4b16-abdb-b291f0d1402c","","","","folder","TRUE","FALSE","Pumps"
"b4ab7a9f-4f67-4fa3-9ff7-98caa3bc7374","","","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)","checklist","FALSE","FALSE","Pumps","Fire Pump Installation"
"f6c8bf22-3f52-4b0d-b420-c1162193d674","","","","folder","TRUE","FALSE","Tanks"
"301caf8a-4c1d-4b15-9fb2-76ec7c22bbcc","","","LM-FOR-40-ITR-302.4 Tank Installation (V.171121)","checklist","FALSE","FALSE","Tanks","Tank Installation"
