"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2de6a6ba-5451-49ec-8dca-a7bf37a8022e","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH5","Sprinkler Installation/Fitoff"
"aa07d9e6-83ec-41a8-a785-ea00b2b031f2","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH5","Sprinkler & Hydrant Hydrostatic Test"
"db8899d0-8f6b-4d2d-bfcb-540bc149ad82","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH8"
"762f230e-8b8c-4678-af01-a68fc1485f10","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH8","Pre-Action Valve"
"be5973d4-8605-4f12-9094-36b1724fd511","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH8","Sprinkler Installation/Fitoff"
"b5940aa2-dd00-4393-bc06-52bc4073b099","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH8","Sprinkler & Hydrant Hydrostatic Test"
"8dc7451d-d8d4-4845-956a-949dc1659ecc","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.LV7"
"0bdd5b74-c8ec-48c6-b005-53b97ed70442","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.LV7","Pre-Action Valve"
"140a0f15-d322-46b4-9622-fec2406da7ff","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.LV7","Sprinkler Installation/Fitoff"
"382b5be8-bfdf-458f-aa72-38986d77c0d5","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.LV7","Sprinkler & Hydrant Hydrostatic Test"
"af496838-e91e-4cc0-a853-606e8b48f778","","pass","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH4"
"ac765938-6a0d-405f-96cd-0c0d3b88a01b","","pass","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH4","Pre-Action Valve"
"15f0dd7e-053c-45ff-85bf-216b4681ff0d","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH4","Sprinkler Installation/Fitoff"
"19205123-cce4-4584-b415-bea31e88605d","","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH4","Sprinkler & Hydrant Hydrostatic Test"
"fc35bca0-5a3b-4db4-95d3-8c67ca9f71c9","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Level 1 (FSW-ITR-101)"
"e9265397-f183-4171-8af3-16ad3eb60ef5","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Level 1 (FSW-ITR-101)","Office"
"7882b2e0-c30e-4e27-a573-a6169fc0a1f5","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Level 1 (FSW-ITR-101)","Office","Sprinkler Installation/Fitoff"
"9b12c5e4-f199-4f60-969e-7aa2376f7d5b","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Level 1 (FSW-ITR-101)","Office","Sprinkler & Hydrant Hydrostatic Test"
"41aa1366-7e39-4dae-889d-7dcba9234a1f","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Level 3 (FSW-ITR-103)"
"c4e423ca-0655-4f63-8f61-ae50c22032da","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Level 3 (FSW-ITR-103)","Storage Space"
"4b0ca77c-c2d2-4d7c-b4c2-278873d9749d","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Level 3 (FSW-ITR-103)","Storage Space","Sprinkler Installation/Fitoff"
"ab933e78-8422-4fc6-8fe2-176882077a86","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Level 3 (FSW-ITR-103)","Storage Space","Sprinkler & Hydrant Hydrostatic Test"
"e3c68c9d-91a4-43a2-a49d-d4f47bd710e5","","pass","","folder","TRUE","FALSE","Variations "
"da45d57f-1f91-455d-a413-19dd9c1c1a86","","pass","Variation","checklist","FALSE","FALSE","Variations ","Variation"
