Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Detailed Progress Matrix (L31-L37),,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Level 31,grouping,Level 31,,,
,,Circle,grouping,Circle,,,
,,L34-059,,L34-059,Circle,Level 34,Site QA
,,L34-060,,L34-060,Circle,Level 34,Site QA
,,L34-061,,L34-061,Circle,Level 34,Site QA
,,L34-062,,L34-062,Circle,Level 34,Site QA
,,L34-063,,L34-063,Circle,Level 34,Site QA
,,L34-068,,L34-068,Circle,Level 34,Site QA
,,L34-069,,L34-069,Circle,Level 34,Site QA
,,L34-070,,L34-070,Circle,Level 34,Site QA
,,L34-071,,L34-071,Circle,Level 34,Site QA
,,L34-072,,L34-072,Circle,Level 34,Site QA
,,L34-073,,L34-073,Circle,Level 34,Site QA
,,L34-074,,L34-074,Circle,Level 34,Site QA
,,L34-075,,L34-075,Circle,Level 34,Site QA
,,L34-076,,L34-076,Circle,Level 34,Site QA
,,L34-077,,L34-077,Circle,Level 34,Site QA
,,L34-078,,L34-078,Circle,Level 34,Site QA
,,L34-079,,L34-079,Circle,Level 34,Site QA
,,L34-080,,L34-080,Circle,Level 34,Site QA
,,L34-081,,L34-081,Circle,Level 34,Site QA
,,L34-082,,L34-082,Circle,Level 34,Site QA
,,L34-083,,L34-083,Circle,Level 34,Site QA
,,L34-084,,L34-084,Circle,Level 34,Site QA
,,L34-085,,L34-085,Circle,Level 34,Site QA
,,L34-086,,L34-086,Circle,Level 34,Site QA
,,L34-087,,L34-087,Circle,Level 34,Site QA
,,L34-088,,L34-088,Circle,Level 34,Site QA
,,L34-089,,L34-089,Circle,Level 34,Site QA
,,L34-090,,L34-090,Circle,Level 34,Site QA
,,L34-091,,L34-091,Circle,Level 34,Site QA
,,L34-092,,L34-092,Circle,Level 34,Site QA
,,L34-093,,L34-093,Circle,Level 34,Site QA
,,L34-094,,L34-094,Circle,Level 34,Site QA
,,L34-095,,L34-095,Circle,Level 34,Site QA
,,L34-096,,L34-096,Circle,Level 34,Site QA
,,L34-097,,L34-097,Circle,Level 34,Site QA
,,L34-098,,L34-098,Circle,Level 34,Site QA
,,L34-099,,L34-099,Circle,Level 34,Site QA
,,L34-100,,L34-100,Circle,Level 34,Site QA
,,L34-101,,L34-101,Circle,Level 34,Site QA
,,L34-102,,L34-102,Circle,Level 34,Site QA
,,L34-103,,L34-103,Circle,Level 34,Site QA
,,L34-104,,L34-104,Circle,Level 34,Site QA
,,L34-105,,L34-105,Circle,Level 34,Site QA
,,L34-106,,L34-106,Circle,Level 34,Site QA
,,L34-107,,L34-107,Circle,Level 34,Site QA
,,L34-108,,L34-108,Circle,Level 34,Site QA
,,L34-109,,L34-109,Circle,Level 34,Site QA
,,L34-110,,L34-110,Circle,Level 34,Site QA
,,L34-111,,L34-111,Circle,Level 34,Site QA
,,L34-112,,L34-112,Circle,Level 34,Site QA
,,L34-113,,L34-113,Circle,Level 34,Site QA
,,L34-114,,L34-114,Circle,Level 34,Site QA
,,L34-115,,L34-115,Circle,Level 34,Site QA
,,L34-116,,L34-116,Circle,Level 34,Site QA
,,L34-117,,L34-117,Circle,Level 34,Site QA
,,L34-118,,L34-118,Circle,Level 34,Site QA
,,L34-119,,L34-119,Circle,Level 34,Site QA
,,L34-120,,L34-120,Circle,Level 34,Site QA
,,L34-121,,L34-121,Circle,Level 34,Site QA
,,L34-122,,L34-122,Circle,Level 34,Site QA
,,L34-123,,L34-123,Circle,Level 34,Site QA
,,L34-124,,L34-124,Circle,Level 34,Site QA
,,L34-125,,L34-125,Circle,Level 34,Site QA
,,L34-126,,L34-126,Circle,Level 34,Site QA
,,L34-127,,L34-127,Circle,Level 34,Site QA
,,L34-128,,L34-128,Circle,Level 34,Site QA
,,L34-129,,L34-129,Circle,Level 34,Site QA
,,L34-130,,L34-130,Circle,Level 34,Site QA
,,L34-131,,L34-131,Circle,Level 34,Site QA
,,L34-132,,L34-132,Circle,Level 34,Site QA
