"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c6c8fb9a-847b-490d-9d3b-4f033f4a5577","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 4"
"9e3ec561-63fe-4ca6-9cf4-607a08f56a3b","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 5"
"a9b3a393-35a8-4b63-9201-fa358e933137","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 6"
"e5b4f915-a6fc-4b4b-a0b6-59de02ea4f69","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 7"
"12d292a5-3432-4cd4-8aef-d6bacdd2da42","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 8"
"ae244684-195f-46c1-aa43-2b10e72fabde","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 9"
"e766ff11-e389-40f0-b343-eb75f31b0b2d","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 10"
"2dd45af6-5419-4ef5-beaa-5513c61fc27e","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 11"
"f4112b73-0f53-4289-8e0b-676de3854c3b","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 12"
"f50680d7-e696-4335-bc7b-6f4ff41ba2d0","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 13"
"12b5375f-0eb8-4348-aa52-edf374fc834e","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 14"
"9903bbe8-ada4-4ebe-980f-7652b94cee05","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 15"
"0897edb6-9392-4159-9c0d-f3136765f096","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 16"
"8642f4a1-d8ce-4e65-8ba9-ec76b05d817e","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 17"
"61d27553-da2f-49c3-bbe3-720752f1f8b5","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 18"
"b60530ed-b60e-48fb-9f1d-d5722ac01cab","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 19 - Roof"
"b6fb7a9d-1bf4-4cac-9850-9b36806d0425","","work-in-progress","","folder","TRUE","FALSE","Site QA","In Slab Conduits"
"9616a466-4227-478d-81dd-b7f1545666c4","","work-in-progress","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Basement"
"d4a60c63-8f8a-4e6f-a8d9-b724598c62a7","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Ground"
"7c72a63b-37d7-4a5b-973f-9a4b0522c482","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Mezzanine Slab - Zone 1"
"e954f198-59ab-4e06-b7af-fb5e00398b31","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 1"
"af2080c4-00b1-4d5f-8ec1-9b8d71cbbe5c","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 2"
"be87901a-e65c-436b-8d15-24e01cc14ec5","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 3"
"83142104-454d-4e87-809a-ee1a769ba709","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 4"
"0d28e0cb-809f-4c09-8477-07cd39671ed9","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 5"
"af6a6afd-1656-41e0-8aa0-94608a39f72f","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Site QA","In Slab Conduits","Level 6"
