"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2c0dca25-4cbf-4d2b-8e57-9045ca626c14","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P66"
"24cdbfb1-4f36-436b-b8c6-a227e8a41b10","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P67"
"36501258-0598-4942-9420-bb432e2c47dd","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P75"
"3cda2c0c-a1fa-4121-a714-70180007e9b5","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P76"
"6318a8e4-4e0c-451f-be8e-99b4fd0e45e9","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P77"
"ab53c652-3d7b-406d-aa2c-f49076162931","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P78"
"004526d3-7a03-4e66-b305-1be56bef1dab","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P79"
"c4f40421-e35b-4266-abd6-530ec9bc9497","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P80"
"90432066-f902-4fa4-9772-5dd7c72b32b0","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P82"
"069b24bd-21c7-4653-b689-7e3265fc2106","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P85"
"9afbb40c-a7af-4659-9981-359b8545ea50","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P87"
"750324c2-d28d-432a-a8be-57436c3fa1d5","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P90"
"2f4e0325-cfe8-4796-a170-35540bf6aeec","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P91"
"3041c30f-7db2-4a45-aa64-4ce5ba5ad732","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P92"
"421f245c-f810-4fad-be08-bf327d08bfb8","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P94"
"fdf94fe2-466d-4616-a61b-ae0e98011d73","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P95"
"4edc1e1b-5d3c-4a3f-bb25-1b8afffb95ef","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P96"
"0113887c-58ad-4dbc-ac22-714900372fd7","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P97"
"db5a4a80-7034-4344-b9e9-3019f7470999","","folder-normal","pass","","step","TRUE","FALSE","Building A","Level 1"
"01951090-ff90-46cc-b921-14c62087c217","","checklist-sectioned","pass","aacc925896771ac5a6e2f3f55a55a8f3831ae6808181e6198db184fe62fecb3c","checklist","FALSE","FALSE","Building A","Level 1","L1-P40"
"3cd99ce8-8d79-415d-b110-97d71e1988c7","","checklist-sectioned","pass","aacc925896771ac5a6e2f3f55a55a8f3831ae6808181e6198db184fe62fecb3c","checklist","FALSE","FALSE","Building A","Level 1","L1-P41"
"7e21332e-9b65-4275-9963-c7e4f830b359","","folder-normal","pass","","step","TRUE","FALSE","Building A","Level 2"
"87bd6bde-ab4d-4f45-a5c6-bf310869e7ee","","checklist-sectioned","pass","aacc925896771ac5a6e2f3f55a55a8f3831ae6808181e6198db184fe62fecb3c","checklist","FALSE","FALSE","Building A","Level 2","L2-P40"
"72190ca5-889b-4b30-ab8d-dd0d5cd5cafe","","folder-normal","pass","","step","TRUE","FALSE","Building A","Roof"
"0fb195fd-c805-406a-822d-0f888278fdaf","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Roof","R-LD01"
"f76c7bc7-69ca-454e-9911-f1b0b3cc6f26","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Roof","R-LD02"
