"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"824a7aed-a697-42dc-8405-b35316d96706","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"a019e3fd-8447-431b-9e6f-480908512cf5","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-07(2)"
"40ed42d2-88a6-435d-9aa7-7161b2e066f4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-10"
"88239b79-f339-4bbb-b485-7fbf026469de","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-10(2)"
"10c0a9f9-bdf4-4c6c-a717-751963dcab78","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-14"
"1caf2449-b305-4645-82c1-5d10c0deb826","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-14(2)"
"cbac2aa5-9d93-4fee-a7e4-a271e696dec7","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-17"
"a7257835-a6e4-4a9f-b914-aa6c7e0c54de","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-17(2)"
"f9647a2b-8160-43c8-bfe6-2c7e65359702","","folder-normal","fail","","step","TRUE","FALSE","Level 4"
"9711abc0-c4fa-4419-a764-c3bd103d1570","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-01"
"07495332-cd0b-49af-a2ac-f6fd36f64934","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","L4-02"
"63f7d915-5926-4e39-ba9b-c63940d8a267","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-03"
"70554940-498f-4465-85e9-ab209ae2b4f2","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-03(2)"
"849f4e3e-ecd1-4edb-808f-d84e19379d3b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-04"
"47fe3fb9-b819-4b6a-8804-2375f8b78999","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-04(2)"
"1a72b4da-f67d-48de-8a94-1b021ea835a9","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-06"
"149a0804-eeb7-4cea-a5ee-aa0c5b050a2c","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-07"
"2625382a-b1ab-49b9-94ce-f14392361b5c","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-09"
"411769e0-8740-419c-9b65-27f9a094b3df","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-10"
"5abdf604-fc55-4710-919b-f374b8fde3ea","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-12"
"f6f40461-8a1d-4901-9349-9a4b38029eb2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-13"
"be8b878e-d544-47c2-82bf-67f4346b75c3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-14"
"44ad846b-5951-4c4f-908c-2f6c18968398","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-16"
"a7896c7e-e552-4546-8787-e19a8423c60e","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-17"
"906465ca-0f89-452f-b212-f0fe3512d041","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-17(2)"
