"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2f5e913e-53cb-4c61-9318-5fa90635567c","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-237"
"9a5da689-e18b-4866-b804-42d871f383ce","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-238"
"96f0feb2-75b0-4997-bb34-8c1e811dac93","","checklist-sectioned","work-in-progress","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-239"
"5fd8144e-1bd1-4ac5-b734-22e747becf7d","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-240"
"3cb657a5-1f23-44f1-8d04-7f1389beeacd","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-241"
"4da4ed04-adf4-4f76-8d9d-c076b5678b11","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-241A"
"7eb57c91-ed15-481f-ab76-86ce465de421","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-242"
"1cc2e89e-4f9a-465a-885a-0edfbe39cc13","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-243"
"4e96210b-542e-4613-af1d-ea1ba23d7a17","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-244"
"a9d05e39-d9f5-46ac-82a7-3db47a2fd3db","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","P-245"
