"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bb41b56c-9820-4f90-ac0c-54d62065cd3c","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Security/Comms RM","Fire Rated Timber Bulkhead lining"
"1128bc19-129a-416b-8e53-29dd61e78748","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Main Switch Board"
"525d8923-5fed-4df2-9d3d-edf1987a9d68","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Main Switch Board","Fire Rated Timber Bulkhead Framing"
"2e393819-bdd8-4fab-8420-afba3d90f60e","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Main Switch Board","Fire Rated Timber Bulkhead lining"
"429e58c3-ed21-43b9-9fef-257d91948e02","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Rubbish Room"
"6990f2db-3de9-4d4a-b0de-9626b8403a38","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Rubbish Room","Fire Rated Timber Bulkhead Framing"
"29cbc312-33cf-4f57-9964-e65381b3da35","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Rubbish Room","Fire Rated Timber Bulkhead lining"
"851a8ad1-6d04-4203-b422-edfb68548de9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor"
"83fc5b99-8371-43ff-8252-5eb4c3f84905","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Floor Based Work"
"c564bc61-4b11-4092-9dd3-16b98bbdc240","","checklist-sectioned","not-started","QA-Fire Rated Bulkhead for Steel penetration to Korok Wall/Promatect","checklist","FALSE","FALSE","Site QA","Basebuild","Ground Floor","Floor Based Work","Fire Rated Bulkhead for Steel penetration to Korok Wall/Promatect"
"a2da96b1-4811-4d6a-beda-e05e1c065083","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Floor Based Work","Fibrecement Board Wall Lining"
"9cb30722-8383-4943-bb76-4a6cd0833fab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Floor Based Work","Promatect Framing and lining"
"11e809f0-d6a0-4c50-8fc3-7bd8c19a5825","","checklist-sectioned","not-started","QA-Fire Sealant Infill to Comflor Groove","checklist","FALSE","FALSE","Site QA","Basebuild","Ground Floor","Floor Based Work","Fire Sealant Infill to Comflor Groove"
"db136f30-aff7-47e6-9547-10220ff340de","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Floor Based Work","Door Installation"
"df3b5764-b2d4-4b16-91c5-c0eae6d5a3b6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Grand Lobby"
"126269f6-4998-4652-92a6-79a1ae781183","","checklist-sectioned","not-started","QA-Steel Stud Internal Wall framing and insulation","checklist","FALSE","FALSE","Site QA","Basebuild","Ground Floor","Grand Lobby","Steel Stud Internal Wall framing and insulation"
"03bc8593-1dbf-4fdf-90f9-e88a0a9f0481","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Grand Lobby","GIB Plasterboard Wall Lining"
"c4367acb-249a-40cb-bdc0-2b48e66d5f80","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Grand Lobby","Fibrecement Board Wall Lining"
"f8df93ea-4e77-4d81-bb30-f1ae0725bc97","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Ground Floor","Grand Lobby","Ceiling Grid and insulation"
