"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9f762dc4-322d-485b-a999-4f35f2b0a019","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 1","Framed Baluster"
"6d456076-7637-481a-9ad0-1b5c41d8ce82","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 1","Stairs"
"16b6cf43-0ee4-452b-917a-dc5329992dbe","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 2"
"ecc40213-b340-4554-9739-be6ffb1bf06b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 2","Framed Baluster"
"f404d4e0-a08a-4cad-8ff5-1492586dca88","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 2","Stairs"
"f598af2d-533b-4f9e-a2b2-bf6027bc8522","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 3"
"03ab14df-1c4c-45d0-b095-2400c7fa1351","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 3","Framed Baluster"
"fb49910d-2e66-49cf-8278-fa086bda3f8e","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 3","Stairs"
"f0fcdc7a-0032-4cc9-9ef4-3acf932544b5","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 4"
"6b6191c1-dc71-43aa-9f26-78c7c40bb08b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 4","Framed Baluster"
"a4b4c3e5-7178-4dab-bba3-6d79eaed4afb","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 4","Stairs"
"c938d86b-6cc0-46f4-a3d5-4b6208546e18","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 5"
"a8e0c72b-6e5a-4abb-8571-c4943bfd3363","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 5","Framed Baluster"
"9ffd7c04-3b5d-4eb7-a4a4-258c4b5d5de3","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 5","Stairs"
"d05789b9-cffb-4489-9b4e-33339b702d47","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 6"
"6fceb52e-f6eb-4414-b277-d45b94501a70","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 6","Framed Baluster"
"444e7614-76f6-4591-b369-f66489324315","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 6","Stairs"
"001a3ef0-d4c0-4a7e-9b7b-d504e3e20989","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 7"
"974f5d9f-31fa-44f9-87e5-7c51e66d3192","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 7","Framed Baluster"
"1db00d9c-c016-45e3-ab62-efefd643c29d","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 7","Stairs"
"fa33cd1d-851a-47ce-8347-bb52e1656146","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 8"
"19ad2278-90dc-4e2e-818c-1971dc647a71","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 8","Framed Baluster"
"25b5de66-3ec8-463f-8b75-7622791aa50f","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 8","Stairs"
"56b6baca-8c03-4a0a-8ef0-fcb558c28d81","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 9"
"fa7f75a5-e96c-4408-9dc7-e08f7f912fce","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 9","Framed Baluster"
"152acb44-eb0d-4841-a78b-420221fa2609","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 9","Stairs"
"e7b433d8-1266-4f23-9f0a-281ac3d60834","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 10"
"32e15c8c-4185-4645-b791-d9c2f52b85d5","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 10","Framed Baluster"
"8ef64d74-94bc-41dc-b86a-95fe19cca59d","","checklist-flat","","Stairs (add to previous if required)","checklist-flat","FALSE","FALSE","Internal","Stairs","Flight 10","Stairs"
"3ba5c4bd-b3c2-443c-bd30-2737f4af1114","","folder-normal","","","step","TRUE","FALSE","Internal","Basement"
"73520af0-ea8e-4e2a-be32-7110b36d69ac","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Basement","Ramp 1"
"91b86ecb-eb95-467c-9bc0-3a7e98602104","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Internal","Basement","Ramp 2"
