"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"External Progress"
,"Scope",,
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"Slab edge installation Completed",,"slab edge installation completed","westside"
,,"Vertical Full height sunshades installed",,"westside","vertical full height sunshades installed"
,,"BMU Brackets installed",,"bmu brackets installed","westside"
,,"All end caps to feature completed",,"all end caps to feature completed","westside"
,,"All external trimming completed",,"all external trimming completed","westside"
,,"All external sealing completed",,"all external sealing completed","westside"
,,"Horizontal sunshade installed",,"eastside","horizontal sunshade installed"
,,"Vertical fins detail installed",,"eastside","vertical fins detail installed"
,,"All end caps to feature completed",,"eastside","all end caps to feature completed"
,,"All external trimming completed",,"all external trimming completed","eastside"
,,"All external sealing completed",,"all external sealing completed","eastside"

"Windows/Doors Installation Progress (Levels 1-20)"
,"Scope",,
,"Rows"
,,"Level 33 - 3302","dynamic","3302","level 33","site qa"
,,"Level 33 - 3303","dynamic","3303","level 33","site qa"
,,"Level 33 - 3304","dynamic","3304","level 33","site qa"
,,"Level 33 - 3305","dynamic","3305","level 33","site qa"
,,"Level 33 - 3306","dynamic","3306","level 33","site qa"
,,"Level 33 - 3307","dynamic","3307","level 33","site qa"
,,"Level 33 - 3308","dynamic","3308","level 33","site qa"
,,"Level 33 - 3309","dynamic","3309","level 33","site qa"
,,"Level 34 - Lobby","dynamic","level 34","site qa","lobby"
,,"Level 34 - 3401","dynamic","3401","level 34","site qa"
,,"Level 34 - 3402","dynamic","3402","level 34","site qa"
,,"Level 34 - 3403","dynamic","3403","level 34","site qa"
,,"Level 34 - 3404","dynamic","3404","level 34","site qa"
,,"Level 34 - 3405","dynamic","3405","level 34","site qa"
,,"Level 34 - 3406","dynamic","3406","level 34","site qa"
,,"Level 34 - 3407","dynamic","3407","level 34","site qa"
,,"Level 34 - 3408","dynamic","3408","level 34","site qa"
,,"Level 34 - 3409","dynamic","3409","level 34","site qa"
,,"Level 35 - Lobby","dynamic","site qa","level 35","lobby"
,,"Level 35 - 3501","dynamic","3501","site qa","level 35"
,,"Level 35 - 3502","dynamic","3502","site qa","level 35"
,,"Level 35 - 3503","dynamic","3503","site qa","level 35"
,,"Level 35 - 3504","dynamic","3504","site qa","level 35"
,,"Level 35 - 3505","dynamic","3505","site qa","level 35"
,,"Level 35 - 3506","dynamic","3506","site qa","level 35"
,,"Level 35 - 3507","dynamic","3507","site qa","level 35"
,,"Level 35 - 3508","dynamic","3508","site qa","level 35"
,,"Level 35 - 3509","dynamic","3509","site qa","level 35"
,,"Level 36 - Lobby","dynamic","level 36","site qa","lobby"
,,"Level 36 - 3601","dynamic","3601","level 36","site qa"
,,"Level 36 - 3602","dynamic","3602","level 36","site qa"
,,"Level 36 - 3603","dynamic","3603","level 36","site qa"
,,"Level 36 - 3604","dynamic","3604","level 36","site qa"
,,"Level 36 - 3605","dynamic","3605","level 36","site qa"
,,"Level 36 - 3606","dynamic","3606","level 36","site qa"
,,"Level 36 - 3607","dynamic","3607","level 36","site qa"
,,"Level 36 - 3608","dynamic","3608","level 36","site qa"
,,"Level 36 - 3609","dynamic","3609","level 36","site qa"
,,"Level 37 - Lobby","dynamic","level 37","site qa","lobby"
,,"Level 37 - 3701","dynamic","3701","level 37","site qa"
,,"Level 37 - 3702","dynamic","3702","level 37","site qa"
,,"Level 37 - 3703","dynamic","3703","level 37","site qa"
,,"Level 37 - 3704","dynamic","3704","level 37","site qa"
,,"Level 37 - 3705","dynamic","3705","level 37","site qa"
,,"Level 37 - 3706","dynamic","3706","level 37","site qa"
,,"Level 37 - 3707","dynamic","3707","level 37","site qa"
,,"Level 37 - 3708","dynamic","3708","level 37","site qa"
,,"Level 37 - 3709","dynamic","3709","level 37","site qa"
,,"Level 38 - Lobby","dynamic","level 38","site qa","lobby"
,,"Level 38 - 3801","dynamic","3801","level 38","site qa"
,,"Level 38 - 3802","dynamic","3802","level 38","site qa"
,,"Level 38 - 3803","dynamic","3803","level 38","site qa"
,,"Level 38 - 3804","dynamic","3804","level 38","site qa"
,,"Level 38 - 3805","dynamic","3805","level 38","site qa"
,,"Level 38 - 3806","dynamic","3806","level 38","site qa"
,,"Level 38 - 3807","dynamic","3807","level 38","site qa"
,,"Level 38 - 3808","dynamic","3808","level 38","site qa"
,,"Level 38 - 3809","dynamic","3809","level 38","site qa"
,"Columns"
,,"Waterproofing angle completed",,"waterproofing angle completed"
,,"(Attach photo)",,"(attach photo)"
,,"Installation of sub-sill and caulked",,"installation of sub-sill and caulked"
,,"(Attach photo)",,"(attach photo)"
,,"Water test sub-sill",,"water test sub-sill"
,,"(Attach photo)",,"(attach photo)"
,,"Installation of sub-head and caulked",,"installation of sub-head and caulked"
,,"Install frames including trims to doors",,"install frames including trims to doors"
,,"Install windows and trimming",,"install windows and trimming"
,,"Install door panels",,"install door panels"
,,"Installation of all hardware",,"installation of all hardware"
,,"Ensure all external and internal angles are sealed",,"ensure all external and internal angles are sealed"
,,"Handover",,"handover"

