"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"13158cc6-3550-4ac7-babb-9b779c99c9ad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Utilities"
"251698f5-c417-498d-aab5-5b36799384fc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Stormwater"
"9fb15b3c-dd4c-435a-b76a-0ed3c2ce5ce8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Water"
"99e7c149-0475-4653-a000-ddce5517cbba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Footpaths, Crossings & Islands"
"9c9e5629-43e1-4bed-a52b-f86fed3a3583","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Landscaping"
"4ece3207-95dd-4113-9984-286b977d4e38","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Pavement"
"8737805a-04cd-47f9-a291-36cb3f6a2b76","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Surfacing"
"4d3c763a-75e5-4417-bdbf-712bdf7268a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Streetlighting"
"175476cf-cbfe-4700-af5f-86ed017900bc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Line Marking & Signs"
"dec7e8cf-a96e-4107-b694-dd6d562f19cf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Owhata","Structures"
"856b5631-3c48-420e-b601-485f2c1b207d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Test Folder"
