"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2831339e-a077-456e-8e06-9aade0000fa4","","not-started","","folder","TRUE","FALSE","Site QA"
"e4547e0c-d201-4bfb-a4c9-0d9654746240","","not-started","","folder","TRUE","FALSE","Site QA","GF"
"b6a31522-0124-452c-af16-b2935350e77d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 136"
"879c3ef7-5ade-40cd-94a8-95230c2dd54b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 137"
"8a1c0edd-acde-4805-9301-444fe467d310","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 138"
"036179a3-1e48-46ec-a3b5-902694297798","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 139"
"ea5bf883-0f9c-4108-99db-4a8a63a05cd1","","not-started","","folder","TRUE","FALSE","Site QA","L2"
"3e0e57e8-78ff-4665-984a-29c6e900d54c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 1"
"878be3c3-661d-4f35-aafb-5eaff6df3a48","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 2"
"923fc21a-4ff4-4163-978c-cf3aa3f4baef","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 3"
"55f2a760-bd46-42e6-84e8-aad27cd7161c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 4"
"7fb9a9b8-65cf-4d33-a960-bfeeba6cdffd","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 5"
"bfdbb69f-751a-40a5-8bb0-7898952fd2be","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 6"
"889ac2ba-94ac-4411-9a4b-7592d64e6f3d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 7"
"2b3e2a4a-5f05-4543-8143-6ae301033d4b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 8"
"d8712d9e-b8b1-4812-b8c7-e7c1eeee3c6f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 9"
"462e5edc-3dfe-4c23-8e9e-bce760602e5b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 10"
"ffe3eb4d-03bf-4e72-b781-9291259a8845","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 11"
"14eb1f1f-140b-41fb-921a-af3a1f8aaa85","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 12"
"8c6d9f8d-97fa-4d29-90bf-7207a00508f7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 13"
"794d8ae5-6383-4681-8d7e-9e9ad3bd80e0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 14"
"2530d2d4-9a31-4593-a3b9-66466a917405","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 15"
"988ebdbc-566c-4c69-88fa-60c88da6da5a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 16"
"bcfd7930-960b-4a8d-b5a9-f33ef7405f66","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 17"
"b49a17ce-702c-4823-9a57-bf5125a10024","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 18"
"7f335510-2cf3-46c9-b479-b19fbc4281f1","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 19"
"57de704d-4eeb-4def-bf9b-6e43547748c7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 20"
"54e029fa-86ed-4702-bde5-01d66a20bc48","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 21"
"3e6b6170-e09e-41f6-a0e3-bcf198bda8ff","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 22"
"961992e1-c7ef-4a3c-a7db-e38f3e2d531d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 23"
"e249daa8-47d8-4ce3-8ec3-9eb8b49ba621","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 24"
"f6d1a267-ec15-4a04-ae1e-a1b605cb4fca","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 25"
"a13b434a-9c4c-4f25-bcd4-e905b82d0f7e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 26"
"20aad272-949c-47a3-9591-ab6f50ba38ed","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 27"
"da9a2ee3-c5a2-4e33-a379-2bdcf66e6627","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 28"
"db33c0cb-b267-4640-af96-561631cf2c6e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 29"
"c8b698d0-c9f0-4d48-81d5-cbe560704f2a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 30"
"9646c4b1-6c35-40bf-a6a8-c59e02b6e860","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 31"
"05a3855c-1aa2-481c-b3c4-4e5cad15acec","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 32"
"b14b8ec5-7426-485e-8bb1-a0683cf4247f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 33"
"74c7a63c-383a-4e5e-94d3-e6a9503d140a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 34"
"8751c15e-4659-4dfe-804c-3b5372f15f65","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 35"
"392f8c20-d24d-4827-abb9-107695ae460d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 36"
"2cf00985-70ba-4dce-8b56-c8c03372e59e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 37"
"868310c5-9568-4523-bbc8-4079d091da14","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 38"
"33b26574-d49a-4c31-b721-0a47982f1aae","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 39"
"f10c97b8-e4f9-4924-9233-063269fbc7d6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 40"
"e47944fa-bc75-4f16-b09c-98d2c7cba899","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 41"
"7ada24e9-8ea7-49d0-8b0e-2580dc746dfb","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 42"
"e25f24f8-5f5a-4738-b201-a89d4f5a902f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 43"
"af7ffdf5-9d6d-4ea6-bbb4-e976d4d4ff21","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 44"
"5775310e-4f9d-45ef-bdf2-319cdb0a0687","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 45"
"724b948e-28ad-486d-882c-4c0c891d49f0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 46"
"5f693b4a-f5e4-43d1-beea-73032eeef30a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 47"
"e975be99-5d00-475f-888d-35a1b86792f7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 48"
"972462a1-113d-4d21-aa0d-aacc3ce78a0e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 49"
"7b053e1a-7aca-4c2c-b958-fb04f59916f5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 50"
"7c03eddf-1e6b-4e71-8167-6ee0fe7b82cb","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 51"
"030cef9b-d9eb-4857-aa19-3c4056d4978e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 52"
"5083d5da-6917-4a28-926a-1066584db8bb","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 53"
"d6cae989-e88e-4c63-9274-07a57e8bd9ca","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 54"
"4775e204-8b2a-44a3-8bdc-364165e64fec","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 55"
"1b1a2a75-3722-46ee-99c4-880e1cdbdbc4","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 56"
"4cfa23ac-ef14-42bc-b15c-40568d2ce73c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 57"
"f79ee48b-f86e-4a5f-bcff-818dce3d6ed9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 58"
"2517fb77-4b5e-498d-944d-2d968394daae","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 59"
"a0334026-2d80-4f3e-a211-3172868d1ce1","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 60"
"5471362a-d040-4892-be22-a4c2fd1a2cc8","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 61"
"7bd29806-3399-4311-8515-f88aff9adf56","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 62"
"8c01b569-c454-4aa0-820a-94c794231fff","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 63"
"d321701f-9658-4481-ac30-22e95db79050","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 64"
"d96d8c02-bc23-4868-8964-5120e717a255","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 65"
"8c259e17-9982-4dc3-988a-d3722bab9d15","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 66"
"856ebe50-e949-40cb-9408-6aa649ba5d13","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 67"
"3da6b253-5471-4c5f-b5cc-b30b585c1bbc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 68"
"13c12bf0-6152-4fda-b31b-43ac70b93299","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 69"
"4b284c37-1c1b-4ece-84d0-e0439fa31ed0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 70"
"524350e5-9c70-4e09-a93b-eeeec95fd497","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 71"
"b9939fcc-0856-456a-97d4-1ed013408d08","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 72"
"54ec629f-065c-4a87-8c99-546470222ff3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 73"
"160de639-33e8-46b6-a33e-d986712076a4","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 74"
"126d1479-2dfb-4ed9-b771-eeed7b8b996a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 75"
"c3da6cce-4e3e-430f-b1d8-2fc84a42c995","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 76"
"2d028a17-3e31-4ef8-95df-5a58975f3c15","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 77"
"1a8c15cb-5d00-4387-bc37-76ab9059a916","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 78"
"92022082-f23c-42e7-9c6d-1a65308fee28","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 79"
"b5dde863-e28a-4011-90b4-9edf514ae28e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 80"
"6c123513-697a-485f-82b2-18ec62ce0b0f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 81"
"66e61f1b-7f84-48d9-94af-b785d9db70d6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 82"
"d4ac72dc-98ab-4f32-a31a-38a990f2820c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 83"
"fe234a43-2247-4d27-8eed-6d3cebc23ab5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 84"
"d2984401-0215-4002-950a-931ec3d55405","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 85"
"b906d3fd-5168-438d-b906-33243aa7f5e5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 86"
"8c2cca63-0f80-4439-b294-8d7daa76b227","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 87"
"db9bae64-ea6f-4d69-943f-3f407f8768ee","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 88"
"1d9b4491-1d86-463c-b6d8-9cac7e27800a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 89"
"499f9208-d54d-4fdc-ada1-e8c01f3e8f06","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 90"
"1ee8704c-b974-4631-86b4-fa025e0d45fc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 91"
"71b78053-c597-4d26-b988-439e5e1bd651","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 92"
"6f3204ad-4d8c-4979-ac5b-3e4d5d1d6dec","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 93"
"99d85d0a-1d58-40a2-905a-0cf5a91f3ab3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 94"
"cb4caa44-6297-45ef-a153-a0e19fce19c9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 95"
"0b96823a-01a1-491a-9355-ed7ef47c61dc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 96"
"59f98659-00ac-4cc6-8e6e-95b8c6b03d33","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 97"
"eb1b586a-7a9e-4a70-87a9-f8f6a9695ae3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 98"
"1a2d686d-c6c3-4ea9-9448-a9f9ed08e20e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 99"
"437b52e7-67f2-491e-b6b3-a43db0952f75","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 100"
"ccf6036c-6ab0-4ab5-be33-8f78f0685746","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 101"
"dac59e32-d1b1-4417-9ae9-d0a12cbc470c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 102"
"f4816644-aa45-4d65-b796-eb1d2c928550","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 103"
"4e0cb4a1-d8aa-4690-a2b0-4001612804c2","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 104"
"a112b17b-3661-4aa1-9ed6-b34702163604","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 105"
"94e406f8-e6cb-4308-86a0-c70988ea60af","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 106"
"ddfa88a1-bfe1-48e7-bea5-d24f76c8608a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 107"
"3cf1c5e6-66ae-46ab-8da0-d8d1f1f83b30","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 108"
"a7b319ef-ef8e-40a5-bead-d485020c5d36","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 109"
"186fb863-a667-4628-bcea-034deff6621b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 110"
"976d4121-e237-408b-9f40-f1be58509a16","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 111"
"4cc8de07-6c21-4eae-b22f-8d474f313205","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 112"
"081eaa73-d65f-473c-a47c-843fc921e975","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 113"
"3c999533-dc2c-49fe-a1a8-aef2f8c0fc06","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 114"
"062a6815-6f56-4027-a6d0-9aa874276126","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 115"
"c9a14cd1-7270-4908-967c-3c30e6d340d4","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 116"
"349915a4-03eb-4ec0-924b-67f3fe14849b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 117"
"45f04aeb-8bd2-40e1-ac5d-9b5d4ff4d198","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 118"
"9c6cf438-ef6d-4436-b089-35a1435ff7a7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 119"
"b4513e87-0928-4cd9-8988-0a38af0c8912","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 120"
"66b106ac-8162-4f8a-9566-d78d8aec5088","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 121"
"5e5e3de8-bab1-406e-b9f3-2d340fa4f11a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 122"
"6df89ec4-00d4-45cc-9ab6-6622572b5ae1","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 123"
"d1036174-7aec-4da5-871f-1846e2144302","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L2","Panel 124"
