"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ff640648-cd8b-4083-abea-557b203a0cf0","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 9","Hoist"
"de942ec2-1180-4d02-8cb6-3490e7c6438a","","","","folder","TRUE","FALSE","Site QA","Level 10"
"c1fd620a-cc02-43be-8831-dd3ffe1ed111","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Columns Checklist"
"a4c20e7e-e304-4b13-b141-2b3be8736ce4","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Walls Checklist"
"89232608-43fb-4a09-be81-4b43bcfe01b5","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Jump System / Climb Track Checklist"
"ea2bee4c-dc3c-4d83-ac42-b2f4982b1cda","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Suspended Slab Checklist"
"72626c44-4ff6-4f9b-9009-e9b846fa4786","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Stairs Checklist"
"d90b11e1-002e-470e-9aa5-3a7c8bc08235","","","Screens","checklist","FALSE","FALSE","Site QA","Level 10","Screens"
"5264c962-df7e-4b02-96c4-e96180adaa68","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 10","Hoist"
"f0abe9cb-4c1b-4982-af43-a2afc23f9fdb","","","","folder","TRUE","FALSE","Site QA","Level 11"
"7c3c732c-42c6-4aab-875a-4b714ac4835c","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Columns Checklist"
"2f1ab2c5-a395-4cbd-bc1e-8f816acfad14","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Walls Checklist"
"62ecfa85-8b3a-4e31-af5a-6494edaf435c","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Jump System / Climb Track Checklist"
"2e7705bc-2724-4b6b-b29d-4f4c14158702","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Suspended Slab Checklist"
"b35b5122-2b3f-4284-90f0-0e0a4a660d64","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Stairs Checklist"
"694b6d64-4c85-4f14-afa6-759f1177fec7","","","Screens","checklist","FALSE","FALSE","Site QA","Level 11","Screens"
"101f3b09-8be1-45f1-8899-f04a522851ca","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 11","Hoist"
"2f05f59b-5887-41fe-a15e-dd5673002a54","","","","folder","TRUE","FALSE","Site QA","Level 12"
"2cbbc4dd-6386-43e7-aec9-b8ee236b6204","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Columns Checklist"
"1bd46e0d-19ba-4550-8691-34a1efd47a1e","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Walls Checklist"
"fa537278-a684-49ee-a4a0-54cc269436d2","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Jump System / Climb Track Checklist"
"8c87e557-51bd-4239-b5b6-f70be300a2b5","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Suspended Slab Checklist"
"7f125c82-f61f-4415-80ce-b2f88179ebec","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Stairs Checklist"
"f9e82a43-4335-40e9-a208-07b809bbd921","","","Screens","checklist","FALSE","FALSE","Site QA","Level 12","Screens"
"045892b9-c30b-4ca2-ae35-822d27072a78","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 12","Hoist"
"d9f536bb-1ba4-4a4f-9cc0-dd91fbcd04b2","","","","folder","TRUE","FALSE","Site QA","Level 13"
"051aa31b-ddb1-4394-b38d-b68955d5cf38","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Columns Checklist"
"dcb6c6c7-3ef8-4e26-ad3c-c324b91ae006","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Walls Checklist"
"69c043b4-cc7f-4909-bd04-b7fe8e74a602","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Jump System / Climb Track Checklist"
"6f8496ef-f94f-4230-8e39-bfbc60e23515","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Suspended Slab Checklist"
"aca5f185-4429-4bed-97c5-a8180605583c","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Stairs Checklist"
"adfb7d65-56d3-4e62-a2ef-56ddc707592c","","","Screens","checklist","FALSE","FALSE","Site QA","Level 13","Screens"
"178da8cd-5182-45a1-997e-116126d5891e","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 13","Hoist"
"ff8353c3-f082-402c-9ec0-12283d8cda84","","","","folder","TRUE","FALSE","Site QA","Level 14"
"9f40f336-e6b4-46b7-b327-c5e9a4ff5304","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Columns Checklist"
"15220979-2c02-4182-82ef-b0ab5a78ff73","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Walls Checklist"
"cb2b91ef-68f7-4fe3-8fda-b9d70ee52b35","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Jump System / Climb Track Checklist"
"afec29c1-2d76-407c-942b-8e917189c087","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Suspended Slab Checklist"
"945602ff-e2d4-43b9-9f96-16fcca14b6a5","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Stairs Checklist"
"0279c3ae-9b85-4ae7-bfca-03c355fff0ee","","","Screens","checklist","FALSE","FALSE","Site QA","Level 14","Screens"
"186a6c7c-ff4f-4d8b-bc72-7c0144e85af8","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 14","Hoist"
"b399b243-f229-4916-a7ef-d7c1e87eabc0","","","","folder","TRUE","FALSE","Site QA","Level 15"
"b21ef7c5-ee5c-4108-986c-a7b4fa42ea31","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Columns Checklist"
"dc5282e3-dfcc-4475-824e-c3e7d3f53134","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Walls Checklist"
"455cbb1a-0b75-4833-8749-e4e037d53a85","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Jump System / Climb Track Checklist"
"b3447559-1c05-405c-8cd7-9e06d1d627d5","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Suspended Slab Checklist"
"cc53d333-2afc-4a33-8ef1-985cea6ef02d","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Stairs Checklist"
"52ee57d6-07eb-4e96-a427-84e854203e6f","","","Screens","checklist","FALSE","FALSE","Site QA","Level 15","Screens"
"dc0d4757-9c53-4912-9bb7-57d4abb0ca7c","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 15","Hoist"
"763d3bbf-b2a5-4106-ae81-58481ec0ed1b","","","","folder","TRUE","FALSE","Site QA","Level 16"
"c1a3b073-c056-476e-8088-481e8ef6a576","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Columns Checklist"
"9f397caa-29ab-4b17-9e7f-6650fe1bfd65","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Walls Checklist"
"4095480c-262c-4511-94cb-4de2ca7c8f11","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Jump System / Climb Track Checklist"
"27fef582-a7b9-4472-b3c4-3b666946fd80","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Suspended Slab Checklist"
"e31f55e5-22c5-415d-83dd-f5b19c212f2e","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Stairs Checklist"
"a54fe2e3-7464-43d4-9833-176460027f7b","","","Screens","checklist","FALSE","FALSE","Site QA","Level 16","Screens"
"9b0e8e38-cdee-49eb-b6f1-2b46e37564be","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 16","Hoist"
"b5a5134a-3d69-46d2-9280-8ce3adcb19e8","","","","folder","TRUE","FALSE","Site QA","Level 17"
"f93c6f84-7004-4592-bf36-f1b7af9624fe","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Columns Checklist"
"e391a8fe-2574-4592-bdbd-60389f82cc35","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Walls Checklist"
