Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,,
7c382a8d-3249-49f6-9213-eb9de6d1ce26,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,Pour 1.3a,
838c29d9-b474-4f17-9079-6ad8af7d13ee,,checklist-sectioned,work-in-progress,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,Pour 1.3b,
d9c5c966-8afd-49d8-83e2-5c7cd6eec4cf,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,Pour 1.4,
90397e87-cae9-4929-9b6b-c58f64f0adb6,,checklist-sectioned,work-in-progress,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,C2003,
5c8843a5-05cd-4381-80ec-6f6aa7922d27,,checklist-sectioned,work-in-progress,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,C2044 C2057 C2077,
94b20283-7ba1-4071-a73a-35b422a4d390,,checklist-sectioned,work-in-progress,Structure - Concrete Pour ITP,checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,Building B Ramp B1 Wall,
5f9e1a1c-09f7-4181-855e-f7715132cc43,,checklist-sectioned,work-in-progress,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,C0153 & C2094,
231cf21d-71ac-4410-9c38-64f914ae70eb,,checklist-sectioned,work-in-progress,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,C2086 & C2047,
7cd18a6a-5371-48d1-8dbf-2e0c56601dbe,,checklist-sectioned,work-in-progress,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,"C2064, C2083, C2119, C2085, C2066 & C2105",
6999a82d-0836-4c99-b5eb-84e341ff4c0f,,folder-normal,not-started,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,,
f641a16e-ae4a-47a4-9d69-119f7102a0bc,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 1,
586a25f1-8426-4ba5-b79e-b9eb3067420c,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,LG,Pour 2,
