"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"669b0523-a800-4fee-90e6-4276ef77b586","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.2-W1"
"a6d38ba7-62a0-4bfe-9e01-1e2c42969f7f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.2-W2"
"b4eb5611-f159-4ea0-ac40-cd16b040efbf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.2-W3"
"17324d32-2c9d-48d3-a6d4-72eda0d876a1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.3-W1"
"a1c290fe-7545-4f0b-9013-c4c13e929485","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.3-W2"
"ef64f758-61c9-4bb1-aca8-c919264be1c5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.3-W3"
"c6f289db-33e9-4f60-bc17-39b9748edf92","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.4-W1"
"7c8f74c7-7ea9-447e-8135-5c2da69c0712","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.4-W2"
"a8a83550-8b64-44f5-aa2c-ee253864cf67","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.4-W3"
"c1447e8e-5645-4378-b90a-0d8ac65afc02","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.4-W4"
"8434cf85-c0a9-4584-aced-b67245e26f48","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.5-W1"
"ce3da59a-a975-436c-b123-169d7227d050","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.5-W2"
"7bdfde59-1997-440b-b43d-acc7dc7f7655","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.5-W3"
"26780ed2-19e6-430a-a235-9cba7a291d4c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.5-W4"
"52305fa7-4d1d-44ed-a2d4-a78d752f8362","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.6-W1"
"bd71b543-bd88-4bab-b503-9f326903eb42","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.6-W2"
"ac0d615c-f0d4-4e76-a144-9ff284c8ee54","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.6-W3"
"df5f9deb-02bb-4cc5-8ac2-9b15d385a38d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.6-W4"
"c81daec5-f4dd-433f-831e-fcfbb9402917","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.7-W1"
"07b7cab2-c0c7-47fd-8dcb-ab123aa74d27","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.7-W2"
"7fdb0e0b-d473-46d2-97ed-8aa40eee5de9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.7-W3"
"41fdf532-7b79-47ee-a08a-da825f2145d1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.8-W1"
"a1dc28eb-52ab-408b-b193-b9109b2aa7fb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.8-W2"
"5c791b3e-794a-4953-8138-76e03b6b2b74","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.8-W3"
"73b4b115-6da4-4bbb-aae5-d902b9cb4d34","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.9-W1"
"e2104207-560d-4907-b9cd-a226edb34b93","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.9-W2"
"b2ad90a6-e18d-49b9-b53f-3924fb0af99c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.9-W3"
"50128af5-8e7a-4dc8-abed-a50495304d7a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.9-W4"
"005e2174-e1c0-4ede-837f-2887c0a74ba1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.10-W1"
"ad58d4f2-8ea6-42a2-b364-645ac91528cb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.10-W2"
"a17cea5d-360c-4427-92c3-467c8ff963fb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.10-W3"
"59ef1138-c80e-421c-8ca6-b1d4e3890929","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.11-W1"
"2aa71790-27b1-4a4a-a89c-136f56659042","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.11-W2"
"af7568ee-164f-4081-8505-8a10ad4c6fb7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.11-W3"
"bf3facea-2eb3-4477-900a-ae1a1417eee0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.12-W1"
"0fc81552-2b27-46a4-ac3a-3a2bc61a933a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.12-W2"
"700fa5e7-c17a-471b-99bb-491f20d5e6a8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.12-W3"
"5704a2ea-c9a0-4f9c-9f62-4ed6f23b4869","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.12-W4"
"2b96f0d5-e25a-4a45-aec0-8f64e738047a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.13-W1"
"3019cc1c-ce85-45d4-aa03-10986ff7c128","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.13-W2"
