"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f58e6054-ff70-41af-a35f-1aebcafafdd3","","pass","","folder","TRUE","FALSE","Level 2"
"048380aa-427c-416a-8511-0548e6c04280","","pass","","folder","TRUE","FALSE","Level 2","T01"
"ae6ebc90-8707-4645-a0e0-469eb76c80a6","","pass","","folder","TRUE","FALSE","Level 8","807"
"d1e8cae4-46a0-483a-bf27-f97e5a7ce9be","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 8","807","Balustrade"
"9d327fa4-5888-49e9-902b-a45b079b14f8","","pass","QA - Showers","checklist","FALSE","FALSE","Level 8","807","Shower Main"
"fbbe79be-7d3d-4b28-ac62-357668fd2a77","","pass","","folder","TRUE","FALSE","Level 8","808"
"fc3969ec-b887-49a7-aeaf-e6f4af42a7e0","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 8","808","Balustrade"
"a6a0243d-5de0-4d4f-9099-94f80a73a646","","pass","QA - Showers","checklist","FALSE","FALSE","Level 8","808","Shower Main"
"691c9109-9601-4c17-aab5-cbd9f20458ad","","pass","","folder","TRUE","FALSE","Level 8","809"
"37c4f551-0367-4a1e-9a15-8409f514a237","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 8","809","Balustrade"
"fe3a97a1-ac3c-40d4-b49d-fea4ef34149b","","pass","QA - Showers","checklist","FALSE","FALSE","Level 8","809","Shower Main"
"681d9f38-fe79-4eba-a67b-aa4a90f945dc","","pass","","folder","TRUE","FALSE","Level 9"
"5317a6c0-4e62-4ec7-96c8-c84b49795a3e","","pass","","folder","TRUE","FALSE","Level 9","901"
"a4a41dbf-7ce2-4b9f-b841-cb4182fab874","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 9","901","Balustrade"
"b6773bb0-61c2-4f05-9f0b-7f257fbb9920","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","901","Shower Main"
"04e4a64f-1584-44c0-ad16-cb0114962974","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","901","Shower Ensuite"
"d27c7dc4-6f70-4a3e-893e-f102b061e2d1","","pass","","folder","TRUE","FALSE","Level 9","902"
"2b6b1367-2dca-44bb-a04c-4a6341d44998","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 9","902","Balustrade"
"3324e5ee-17d6-4f17-b180-f41bf05cd7bb","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","902","Shower Main"
"79defd97-e6d9-48e2-8fbc-786df0bea541","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","902","Shower Ensuite"
"1ae8d1a4-8189-4ad1-8220-f4ef70580613","","pass","","folder","TRUE","FALSE","Level 9","903"
"b7c47d9f-63b9-4349-95d7-ba8c1607eb1c","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 9","903","Balustrade"
"1d090925-b236-4c7e-878d-36241d010f1c","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","903","Shower Main"
"04ce503d-1ed7-4dd0-8a87-2f39bfb97ffc","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","903","Shower Ensuite"
"404a1264-c5a2-4148-a7a4-81a65a495cd3","","pass","","folder","TRUE","FALSE","Level 9","904"
"36923c9c-44b1-4c0e-b669-85d6a0effda1","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 9","904","Balustrade"
"0e574352-9d09-49d5-8bd7-fdc3908a6283","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","904","Shower Main"
"bfbd7d94-9ae5-4478-8d89-77b0fbbbc2fa","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","904","Shower Ensuite"
"06ac206d-e41d-483d-8f8a-0d6ff03b3b36","","pass","","folder","TRUE","FALSE","Level 9","905"
"a7710f6a-08d4-425c-a4d8-fa5269c1e2f2","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 9","905","Balustrade"
"da44b9ba-7357-4d98-bb6f-e2571e7b2156","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","905","Shower Main"
"ab1ec16f-8124-44c2-bb73-3e82ebb710f2","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","905","Shower Ensuite"
"a515a107-72a2-4777-a83e-05fac637a5d7","","pass","","folder","TRUE","FALSE","Level 9","906"
"ca81b32b-0aaf-4699-8d8f-0bc418e32d07","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 9","906","Balustrade"
"435162e0-c9a9-4cc8-988d-193c51692b22","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","906","Shower Main"
"79812ae7-1562-435a-828b-d69626b97b59","","pass","","folder","TRUE","FALSE","Level 9","907"
"f774fe86-64dd-428e-b245-a858be761c16","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 9","907","Balustrade"
"1c770d2e-2e5a-4fce-a08a-8d8964fca72c","","pass","QA - Showers","checklist","FALSE","FALSE","Level 9","907","Shower Main"
"4fdc1202-55d7-4421-acf5-18066ad77edf","","pass","","folder","TRUE","FALSE","Level 10"
"428dd7fb-66c5-4048-af05-3e3e3d7fed16","","pass","","folder","TRUE","FALSE","Level 10","1001"
"930ef107-b59c-44f9-b406-d9cdf4e77f68","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 10","1001","Balustrade"
"0eb49c94-118b-423f-be9b-7d58404d0bf4","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1001","Shower Main"
"af31efa0-3067-4f1d-b300-76e229bc2750","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1001","Shower Ensuite"
"fe4cec87-ab89-4ffa-a15f-e254f38c06c4","","pass","","folder","TRUE","FALSE","Level 10","1002"
"27f72b9a-9c4e-4d4d-bf9d-442b03a013e1","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 10","1002","Balustrade"
"d0067fd0-43e4-4f78-b73f-fd6c56239bf2","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1002","Shower Main"
"5f902333-a274-4d77-9df7-f15ead487e2c","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1002","Shower Ensuite"
"d9376e2d-1ca0-4cd5-840a-1f50ad012b23","","pass","","folder","TRUE","FALSE","Level 10","1003"
"d473b7ef-000d-4298-b16a-e36af60afa51","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 10","1003","Balustrade"
"6697ba25-2fdb-44f7-bcca-72831512fd00","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1003","Shower Main"
"fbbcea29-c2aa-40dd-aa24-518ac1170caf","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1003","Shower Ensuite"
"3d75e8f4-19df-4b1f-8f6e-753ee276e995","","pass","","folder","TRUE","FALSE","Level 10","1004"
"6837071d-e901-46f2-880b-59d95575bfdc","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 10","1004","Balustrade"
"4b2f2553-4d96-4939-8e13-2718cbab6a2d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1004","Shower Main"
"7727c05e-0840-4cb4-a477-75c48fe743fd","","pass","","folder","TRUE","FALSE","Level 10","1005"
"f995aa41-cd7f-4f61-a7c2-ebeacbf43c05","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 10","1005","Balustrade"
"2df5e4a6-ca10-461b-ab0e-aef2774609d1","","pass","QA - Showers","checklist","FALSE","FALSE","Level 10","1005","Shower Main"
"b3e7568d-07d2-4658-a4ba-905cef9754cf","","pass","","folder","TRUE","FALSE","Level 11"
"744931e8-faaa-406c-a642-c807b8e440e7","","pass","","folder","TRUE","FALSE","Level 11","1101"
"3b107e6d-c083-4628-9f41-cb4218fa5505","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 11","1101","Balustrade"
"5f44a8ec-e50d-4cd7-9dd4-4aec48f21f39","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1101","Shower Main"
"8621e8df-dc92-4813-8f63-f91a6dac8621","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1101","Shower Ensuite"
"8447bed6-0b1f-42b4-98ae-2da10a91d52e","","pass","","folder","TRUE","FALSE","Level 11","1102"
"df05145b-0102-4376-bf4f-d0acfb69835f","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 11","1102","Balustrade"
"b62112f4-ce2a-4f5e-baa3-4886d25311df","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1102","Shower Main"
"055ff16a-9308-4bf6-913c-e334745e69b6","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1102","Shower Ensuite"
"d67a6609-ee5b-4bbd-bc1b-a2bda553600c","","pass","","folder","TRUE","FALSE","Level 11","1103"
"4639e595-bd24-4bef-be29-5055e42a9f4b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 11","1103","Balustrade"
"aed04e4e-5e2a-4997-9cfb-e9647a9a81e6","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1103","Shower Main"
"6c57a460-f1dc-49c8-b353-dbeaa6946a53","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1103","Shower Ensuite"
"916ba8fb-74f6-4689-a579-09b3b7b42bc0","","pass","","folder","TRUE","FALSE","Level 11","1104"
"b35736d9-3732-4a20-8ed7-8a64db426dc7","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 11","1104","Balustrade"
"8886bc02-3c94-498d-aa72-58aa45754c37","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1104","Shower Main"
"6f27442a-5ab9-41f4-b88b-e8d5727d2b43","","pass","","folder","TRUE","FALSE","Level 11","1105"
"9c7d1527-b57c-4dc9-ab41-91ab243362ac","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 11","1105","Balustrade"
"3a748f50-eeb6-44a2-94ff-b7a67c3f4b27","","pass","QA - Showers","checklist","FALSE","FALSE","Level 11","1105","Shower Main"
"0096ec52-f98a-4ef2-add1-d98c126a1b27","","pass","","folder","TRUE","FALSE","Level 12"
"4187b8ee-d1c5-4b78-8f73-5ba8921a285a","","pass","","folder","TRUE","FALSE","Level 12","1201"
"a6f85d01-659d-4e98-b369-6dc6f174f543","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 12","1201","Balustrade"
"f3e267c6-416e-4392-9ec7-013ca1b8faa9","","pass","QA - Showers","checklist","FALSE","FALSE","Level 12","1201","Shower Main"
"15f55830-7ec3-4158-95d2-2f4e87630410","","pass","QA - Showers","checklist","FALSE","FALSE","Level 12","1201","Shower Ensuite"
"235a68ad-96c1-4f2f-9955-95bb270af2d8","","pass","","folder","TRUE","FALSE","Level 12","1202"
"a42ecb36-4265-4110-b149-f089a9eece10","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 12","1202","Balustrade"
"783a1477-9dd5-4410-9701-147bee8f1b11","","pass","QA - Showers","checklist","FALSE","FALSE","Level 12","1202","Shower Main"
"1c471ea6-b2a5-40fb-9128-ad1136571b0c","","pass","QA - Showers","checklist","FALSE","FALSE","Level 12","1202","Shower Ensuite"
"4490c697-8788-486e-871a-da8d460d21b2","","pass","","folder","TRUE","FALSE","Level 12","1203"
"82ce20bf-1f4b-4eb9-8738-d7889a5a2716","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 12","1203","Balustrade"
"2990c7ac-36cf-446e-b887-e7b7cf7f2937","","pass","QA - Showers","checklist","FALSE","FALSE","Level 12","1203","Shower Main"
"9844c5b7-10e7-405a-9a32-bcc7f3b73fa1","","pass","QA - Showers","checklist","FALSE","FALSE","Level 12","1203","Shower Ensuite"
"eb6546ab-699f-461d-9fb9-4badec147495","","pass","","folder","TRUE","FALSE","Level 13"
"7d67db32-c744-4eda-a5cb-f73badd35cd0","","pass","","folder","TRUE","FALSE","Level 13","1301"
"7b7fed51-00a4-4d4f-9f9c-eec8da7837fc","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 13","1301","Balustrade"
"9dba8077-d55e-48c1-874e-509a0c8309f3","","pass","QA - Showers","checklist","FALSE","FALSE","Level 13","1301","Shower Main"
"d0bb6f55-20a7-4bc7-8784-049bcc478ba1","","pass","QA - Showers","checklist","FALSE","FALSE","Level 13","1301","Shower Ensuite"
"f21f32a2-8db0-4683-a865-0e770c231ddc","","pass","","folder","TRUE","FALSE","Level 13","1302"
"3d5b7b60-8d62-475a-887c-941979230fd2","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 13","1302","Balustrade"
"84b543c3-fca8-4cf3-8e49-d3c09701ae92","","pass","QA - Showers","checklist","FALSE","FALSE","Level 13","1302","Shower Main"
"f4c090b1-58a9-4b77-9904-e56d0000b5fc","","pass","QA - Showers","checklist","FALSE","FALSE","Level 13","1302","Shower Ensuite"
"4494e990-35f8-46ff-bc32-e604f9b53200","","pass","","folder","TRUE","FALSE","Level 13","1303"
"ec242b80-af49-42f4-8bd6-f05a8d619273","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Level 13","1303","Balustrade"
"fffded71-0f87-4034-8c7a-375a299b10a3","","pass","QA - Showers","checklist","FALSE","FALSE","Level 13","1303","Shower Main"
"8ea3555a-7a28-498d-a0e9-202e102a1d92","","pass","QA - Showers","checklist","FALSE","FALSE","Level 13","1303","Shower Ensuite"
