Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,
7e279448-3883-4fe0-ba49-fbac4a2273bd,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2C ,SPA THERAPY (2034) ,Pre Nail Framing Checklist,Details,LVL beam connections
9101401a-58f9-4bf1-a5a2-e4888f3204ef,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2C ,CHANGE RM 1 (2035) ,Pre Nail Framing Checklist,Details,LVL beam connections
4d95494a-05d1-4273-81ee-dc273b4089a0,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2C ,ACTIVITES AREA 2 (2033) ,Pre Nail Framing Checklist,Details,LVL beam connections
8494564e-2022-4929-b659-0d2adc9e02df,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,SA4 (021) ,Pre Nail Framing Checklist,Details,LVL beam connections
3cbb66d1-7a98-49cc-b6e2-2f0ce9b45c17,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,SA2 (022) ,Pre Nail Framing Checklist,Details,LVL beam connections
eee80afe-2b73-4762-bf45-d0bf7989a8b5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,SA2 (023) ,Pre Nail Framing Checklist,Details,LVL beam connections
6162f2f9-dc49-4ee6-993d-be50b217e1e6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,SA4 (024) ,Pre Nail Framing Checklist,Details,LVL beam connections
7acd5c15-15ec-437a-a964-609b6a4f8afe,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,SA3 (025) ,Pre Nail Framing Checklist,Details,LVL beam connections
6e21e762-5d70-4cd2-8828-2b17700d2649,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,CHAPEL (3002) ,Pre Nail Framing Checklist,Details,LVL beam connections
7d4bb775-9b9a-44b3-a8c2-eb2af1ba56a7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,CORRIDOR (3004) ,Pre Nail Framing Checklist,Details,LVL beam connections
e3675881-1b73-483d-8557-2ed288b0a737,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3A,ST3 (3005) ,Pre Nail Framing Checklist,Details,LVL beam connections
d274ea9b-8070-4c82-993c-4aafbab3f52b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,SA3 (026) ,Pre Nail Framing Checklist,Details,LVL beam connections
b76b5d65-506d-4426-b8ee-5e5d9a825a3a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,SA4 (027) ,Pre Nail Framing Checklist,Details,LVL beam connections
2f39a556-0f1c-48f7-9ef7-d0ef15b9787d,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,SA2 (028) ,Pre Nail Framing Checklist,Details,LVL beam connections
ab2b51f3-7656-4e70-8a06-4b9512794760,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,SA2 (029) ,Pre Nail Framing Checklist,Details,LVL beam connections
b56e99a6-5b7c-4ff4-a25b-75cd39c017e2,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,CORRIDOR (3006) ,Pre Nail Framing Checklist,Details,LVL beam connections
4a0673d1-8174-44bd-bbdd-e036aa0e1dd9,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,LAUNDRY 1 (3007) ,Pre Nail Framing Checklist,Details,LVL beam connections
1b5b22d9-df2a-4cb6-9dca-660477d3969d,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,CHANGE RM 2 (3008) ,Pre Nail Framing Checklist,Details,LVL beam connections
7f8adffd-565c-4652-a980-9450b158382e,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,DATA RM 2 (3010) ,Pre Nail Framing Checklist,Details,LVL beam connections
db94f238-6db6-4c93-b3ff-0b301740db46,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,CLEANERS 6 (3011) ,Pre Nail Framing Checklist,Details,LVL beam connections
6105387c-6c63-4f87-91b9-f206a8bd7add,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,GYM (3012) ,Pre Nail Framing Checklist,Details,LVL beam connections
7b5d2380-64d9-4ecc-ba8a-b18f9a1be668,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 3 ,Zone 3B ,POOL PLANT (3013) ,Pre Nail Framing Checklist,Details,LVL beam connections
