"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5001308e-7721-4e48-a252-7614224412d5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Elements"
"b422ea1c-0eb3-49e6-9eff-d308ad7a601a","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC112"
"fc7ca9e7-9e29-415f-b03b-d742d11d2a9f","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC113"
"4b55306f-cd6b-4afa-baf4-7f6b3af411c2","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC121"
"52848d2f-f3ea-4e6a-af6a-e3da1bd9ba17","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC122"
"1618a514-7903-4732-ba0f-df7551718ef5","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC123"
"7d56746d-70e2-4788-b214-fd7c18b03843","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC125"
"a243a87b-c77f-4031-801b-ac3778c739ad","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC126"
"efe9a575-7b9a-4866-bebe-5fab77a6b368","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC127"
"14bf4ec0-602a-45b8-9e43-fdcf1bee4185","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC128"
"9e5e056c-d06c-4289-875e-cb0df6772039","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC129"
"060705f8-2171-43e0-9e22-4a63990e7d24","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC130"
"bbe08bba-214d-448f-9ba6-ca4d7b016091","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC112"
"fa208558-5404-439e-946d-ba24dc79dc7b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC113"
