"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c6ae79c5-d25e-463a-9890-7ae53b5e64ce","","folder-normal","fail","","step","TRUE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit"
"d1c245cc-beb3-5f72-987e-0256c2017e39","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6932 Whangarei Boys’ High School – Civil Works – New Access from SH1 ","6932 Project Audit WBHS August 2020"
"6c076724-bd45-5984-94a2-088e2a5da9c7","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6932 Whangarei Boys’ High School – Civil Works – New Access from SH1 ","6932 WBHS Bridge for September 2020"
"c571ef86-d3e1-53c7-bcc9-76d089fa1080","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6932 Whangarei Boys’ High School – Civil Works – New Access from SH1 ","20201103 Project Audit WBHS November 2020"
"f499ef19-85b2-4309-8517-d4f39535d237","","folder-normal","fail","","step","TRUE","FALSE","Archived","6933 Dargaville SH14 Watermain Renewal"
"fb171558-3232-5b30-ad57-1406fec41722","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6933 Dargaville SH14 Watermain Renewal","6933 Dargaville SH14 Watermain Renewal June 2020"
"f8fd38fe-7944-5648-a85d-4da07dac0fca","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6933 Dargaville SH14 Watermain Renewal","Project Audit 6933 Dargaville Watermain July 2020"
"db61fd64-e901-4468-8e91-bd9c1f8eaa99","","folder-normal","fail","","step","TRUE","FALSE","Archived","6934 Kiwirail Bridge"
"3819f1f0-4284-5c54-8391-50702e67b365","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6934 Kiwirail Bridge","6934 Kiwirail Bridge 168"
"b416b1d6-28f1-5a6f-bc15-ea8f3d595b1d","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6934 Kiwirail Bridge","6934 Kiwirail Bridge 126 Sept 2020"
"04b1b739-c31e-5f8d-bb93-c9188a1d4d11","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6934 Kiwirail Bridge","Project Audit 6934 Kiwirail 168 "
"17306cac-ad18-56b6-add2-b3ce78110cdf","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6934 Kiwirail Bridge","6934 Kiwirail 168 August 2020"
"3b3a957f-945c-47e0-95ba-ab83a9206051","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6934 Kiwirail Bridge","6934 Kiwirail 168 Sept 2020"
"c18fb603-5145-5b5f-92e4-aeaa0758553b","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6934 Kiwirail Bridge","20201005 Project Audit Kiwirail 168 October 2020"
"f1573dad-316f-5ee1-95cc-13011cef01e3","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6934 Kiwirail Bridge","20201005 Project Audit Kiwirail 126 October 2020"
"dc9262bd-060e-4e01-82a5-03edfb1f3b0d","","folder-normal","fail","","step","TRUE","FALSE","Archived","6935 WDC Footpath"
"5f67fb86-1ce9-51e2-9374-63919b2705a7","","checklist-sectioned","fail","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6935 WDC Footpath","Project Audit Date: 03/06/20"
"f5aaf437-db0f-5eb1-b546-d3ece147d793","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6935 WDC Footpath","6935 WDC Footpaths July 2020"
"d756c00b-d2e1-499e-bf4e-c7c464cfb4db","","folder-normal","fail","","step","FALSE","FALSE","Archived","6943 Kiwirail Tunnels T10, T12 and T13"
"bc3791b7-56ed-5227-9e94-15e43a1c7a1f","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6943 Kiwirail Tunnels T10, T12 and T13","6943 Kiwirail Tunnels T10, T12 and T13"
"1c03a214-e009-43bd-8043-d18781f1cca6","","folder-normal","work-in-progress","","step","FALSE","FALSE","Archived","20200930 Ngawha Project"
"093901ff-1d5e-5944-ae94-0ae6fd0df1ce","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","20200930 Ngawha Project","20200930 Ngawha Project Audit Sept 2020"
"8ba0fcc8-cc8a-47f2-b7db-928f12de0085","","folder-normal","fail","","step","FALSE","FALSE","Archived","20201013 Rotu"
"6b524256-ef6b-4f6b-8623-8759cc0efbf5","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","20201013 Rotu","20201013 Rotu Project Audit October 2020"
"7adbc29c-2fb1-48cf-95bd-9c57902e8208","","folder-normal","work-in-progress","","step","TRUE","FALSE","Archived","6940 - Waihue Road Bridge Strengthening"
"fcc33d1d-97d3-52cd-bda3-5cfa06761b9f","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6940 - Waihue Road Bridge Strengthening","20201104 Project Audit Waihue November 2020"
"8912a56c-fca2-53e6-b4e9-e52b5620ec1c","","checklist-sectioned","not-started","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6940 - Waihue Road Bridge Strengthening","Project Audit"
"a2c518b1-282d-4121-96f6-9caed9683e01","","folder-normal","fail","","step","TRUE","FALSE","Archived","6946 - Rewarewa Road Watermain Replacement 2020"
"9872a939-564a-527e-9d74-a86115b82ec6","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6946 - Rewarewa Road Watermain Replacement 2020","20201116 Project Audit Rewarewa Pipeline"
"6b6b2446-25c0-411b-8f64-031dc0166055","","folder-normal","work-in-progress","","step","TRUE","FALSE","Archived","6958 - Waimatenui/Mataraua Road Rehabilitation 2021 "
"6e83246d-0855-501e-aa81-eeeb268c4b9c","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6958 - Waimatenui/Mataraua Road Rehabilitation 2021 ","20210311 6958 - Waimatenui/Mataraua Road Rehabilitation 2021 "
"f25cc0cc-cbe6-4c7e-b794-f7864560e084","","folder-normal","fail","","step","TRUE","FALSE","Archived","6959 - PORTION 1 Ngawha Innovation and Enterprise Park "
"7959ca18-16b1-5d3b-9c4e-239a02a2e5c3","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6959 - PORTION 1 Ngawha Innovation and Enterprise Park ","20210311 6959 - PORTION 1 Ngawha Innovation and Enterprise Park "
"f2757c12-a450-5a09-b878-25b09a69a650","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6959 - PORTION 1 Ngawha Innovation and Enterprise Park ","20210518 -6959 - PORTION 1 Ngawha Innovation and Enterprise Park - ConQa Audit"
"300d7f39-25e9-5937-a9a5-65fd0317acd8","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6959 - PORTION 1 Ngawha Innovation and Enterprise Park ","20210617 - 6959 - PORTION 1 Ngawha Innovation and Enterprise Park - ConQa Audit"
"4aa17572-bba1-5b37-8d43-e7162d189e76","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6959 - PORTION 1 Ngawha Innovation and Enterprise Park ","20210715 - 6959 - PORTION 1 Ngawha Innovation and Enterprise Park - ConQa Audit"
"b4b8caf1-03e1-4b37-9f4c-a9371f4d05fd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Archived","6954 - NZDF KAURI POINT ACCESS JETTY REPLACEMENT"
"d52bd618-4488-57b2-aca8-3370977b6a66","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6954 - NZDF KAURI POINT ACCESS JETTY REPLACEMENT","20210316 6954 - NZDF KAURI POINT AUDIT"
"6bdc30ff-ee31-51f5-8368-29587c15be60","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6954 - NZDF KAURI POINT ACCESS JETTY REPLACEMENT","21210525 -6954 NZDF Kauri Point Access Jetty Replacement ConQa Audit"
"1dff638d-19ea-4c8f-afe5-3176b5ab8f10","","folder-normal","fail","","step","TRUE","FALSE","Archived","6957 - Hakaru Landfill Leachate treatment system "
"65b5aab7-f98d-5376-a708-dfb98360c7fa","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6957 - Hakaru Landfill Leachate treatment system ","6957 - Hakaru Landfill Leachate treatment system 30/03/2021"
"42417ff6-912f-5251-8c62-498b02cc29eb","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6957 - Hakaru Landfill Leachate treatment system ","6957 - Hakaru Landfill Leachate Treatment System 06/05/2021"
"fecb2120-3ff9-43e5-9fbb-4b84061c9239","","folder-normal","fail","","step","TRUE","FALSE","Archived","6953 - Cove Rd-Waipu WWTP Sewer Rising Main Replacement "
"c463d28e-7712-55f8-9d95-b35a7759f350","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6953 - Cove Rd-Waipu WWTP Sewer Rising Main Replacement ","6953 - Cove Rd-Waipu WWTP Sewer Rising Main Replacement 07-05-2021"
"34edc00e-9183-4541-b11d-2e8b82aae33f","","folder-normal","fail","","step","TRUE","FALSE","Archived","6966 - SH12 Oparakau Road Underslip Emergency Works CN4220"
"626884ef-20d1-54ec-8c01-a1d851a8a275","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6966 - SH12 Oparakau Road Underslip Emergency Works CN4220","20210520 - 6966 - SH12 Oparakau Road Underslip Emergency Works CN4220 - ConQa Audit"
"d4f47243-0550-560d-81f2-82dd2667667e","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6966 - SH12 Oparakau Road Underslip Emergency Works CN4220","20210622 6966 - SH12 Oparakau Road Underslip Emergency Works CN4220 - ConQa Audit"
"e9f0d098-4d6f-5d4c-9d52-3b7995a1d85e","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6966 - SH12 Oparakau Road Underslip Emergency Works CN4220"," 20210720 6966 - SH12 Oparakau Road Underslip Emergency Works CN4220 - ConQa Audit"
"7cfee16e-5347-5145-b11d-f4046bb817e3","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6966 - SH12 Oparakau Road Underslip Emergency Works CN4220","20210805 - 6966 - SH12 Oparakau Road Underslip Emergency Works ConQa Audit"
"a615f4e9-fa88-4389-a223-a941566ed431","","folder-normal","pass","","step","TRUE","FALSE","Archived","6964 - Matapouri Beach Sand Replenishment CON19005 (E21-007)"
"39f45f8f-222b-5c64-a898-84305a7570bc","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6964 - Matapouri Beach Sand Replenishment CON19005 (E21-007)","20210608 - Matapouri Beach Sand Replenishment - Conqa Project Audit"
"505818ff-a06e-5851-97ac-d2ff5dce4465","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6964 - Matapouri Beach Sand Replenishment CON19005 (E21-007)","20210706 - 6964 Matapouri Beach Sand Replenishment - Conqa Project Audit"
"41f89c2e-db70-4fb8-903e-11c1e8937a17","","folder-normal","fail","","step","TRUE","FALSE","Archived","6967 - Kaipara Reservoir 1 CONTTTWT/202104"
"b5e25874-1415-5a94-a4ee-49ab741bab62","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6967 - Kaipara Reservoir 1 CONTTTWT/202104","20210610 Project Audit6967 - Kaipara Reservoir 1  Project Audit"
"aa1797f9-7140-5ac5-88d8-72bfd852bbff","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6967 - Kaipara Reservoir 1 CONTTTWT/202104","20210708 - 6967 - Kaipara Reservoir 1 Project Audit"
"d1ed9466-474b-4cf0-84ac-7d95f9ce0cbc","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6967 - Kaipara Reservoir 1 CONTTTWT/202104","20210812 - 6967 - Kaipara Reservoir 1 Project Audit"
"59157b04-c05d-4cf2-926d-7ff40f24504f","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6967 - Kaipara Reservoir 1 CONTTTWT/202104","20211221 - 6967 - Kaipara Reservoir  Project Audit"
"33daeae3-2f01-4b5a-86b9-f6dca56b7443","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6967 - Kaipara Reservoir 1 CONTTTWT/202104","20220315 - 6967 - Kaipara Reservoir 1  - Project Audit"
"9194061e-bba5-4971-8c5c-9b7f3e178a3a","","folder-normal","pass","","step","TRUE","FALSE","Archived","6971 - Kauika Road Sewer Diversion"
"8fd2a2e5-265f-5583-bfd7-43121286a41a","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6971 - Kauika Road Sewer Diversion","20210729 - 6971 - Kauika Road Sewer Diversion ConQa Audit"
"e1e4345d-04b6-4f92-af34-5decfd0dc117","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6971 - Kauika Road Sewer Diversion","20210915 - 6971 - Kauika Road Sewer Diversion ConQa Audit"
"33f5c394-1fe9-4f96-8494-763720e0d7fd","","folder-normal","pass","","step","TRUE","FALSE","Archived","6974 - Matauri Bay Camping Ground & Nursery Water Supply"
"661c7d48-41ff-59b2-b8fc-14592a9225e4","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6974 - Matauri Bay Camping Ground & Nursery Water Supply","20210803 - 6974 - Matauri Bay Camping Ground & Nursery Water Supply Conqa Audit"
"83ca5d4e-02d7-477c-a000-9703f6282199","","folder-normal","fail","","step","TRUE","FALSE","Archived","6972 - 19-1021a Mangonui Boardwalk, Jetty, Swim Steps and Pontoon Works"
"4edd84e5-12c9-48dd-b607-a49cc502d38b","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6972 - 19-1021a Mangonui Boardwalk, Jetty, Swim Steps and Pontoon Works","20211022 6972 -  Mangonui Boardwalk, Jetty, Swim Steps and Pontoon Works Project Audit"
"f843510d-a2eb-496c-9900-334dcaeff824","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6972 - 19-1021a Mangonui Boardwalk, Jetty, Swim Steps and Pontoon Works","20211207 - 6972 - 19-1021a Mangonui Boardwalk, Swim Steps and Pontoon Works Project Audit"
"94770996-6330-4ab1-a7be-62ce881d5b27","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6972 - 19-1021a Mangonui Boardwalk, Jetty, Swim Steps and Pontoon Works","20220316 - 6972 - 19-1021a Mangonui Boardwalk, Swim Steps and Pontoon Works Project Audit"
"95fb1312-814c-442c-b597-32fc629a7309","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6972 - 19-1021a Mangonui Boardwalk, Jetty, Swim Steps and Pontoon Works","20220407 - 6972 - 19-1021a Mangonui Boardwalk, Swim Steps and Pontoon Works Project Audit"
"2ac2bdc8-41c3-43b7-ae51-a4fd1987dc61","","folder-normal","pass","","step","TRUE","FALSE","Archived","6983 - Quarry Gardens Stream Bank Repairs CON21011"
"4864cf32-d444-4d3c-9608-f7f91328fd4e","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6983 - Quarry Gardens Stream Bank Repairs CON21011","6983 - Quarry Gardens Stream Bank Repairs CON21011 ConQa Project Audit"
"ccae3a17-ffb4-483c-9038-eb5f62001933","","folder-normal","fail","","step","TRUE","FALSE","Archived","6981 - High Mast Light Tower Bases 2021 & 6981 - High Mast Light Tower Bases 2021 CONNPE 7"
"7ab740ab-73b6-44b4-8e72-48148cb52958","","checklist-sectioned","not-started","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6981 - High Mast Light Tower Bases 2021 & 6981 - High Mast Light Tower Bases 2021 CONNPE 7","20220119 -6981 - High Mast Light Tower Bases 2021 & 6982 - Heavy Duty Pavement Construction & Asphalt Surfacing"
"85e4e86b-7656-4a68-9e0a-7dc6afc114b5","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6981 - High Mast Light Tower Bases 2021 & 6981 - High Mast Light Tower Bases 2021 CONNPE 7","20220322 - 6981 - High Mast Light Tower Bases 2021 & 6982 - Heavy Duty Pavement Construction & Asphalt Surfacing"
"fe6f7032-12b0-4db8-9a89-c1236b47f8f0","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6981 - High Mast Light Tower Bases 2021 & 6981 - High Mast Light Tower Bases 2021 CONNPE 7","20220427 - 6981 - High Mast Light Tower Bases 2021 & 6982 - Heavy Duty Pavement Construction & Asphalt Surfacing"
"ed935cb6-51ca-47d6-a822-1b9d12607d4b","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6981 - High Mast Light Tower Bases 2021 & 6981 - High Mast Light Tower Bases 2021 CONNPE 7","20220524 - 6981 - High Mast Light Tower Bases 2021 & 6982 - Heavy Duty Pavement Construction & Asphalt Surfacing"
"cdf6fcbd-4e05-4d94-a7ec-1c710796f5fb","","folder-normal","fail","","step","TRUE","FALSE","Archived","6976 - Golden Bay Cement -Water Storage Pond Construction"
"f036886c-c1db-406c-8035-b0ab616901e3","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6976 - Golden Bay Cement -Water Storage Pond Construction","6976 - Golden Bay Cement -Water Storage Pond Construction - ConQa Audit"
"f724bdb2-e9f9-49a3-bc9d-791473c90c94","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","Archived","6976 - Golden Bay Cement -Water Storage Pond Construction","20220310 - 6976 - Golden Bay Cement -Water Storage Pond Construction - ConQa Audit"
"e9aec4f6-b433-4df5-a95e-d7e3d533e57a","","folder-normal","not-started","","step","TRUE","FALSE","KiwiRail Bridge Bearing Replacements"
"0ecaebf0-75b9-4444-bfea-13381850ec2a","","checklist-sectioned","not-started","SYS - Site Establishment Audit V0","checklist","FALSE","FALSE","KiwiRail Bridge Bearing Replacements","Site Establishment Audit - KiwiRail Bridge Bearing Replacements"
"4e243afe-0c97-4a55-ac4c-94936135799a","","folder-normal","pass","","step","TRUE","FALSE","6993 - Intake Rising Main Upgrade, Kerikeri"
"66bc82e6-43ed-4736-a7e4-029a6dfafef1","","checklist-sectioned","pass","SYS - Site Establishment Audit V0","checklist","FALSE","FALSE","6993 - Intake Rising Main Upgrade, Kerikeri","20220804 - 6993 - Intake Rising Main Upgrade, Kerikeri"
"1036dcbf-35c9-440c-9d7b-a3fcf143ac3c","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6993 - Intake Rising Main Upgrade, Kerikeri","20221004 - 6993 - Intake Rising Main Upgrade, Kerikeri"
"bf4f6b12-7b33-47ea-9ab9-c00489159f44","","folder-normal","fail","","step","TRUE","FALSE","W01 - P1 BUND COMPOUND UPGRADE"
"5e337909-f62a-4f16-b271-f3a2ce828ddb","","checklist-sectioned","fail","SYS - Site Establishment Audit V0","checklist","FALSE","FALSE","W01 - P1 BUND COMPOUND UPGRADE","20221123"
"9085a118-0d15-40c8-b4b0-2f2ac5bcdaa2","","folder-normal","fail","","step","TRUE","FALSE","6994 - KAIHU VALLEY TRAIL AHIKIWI BRIDGE DESIGN & CONSTRUCT CON 989"
"37bb696c-3fa7-4e51-bcad-63c1c9a37976","","checklist-sectioned","fail","SYS - Site Establishment Audit V0","checklist","FALSE","FALSE","6994 - KAIHU VALLEY TRAIL AHIKIWI BRIDGE DESIGN & CONSTRUCT CON 989","20221129 - 6994 - KAIHU VALLEY TRAIL AHIKIWI BRIDGE DESIGN & CONSTRUCT CON 989"
