"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ccaf2428-2c9f-46bf-9b60-b5d0af19f818","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 25"
"525e90f1-2e3e-4f36-b833-16f6191493c2","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 30"
"d1ded4bd-fb4d-4a7a-82c7-9facc7b07678","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 35"
"31bd20de-d636-42b3-b71c-22c08cc7408b","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 40"
"ccf15677-ba6b-4985-881b-d0952f61405d","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 45"
"965968b3-aadd-4ae4-b12b-01d749a3cb58","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Return line"
"9567bb63-6763-4e7b-aaca-c352e7b349a1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers"
"9f950207-a867-4e2e-ae3b-7bd8a23727fc","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 5"
"f53bd22d-16fe-4083-9855-fe455c2e3afb","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 10"
"f95cea69-bae2-471b-9a91-9be2460e55e5","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 15"
"b95ebe0c-be79-4c6c-9cf2-d83150296e2e","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 20"
"25474f06-4def-45a3-8932-18349f49fd44","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 25"
"2d161df4-44fd-453f-a385-f9f76faca5a9","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 30"
"eb1a826f-4d19-4278-b65d-a94d9f171821","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 35"
"4c93b1b7-9e05-41fd-b83e-793e96cef7eb","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 40"
"f394f33d-c3fe-435f-b7f1-c817447c8a77","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 45"
"5230ef16-b374-4841-aa8b-7034aefcf2f5","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 50"
"ca4a478d-51f8-47d6-8dc4-212265cbff09","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 55"
"bb26faad-007e-4da7-85ce-dc497ae8fa3e","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 60"
"9b752b46-c73b-4b02-8a2c-11f0d9317f6d","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 70"
"9f04db15-9ca5-49f7-9c6c-178c8b45e6f3","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 75"
"3a1285a9-8897-4333-8064-ce124e7458c8","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 80"
"0ae92dda-eecf-4e5b-8460-02025662ae69","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 85"
"b72242c8-421c-4142-b5fe-d22a8b73ebd7","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 90"
"2bc1974a-f589-4eeb-ad28-3ed8fdf66a5f","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 95"
"17f68980-c9e2-454d-ba50-8220d13fab9d","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 100"
"56842b4d-85de-4070-a300-82c3a5cbe142","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 110"
"66ac0603-6684-4899-adfa-bbde15fac76e","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 115"
"9563925c-26d0-4495-a9ac-f4dbd522383f","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 120"
"103e88ea-fae5-4cff-9efc-2fe689fef111","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 125"
"d3d9ab52-fb1d-4d04-93ac-11e5a5662709","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 130"
"cb159692-8eab-45b8-a78c-629f493f83bc","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 135"
"62368fa8-ea6f-4667-a542-fdfccfc656c6","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 140"
"6ae470ab-7d59-4823-a39c-efa46a3fa683","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 145"
"1dec579b-22b5-44f9-93e2-6fc12e9915dd","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 150"
"db07c106-fa1b-49f0-8947-566f8960136d","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 155"
"fc818e44-e35d-4a87-8967-67d31a6bca06","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Sewer Risers","RVS 160"
"5627551d-9c42-417a-806e-7755f663a5d8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers"
"fa78260b-0483-405c-a64a-231f5b48de81","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 5"
"07d05ae3-a27f-4089-9ba4-8b9f4083d7e7","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 10"
"14d84ce3-35e1-4ff7-a73e-784ce5741b2e","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 15"
"75caf33c-026d-4806-9078-c005df53b8cb","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 20"
"37934f4c-069f-4ec7-bb65-678c7c236650","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 25"
"b71b68fb-d086-4968-8fea-b4c7afa78533","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 30"
"81ca6544-fd26-41fb-8c7a-8538f902ee22","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 35"
"477ccde7-d77d-4a3c-941f-f4751d09fbd3","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 40"
"cd9d512a-f6b6-4e8b-8c52-5abb1362464d","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 45"
"04441698-18bc-4461-ab0c-5e71ac6a605c","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 50"
"969409c4-3cfe-4371-9ce9-958040483889","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 55"
"4ba23cef-1d71-4b6e-8c3a-45201d203d5f","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 60"
"1a5b5382-a919-4116-99a6-4eba75a81ae3","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 65"
"06a589a8-784d-424c-97aa-6102ae6527f1","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 70"
"a54f8590-6256-4ad8-bc46-0b8a04844dc5","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Stormwater Risers","SWR 75"
"4f5ebfe3-aeba-4a3a-bc3b-ad1cfc2b0e6f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline"
"bcbeac4d-33f8-4b7c-a674-4d3dd5c77e5c","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Conference Room 120"
"b429a518-6dc3-4e1d-8c23-ae3958821727","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Meeting Room 121"
"e64f2348-6eee-4def-a3b7-bd1553ef7213","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Office 122"
"b7a0cef7-5495-4726-9f01-99045d4d6dd5","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Office 123"
"2ffbc598-8a39-4762-bbff-41e496cfe83c","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Office 124"
"6bf433db-fd81-4b97-9040-0bd944d3bc35","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Office 125"
"ff01f188-f407-4239-bdb6-fc70ffaeea93","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Office 126"
"18928c3b-f606-4db5-8b02-43a407b35282","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Office 127"
"3e82145a-812e-4bdb-b189-c4f2a23a19e5","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Office 128"
"efde3d6c-5420-4fd7-91c8-83f5ad9e1511","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Storage Units 129"
"38cfd3d2-ccd4-446d-b7b9-8df8cf0a4f13","","checklist-sectioned","not-started","QA - Plumbing Preline (Levels)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Preline","Gym 130"
"b7d44618-1ad2-4c9a-ae0f-dfcc5d701ab4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","Level 2"
"df80f6fb-47cb-4ea0-a17c-534067349f21","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","Level 2","Water Risers"
