"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"889939a6-9d35-41ce-90bf-1f38c7745a93","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#19 W2.26L","Installation"
"22093844-4aa1-43e9-8e2a-67069960ae0f","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#19 W2.26L","Glazing"
"dc974585-5ca7-4c5c-adfe-c759aae736c3","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#19 W2.26L","Performance Tests"
"26d5bbbe-2026-4486-816c-fb69fdf851d8","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#19 W2.26L","Handover Checklist"
"114232f3-389a-4487-b290-acf1ee9e0508","","not-started","","folder","TRUE","FALSE","STAGE #3","#20 W2.26M"
"736437b6-12bb-475e-872a-99835cee92cb","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#20 W2.26M","Pre Install Checklist"
"510a1c96-54ef-44d7-a56d-6e39cec44ef7","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#20 W2.26M","Installation"
"0496e68a-1331-4bb8-ad51-4ec59753a552","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#20 W2.26M","Glazing"
"d749f805-a76e-4d68-b279-651b08db7d26","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#20 W2.26M","Performance Tests"
"1f55126b-7541-4666-9fcd-de4daf21a759","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#20 W2.26M","Handover Checklist"
"af062370-125b-4a69-a425-fd2bff21c4a7","","not-started","","folder","TRUE","FALSE","STAGE #3","#21 W2.26N"
"d1134bf6-d461-4f16-8e8f-920de869d495","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#21 W2.26N","Pre Install Checklist"
"2fd3ac12-453e-4382-998b-89f1010c9f5c","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#21 W2.26N","Installation"
"c6a60324-2616-4615-85f3-446f5799ba20","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#21 W2.26N","Glazing"
"0bebb980-3d39-41dc-9046-e7cc89f5f8cd","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#21 W2.26N","Performance Tests"
"bd7ded97-299e-40ee-9756-fe98ac8f1b26","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#21 W2.26N","Handover Checklist"
"94b4d9ff-3752-4a8e-9cc0-760b0c0292f9","","not-started","","folder","TRUE","FALSE","STAGE #3","#22 W2.26Oa"
"717fc628-4580-4388-9035-8c5bcafef537","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#22 W2.26Oa","Pre Install Checklist"
"70316905-6f16-45c2-b11a-4ecb87c3c440","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#22 W2.26Oa","Installation"
"71f96665-4069-4c55-a894-ea7352835338","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#22 W2.26Oa","Glazing"
"706549d0-c537-4cde-b8e2-bab4d93ed650","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#22 W2.26Oa","Performance Tests"
"41f28e5c-6a9f-466a-846b-4160a6ddc375","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#22 W2.26Oa","Handover Checklist"
"0547fde5-9a22-4ad2-9454-d3f1c9663288","","not-started","","folder","TRUE","FALSE","STAGE #3","#23 W2.26Ob"
"666faec6-2cdf-440d-afa7-19c1129e437d","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#23 W2.26Ob","Pre Install Checklist"
"b294b497-b4ae-4af0-8974-a90cd9834ace","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#23 W2.26Ob","Installation"
"f04cffcf-76b6-4e5f-a92d-ef3d3616b143","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#23 W2.26Ob","Glazing"
"7603ab65-13ea-4e2f-a3c2-c4515bafdfad","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#23 W2.26Ob","Performance Tests"
"21370e90-603d-4241-b59f-ca03bbabc094","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#23 W2.26Ob","Handover Checklist"
"cf04eeec-0fce-43a4-a462-85df8f4119b8","","not-started","","folder","TRUE","FALSE","STAGE #4"
"a4e094e7-8f69-4e1b-a6c1-5022fe9f9d8d","","not-started","","folder","TRUE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part A"
"dde39dd4-a265-4179-80a7-49e808f96461","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part A","Pre Install Checklist"
"8867f35d-e609-4982-83d0-ed85c2e304a0","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part A","Installation"
"2218520a-23a0-4ba1-9b7d-0dd8362ae3af","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part A","Glazing"
"cdb2d571-309e-423f-9a67-eb5bc99469d1","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part A","Performance Tests"
"060eff8c-a4e0-4d75-9a7d-422a06d6ca12","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part A","Handover Checklist"
"a16fb8b3-20fe-428c-b618-ffa896c44c35","","not-started","","folder","TRUE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part B"
"916ce2e1-ae82-4a83-a58b-a13d2122f4ff","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part B","Pre Install Checklist"
"e44ecf51-abe1-43c9-b963-ac486e80bbe6","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part B","Installation"
"1b238b47-63fd-442e-82ad-0d49aa4ea3aa","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part B","Glazing"
"8b1bac85-499d-4561-8a21-8ca9e8620525","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part B","Performance Tests"
"b7faa5bc-966b-4f8f-8d72-c83f1811ba2b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part B","Handover Checklist"
"d8a7054e-8bb9-420a-afcd-a2ff3c82686a","","not-started","","folder","TRUE","FALSE","STAGE #4","#9 W2.26P/N - Function Lounge Part C"
