"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d583c7db-0015-4322-82d4-782325232d5a","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#92 TYPE 082 - W116-1 Bedroom"
"132e7684-69b4-41d2-a374-676b3681c2c6","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#92 TYPE 082 - W116-1 Bedroom","Pre Install Checklist"
"a438ad41-f39f-4166-90ea-4924b71a0b75","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#92 TYPE 082 - W116-1 Bedroom","Installation"
"475f95fc-28e1-466a-97ac-6401578827f7","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#92 TYPE 082 - W116-1 Bedroom","Glazing"
"a057b4c4-cbc2-4e9c-9cf8-5cf636be5df4","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#92 TYPE 082 - W116-1 Bedroom","Performance Tests"
"b67e4bc8-b67c-419d-a3e0-4d9162f40b63","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#92 TYPE 082 - W116-1 Bedroom","Handover Checklist"
"47d224ac-0dc6-450f-a17c-bb030d17370e","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#93 TYPE 081 - W115-1 Bedroom"
"b5debe25-dd0f-43c4-9d38-273768e404ff","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#93 TYPE 081 - W115-1 Bedroom","Pre Install Checklist"
"888157e0-de84-4cd1-b21a-d93c90ea42f1","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#93 TYPE 081 - W115-1 Bedroom","Installation"
"295447fe-8ba1-4448-83b7-154734618e5e","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#93 TYPE 081 - W115-1 Bedroom","Glazing"
"a7ae557e-edbf-486f-bddd-ebef504d2ff6","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#93 TYPE 081 - W115-1 Bedroom","Performance Tests"
"03b3c9c1-47e5-46bd-ad49-cf43acb6dbd0","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#93 TYPE 081 - W115-1 Bedroom","Handover Checklist"
"6dabd23f-f155-4ec8-8246-d91ccb6e4cf8","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#94 TYPE 607 - D114-1 Bedroom SD"
"45dbb4e0-e3ca-484d-a058-3ffc87029e87","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#94 TYPE 607 - D114-1 Bedroom SD","Pre Install Checklist"
"8eb5ba33-fe55-4a28-b04d-cfa485e9d7a7","","work-in-progress","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#94 TYPE 607 - D114-1 Bedroom SD","Installation"
"c954d9c4-36e3-485c-9b8c-954f31b24ca4","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#94 TYPE 607 - D114-1 Bedroom SD","Glazing"
"894cdabe-0ab8-40cc-80e9-b3961c718876","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#94 TYPE 607 - D114-1 Bedroom SD","Performance Tests"
"d6eb840c-6f30-4ec3-b86f-3577cec5785f","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#94 TYPE 607 - D114-1 Bedroom SD","Handover Checklist"
"c340ae01-a357-418e-bb26-7094a0654123","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#95 TYPE 608- D113-1 Bedroom SD"
"3a3c0941-63c3-4387-a10e-bbc663848884","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#95 TYPE 608- D113-1 Bedroom SD","Pre Install Checklist"
"5b0f21a1-e065-4efa-8c64-9344dcf20d06","","work-in-progress","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#95 TYPE 608- D113-1 Bedroom SD","Installation"
"d58b412a-7f02-4780-aa09-118f98c3f95e","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#95 TYPE 608- D113-1 Bedroom SD","Glazing"
"c61bb088-cfae-4c44-8b19-da51b8b5f7a6","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#95 TYPE 608- D113-1 Bedroom SD","Performance Tests"
"80ccd7d9-8eb6-4e0a-9754-7a89209dd5cf","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#95 TYPE 608- D113-1 Bedroom SD","Handover Checklist"
"273267b9-a107-41f1-83b9-dd06fb989476","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#96 TYPE 082 - W112-1 Bedroom"
"f6e7d72c-c014-47fc-9523-ca1fd3ac77db","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#96 TYPE 082 - W112-1 Bedroom","Pre Install Checklist"
"2777bbc6-faab-4dd1-a31c-731169ae0a60","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#96 TYPE 082 - W112-1 Bedroom","Installation"
"1a66b15b-e828-4f32-a36a-5448d5a0f7a1","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#96 TYPE 082 - W112-1 Bedroom","Glazing"
"c348e9a5-e54f-42fd-8391-9379db3995e9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#96 TYPE 082 - W112-1 Bedroom","Performance Tests"
"0d884aad-68c6-40da-a7d1-510df0766ff2","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#96 TYPE 082 - W112-1 Bedroom","Handover Checklist"
