"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"198b67f2-3ba3-4b42-9c0d-47c95571ec11","checkpoint","Are all the hardware installed correctly?",,,,
"b4ace841-ba69-4d6c-860d-1f5ca66261bf","checkpoint","Is the joinery free of scratches?",,,,
"18eb411f-b3b3-4e68-81dd-99f4ff67fb7c","checkpoint","Is the joinery clean and tidy?",,,,
"ff602fcc-35fc-46e6-b9a8-eb7731e0bd71","checkpoint","Are Restrictor Stays fitted(Fully Fixed off & Silent operation)",,,,
"3f471450-bd6d-4baa-a9a1-4fe280b1152e","checkpoint","Hinge doors strikes adjusted and locking easily",,,,
"9a282cd4-17af-4e20-a80e-5453dfb4832a","checkpoint","Hinge doors 4 or 3 point lock operate easily",,,,
"919f3ff4-50f7-4c3c-b858-58eae62525f3","checkpoint","Hinge doors and sliding doors - Bungs are fitted (every hole)",,,,
"a82ac9cb-ca39-4fb9-804d-89271c30a226","checkpoint","Sliding doors - panels are adjusted and locking easily",,,,
"6df791d2-f951-412c-8450-4fa5c96b3eac","checkpoint","Sliding doors - Strikes are adjusted",,,,
"5374e83e-4e58-46a6-9ec9-cc256ee3d106","checkpoint","Sliding doors - Anti lift blocks and stops fitted properly",,,,
"5137da6d-e4f4-491a-b282-2767083446f4","checkpoint","Windows open, close, and lock smoothly without excessive force.",,,,
"0df679d8-d7e0-4577-951e-c97fd9fd3910","checkpoint","All operable windows have functional hardware (locks, latches, etc.)",,,,
"c5e6e7f0-db9a-432b-9a68-438a93fa7ace","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"3d97071f-f827-4603-89ea-5629e06d4e11","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"38835c73-8c95-4b7e-8ded-5c50d8800333","checkpoint","End Caps Installed",,,,
"10e794ad-fdc7-4ed5-828e-550c1c838200","checkpoint","Frames installed correctly?",,,,
"9b6d2a96-75c9-4adf-9c64-a6c238d85f81","checkpoint","Drains are not blocked",,,,

"8f93abe2-7e1e-4573-8d1e-6fd75aa76f97/1","checklist","Performance Tests","","Performance Tests",71,"ef6dcda6-ca11-4a24-8e7a-efb76319202b"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"6c5f70c1-f9e8-446b-b336-434ceb42f810","checkpoint","Water test (if applicable) performed and passed.",,,,
"afaf799b-e713-4b4c-83c4-f7738512bcb0","checkpoint","Sealant Peel Test (if applicable) performed and passed",,,,

"f12170d5-6731-4a87-9082-b90121bb2798/1","checklist","Pre-Install Checklist","","Pre-Install Checklist",71,"2f548b49-05fd-4a95-bd78-1342909bbbf5"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"013963b8-348b-4708-9542-84fee9ffec42","checkpoint","Openings are prepared and match the dimensions specified in the drawings",,,,
"a84f43a5-c3c4-4726-87a3-ee51e5ad9db0","checkpoint","Waterproofing are prepared",,,,
"1bd6fe16-95aa-45f9-b6e0-68566b364b8c","checkpoint","Windows are free from any visible damage or defects",,,,

"ed0edb30-854d-4ed7-ae3b-953ec6f871ea/1","checklist","Shopfront - Install Checklist","","Shopfront - Install Checklist",0,"76d40bfe-b5e6-4620-96b5-14e3b4a867a6"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"b872f6a4-7ea2-42e6-8a02-a23238ea5f2f","checkpoint","Has the window/door installation been completed?",,,,
"738a4684-4f41-410e-8880-43fa53d9e60e","checkpoint","Is interior sealants installation neat and continuous.",,,,
"8f58b3a4-033f-4cb9-8b07-02304b937829","checkpoint","Is exterior sealants installation neat and continuous.",,,,
"139b67f2-ff44-4499-92a7-be2a6e5b9d75","checkpoint","Is sill flashing installed per plans and as detailed in the shop drawings?",,,,
"28596b7d-1636-4294-a5ab-7f1f467c17d1","checkpoint","Is head flashing installed per plans and as detailed in the shop drawings?",,,,
"952116fb-a221-4526-b394-d5d2aaaec23b","checkpoint","Are all window and doors working?",,,,
"bed5649b-0a49-4e54-aaf5-4f78943612a8","checkpoint","All handles installed correctly?",,,,
"1b5816e2-5828-4cc7-9e77-bad2f4e8f112","checkpoint","Are all the hardware installed correctly?",,,,
"1e3f4b48-413b-44bf-9c70-c81543a438c5","checkpoint","Is the joinery free of scratches?",,,,
"0853925a-462e-4c29-bdfd-3a44759a1598","checkpoint","Is the joinery clean and tidy?",,,,
"668304d0-f749-4ef9-8ba1-117c8fe0b091","checkpoint","Hinge doors strikes adjusted and locking easily",,,,
"c33facf8-7241-4f6f-a66e-7d98eb2ce415","checkpoint","Hinge doors 4 or 3 point lock operate easily",,,,
"e48918b0-dad7-4c6c-920f-643f90d1e2c6","checkpoint","Hinge doors and sliding doors - Bungs are fitted (every hole)",,,,
"449a3834-1bd6-40c4-af98-e4e1d6e39a53","checkpoint","Sliding doors - panels are adjusted and locking easily",,,,
"0453640b-39f0-4cce-9bfc-b14b6a527a49","checkpoint","Sliding doors - Strikes are adjusted",,,,
"f065b92c-5273-40e3-9c35-16a1c17f00dd","checkpoint","Sliding doors - Anti lift blocks and stops fitted properly",,,,
"cdd34854-6e37-453e-824c-447ed9d41630","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"bb77852e-efc1-4f40-95d4-b87e4ad7a718","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"51399d85-d61c-4164-ad38-f828dff97fa7","checkpoint","End Caps Installed",,,,
"f46eff20-4d67-494c-9d47-62c923750bc4","checkpoint","Frames installed correctly?",,,,
"8c597a6d-03c5-454d-be88-c31d94f5d863","checkpoint","Modules installed correctly?",,,,
"93f04863-f625-416e-8aae-fe161a9eda6c","checkpoint","Drains are not blocked",,,,

"76627c37-ea26-4adf-9207-8bdbe758e0c2/1","checklist","Structural Glaze - Install Checklist","","Structural Glaze - Install Checklist",0,"9cbacc3e-5fed-4466-9ca5-3617c5e7bdb8"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
