"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"09d57bc1-7337-4e17-a6ec-cf6206a0fd1f","","fail","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders"
"f1979c44-56b0-4cdd-8b4c-c7a67c162f44","","work-in-progress","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD"
"6c40c40a-ab69-407c-bd9c-389997e87230","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #5","#71 W3- W3.37 Living (UC03) SD","Pre Install Checklist"
"8bcd638a-8368-457a-91ee-68edb76bb032","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #5","#71 W3- W3.37 Living (UC03) SD","Installation"
"19add0e6-1232-4bc8-9b1c-9f07b5fadfc4","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #5","#71 W3- W3.37 Living (UC03) SD","Glazing"
"b6b8d7be-2a16-4006-82ee-60fd8a5016aa","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #5","#71 W3- W3.37 Living (UC03) SD","Performance Tests"
"87c85d5c-45a8-451e-801f-d435878b7373","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #5","#71 W3- W3.37 Living (UC03) SD","Handover Checklist"
"62ddd684-e496-4fe8-8faa-6b164d1ffdb9","","work-in-progress","","folder","TRUE","FALSE","STAGE #5","#74 W3- W3.40 Living (UB03) SD"
"320f0a8e-4ed0-48c1-b639-7f4cbd2401c6","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #5","#74 W3- W3.40 Living (UB03) SD","Pre Install Checklist"
"b0015553-685d-4076-b5ea-4e9907a6eadf","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #5","#74 W3- W3.40 Living (UB03) SD","Installation"
"f28c565d-ba1f-473c-92b2-af4e6b55c43f","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #5","#74 W3- W3.40 Living (UB03) SD","Glazing"
"0edd822a-c6f0-4ef4-b5db-6c82e1d4c11e","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #5","#74 W3- W3.40 Living (UB03) SD","Performance Tests"
"5bdbfeb4-0956-4f09-8089-dd61214c8d16","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #5","#74 W3- W3.40 Living (UB03) SD","Handover Checklist"
"31a1f5de-5fee-404f-9382-8ed32206bb6d","","work-in-progress","","folder","TRUE","FALSE","STAGE #6"
"65240c4a-5c41-433c-86de-46c229182140","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#39 W1- W3.02 Bedroom (UA03))"
"991693a4-22f1-485f-b0c0-c1456c6f3a76","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#39 W1- W3.02 Bedroom (UA03))","Pre Install Checklist"
"5fe86cde-4beb-4bbd-806a-13d79d20e0ed","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#39 W1- W3.02 Bedroom (UA03))","Installation"
"0db74669-6556-4f6b-8da8-cc63ccdca574","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#39 W1- W3.02 Bedroom (UA03))","Glazing"
"36f1911f-5195-4226-8884-a0ed1fa052b4","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#39 W1- W3.02 Bedroom (UA03))","Performance Tests"
"33886592-f5d8-424e-ab4d-1cded44ad772","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#39 W1- W3.02 Bedroom (UA03))","Handover Checklist"
"77a04a2d-ed54-4c0f-83ad-2605a77ac24c","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#40 W2- W3.03 Bedroom (UA03)"
"74372167-26c5-45d1-a64d-838f8c0583d8","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#40 W2- W3.03 Bedroom (UA03)","Pre Install Checklist"
"d4314b0e-62fa-4a35-838b-820a191ea66c","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#40 W2- W3.03 Bedroom (UA03)","Installation"
"f5e88b94-cbeb-4b35-aa53-17e589711203","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#40 W2- W3.03 Bedroom (UA03)","Glazing"
"19cb4c0f-ab04-4662-8ab1-28adfa45badf","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#40 W2- W3.03 Bedroom (UA03)","Performance Tests"
"901f9c3d-6ec7-42d3-8603-e1c7a929f6e8","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#40 W2- W3.03 Bedroom (UA03)","Handover Checklist"
"3b450103-4356-411f-94c1-76300c8a4fc9","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#42 W5- W3.05 Living (UA03)"
"8cb4a0d0-6b2c-4d66-a743-da51025ba7c5","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#42 W5- W3.05 Living (UA03)","Pre Install Checklist"
"69bbd1db-177e-4e7b-bad8-1b0f729d049a","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#42 W5- W3.05 Living (UA03)","Installation"
"ac18b6b3-6dea-4c91-be4a-03ee11a5a44a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#42 W5- W3.05 Living (UA03)","Glazing"
"1287086c-5d47-4913-ba2b-8f5addd60767","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#42 W5- W3.05 Living (UA03)","Performance Tests"
"6f7a582c-12e7-4610-a72c-c2fc07dadd36","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#42 W5- W3.05 Living (UA03)","Handover Checklist"
"8917edd7-107e-4d2b-8114-d6363182d62f","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#43 W5- W3.07 Stairs"
"f2624b42-5aa3-4396-8836-990987870635","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#43 W5- W3.07 Stairs","Pre Install Checklist"
"dd27db34-0d09-4649-aca2-7a595be67c59","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#43 W5- W3.07 Stairs","Installation"
"d7091c9a-9a58-4612-91a7-137df7d494db","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#43 W5- W3.07 Stairs","Glazing"
"c4b7185b-d8d3-4f3c-88cb-0dfb100528eb","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#43 W5- W3.07 Stairs","Performance Tests"
"7dd02643-3134-4023-98f1-4ae667b01c6d","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#43 W5- W3.07 Stairs","Handover Checklist"
"7a57d9b6-ae69-4f59-99d7-75f6415ee641","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#44 W5- W3.08 Bedroom UK03 40mm SEISMIC"
"b163337e-7609-47cc-a0d5-097a001decb5","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#44 W5- W3.08 Bedroom UK03 40mm SEISMIC","Pre Install Checklist"
"ae59e741-01f3-4b70-9134-3beef05112ea","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#44 W5- W3.08 Bedroom UK03 40mm SEISMIC","Installation"
"8e288fea-8ecf-42d4-bd3c-2d6d1c27e26b","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#44 W5- W3.08 Bedroom UK03 40mm SEISMIC","Glazing"
"09717340-a6af-4bcb-8eca-e8f48729ec4f","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#44 W5- W3.08 Bedroom UK03 40mm SEISMIC","Performance Tests"
"a9b2c7a5-3142-4998-a549-6895124ab5a2","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#44 W5- W3.08 Bedroom UK03 40mm SEISMIC","Handover Checklist"
"b0e556c2-b305-4253-b2b1-fabbc249dfcf","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#45 W13-W3.09 Dining (UK03)"
"4b5e6ef8-c587-4c4a-b871-4c641ac72dfa","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#45 W13-W3.09 Dining (UK03)","Pre Install Checklist"
"f11fef11-276d-4327-ab62-4a18c1a9c502","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#45 W13-W3.09 Dining (UK03)","Installation"
"4a0f81c9-2432-4be9-af04-0e01f5bf1e8e","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#45 W13-W3.09 Dining (UK03)","Glazing"
"7eeb3170-aaad-4417-8074-4f240a5cb3ac","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#45 W13-W3.09 Dining (UK03)","Performance Tests"
"aae08685-7f49-4f57-9c07-4bfff24853d7","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#45 W13-W3.09 Dining (UK03)","Handover Checklist"
"fb135d4a-e6f8-4026-ad24-5c101017b42c","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#47 W5A W3.11 Bedroom UJ03 40mm SEISMIC"
"0262f518-3ebf-4934-9059-2937707b51ce","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#47 W5A W3.11 Bedroom UJ03 40mm SEISMIC","Pre Install Checklist"
"7925b552-38f4-4e88-bf62-4faf60d63312","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#47 W5A W3.11 Bedroom UJ03 40mm SEISMIC","Installation"
"42275f7b-b2ac-4a16-ae69-7a598d0ac854","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#47 W5A W3.11 Bedroom UJ03 40mm SEISMIC","Glazing"
"8b89284b-ab62-4701-bddf-8bb15a464a98","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#47 W5A W3.11 Bedroom UJ03 40mm SEISMIC","Performance Tests"
"c74d5f55-0559-484d-a3d4-d8d2e06d4ee8","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#47 W5A W3.11 Bedroom UJ03 40mm SEISMIC","Handover Checklist"
"3bd846c8-749b-4042-ab1f-15f132ce9e59","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#48 W15-W3.12 Bedroom (UJ03)"
"ac03566d-b55b-45d9-9cab-a2e7185b0d01","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#48 W15-W3.12 Bedroom (UJ03)","Pre Install Checklist"
"95a51cf8-447b-4679-98af-904ae8f3742e","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#48 W15-W3.12 Bedroom (UJ03)","Installation"
"81b8278f-aec5-4035-8dc1-094235c01473","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#48 W15-W3.12 Bedroom (UJ03)","Glazing"
"8cff7d12-c4fc-458b-97ba-7283f8eaa7e3","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#48 W15-W3.12 Bedroom (UJ03)","Performance Tests"
"2bb62b0b-30ed-4ddf-9c8e-9ffb31a681f0","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#48 W15-W3.12 Bedroom (UJ03)","Handover Checklist"
"f7042cd6-b007-488c-84d5-93dc5945a73f","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#50 W5- W3.14 Kitchen UJ03 40mm SEISMIC"
"5ac1e86e-a17a-4565-b762-2b1eafe8651d","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#50 W5- W3.14 Kitchen UJ03 40mm SEISMIC","Pre Install Checklist"
"8b0d4e59-2969-481c-9a8a-0696fecf0852","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#50 W5- W3.14 Kitchen UJ03 40mm SEISMIC","Installation"
"8fb644d3-0335-43bb-a246-8e99f68a9fca","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#50 W5- W3.14 Kitchen UJ03 40mm SEISMIC","Glazing"
"455dc807-c8bf-4b8b-a4f8-1a4bbbdcfb7d","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#50 W5- W3.14 Kitchen UJ03 40mm SEISMIC","Performance Tests"
"02c13ac5-efb8-4494-9c15-f4c1d4dc8769","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#50 W5- W3.14 Kitchen UJ03 40mm SEISMIC","Handover Checklist"
"a41f4fc6-749a-4879-9426-2c17a8af4e2e","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#51 W1- W3.16 Bedroom (UI03)"
"537ab218-958f-4fc4-a126-d8a098191200","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#51 W1- W3.16 Bedroom (UI03)","Pre Install Checklist"
"1def1ff2-c1e5-40ad-8591-eec841082bdd","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#51 W1- W3.16 Bedroom (UI03)","Installation"
"d25e7b5e-3a83-4501-bbb9-e17eb1638091","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#51 W1- W3.16 Bedroom (UI03)","Glazing"
"d82db6f8-d4d6-426d-9e0f-67a4874e5f4a","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#51 W1- W3.16 Bedroom (UI03)","Performance Tests"
"c6835144-ad22-4eb5-8aa9-187a5ccad3b1","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#51 W1- W3.16 Bedroom (UI03)","Handover Checklist"
"3adbeaa3-1542-4acc-b9ec-d39b3755f1bc","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#52 W2- W3.17 Bedroom (UI03)"
"063c8257-561f-4f1f-9bfd-e593d63cdcec","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#52 W2- W3.17 Bedroom (UI03)","Pre Install Checklist"
"a70bb164-a7f0-466b-a0be-0dd0dc5cc39b","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#52 W2- W3.17 Bedroom (UI03)","Installation"
"6ef7dba9-a99e-4b46-b952-2220e9616c23","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#52 W2- W3.17 Bedroom (UI03)","Glazing"
"0157161b-6684-4b50-b70f-cf3d2e16109c","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#52 W2- W3.17 Bedroom (UI03)","Performance Tests"
"254a76cd-1951-4d58-b667-9ff101061518","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#52 W2- W3.17 Bedroom (UI03)","Handover Checklist"
"f01c6ee5-181f-4dea-ace1-9783347ca5d2","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#54 W1- W3.19 Bedroom (UH03)"
"6b81e787-f84b-41f0-ad9d-c6f76d374fbe","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#54 W1- W3.19 Bedroom (UH03)","Pre Install Checklist"
"2d405d43-6fa3-4edf-ad71-dad963f0cff6","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#54 W1- W3.19 Bedroom (UH03)","Installation"
"f1b2165d-1848-4653-9d3e-1c16c64d027f","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#54 W1- W3.19 Bedroom (UH03)","Glazing"
"998a76f6-6219-4007-92f2-2dc8fde17f40","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#54 W1- W3.19 Bedroom (UH03)","Performance Tests"
"c33efe84-01c0-4929-bc04-8e90eaf4cc92","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#54 W1- W3.19 Bedroom (UH03)","Handover Checklist"
"904fe8bc-7af9-41cc-b0f3-61bee9a4b1bd","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#55 W2- W3.20 Bedroom (UH03)"
"8b2f38dd-05ff-456b-9886-058074ef28f6","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#55 W2- W3.20 Bedroom (UH03)","Pre Install Checklist"
"cb5324c7-5166-4ee6-955f-37268c1c5b62","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#55 W2- W3.20 Bedroom (UH03)","Installation"
"5c0c55ab-efd6-4661-8767-a6c1a4fc6301","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#55 W2- W3.20 Bedroom (UH03)","Glazing"
"fc64a980-bd0b-4e03-b006-7f179c22527a","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#55 W2- W3.20 Bedroom (UH03)","Performance Tests"
"d738586f-fa18-4a28-835b-c5c29083c582","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#55 W2- W3.20 Bedroom (UH03)","Handover Checklist"
"4a096921-6bba-4a1b-b740-b1be815e849d","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#57 W1- W3.22 Bedroom (UG03)"
"b233e24c-2a55-4339-84bb-3b0600051689","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#57 W1- W3.22 Bedroom (UG03)","Pre Install Checklist"
"9f791da6-d8ee-417a-a473-92fb4edb8f9b","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#57 W1- W3.22 Bedroom (UG03)","Installation"
"288f5bdf-2c77-4ae0-8d45-e2920d83c574","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#57 W1- W3.22 Bedroom (UG03)","Glazing"
"93b3a6ca-b543-404a-a2ef-fb216ae7ac37","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#57 W1- W3.22 Bedroom (UG03)","Performance Tests"
"9b818c73-3fc2-44fc-8bb1-ea6819d1901c","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#57 W1- W3.22 Bedroom (UG03)","Handover Checklist"
"2bd1a3fc-3528-403a-85ef-06b96740a6f3","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#58 W2- W3.23 Bedroom (UG03)"
"ab34f2cb-6cc9-4231-a196-42679e5bf2a0","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#58 W2- W3.23 Bedroom (UG03)","Pre Install Checklist"
"5b518ab9-6021-4f80-839f-84a2ae2757d1","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#58 W2- W3.23 Bedroom (UG03)","Installation"
"dbb7db79-ef29-4ef3-87bd-9fb151f73734","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#58 W2- W3.23 Bedroom (UG03)","Glazing"
"c83458a8-0762-471f-8f49-d56e85ea30f6","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#58 W2- W3.23 Bedroom (UG03)","Performance Tests"
"a14504e9-46c3-4efc-96c9-3ca33c7f0c37","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#58 W2- W3.23 Bedroom (UG03)","Handover Checklist"
"98f98a83-14be-45ed-8a28-cae37536c8cd","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#60 W9- W3.25 Bathroom (UF03)"
"45035043-124a-4691-a255-5b8af21ffb1a","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#60 W9- W3.25 Bathroom (UF03)","Pre Install Checklist"
"9ed0a137-1574-46f7-9b91-72581a1751b7","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#60 W9- W3.25 Bathroom (UF03)","Installation"
"4e144d26-6828-46be-8462-0d4701b1c677","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#60 W9- W3.25 Bathroom (UF03)","Glazing"
"69d6d2ad-159b-4e5f-b0c1-61d55835f1ac","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#60 W9- W3.25 Bathroom (UF03)","Performance Tests"
"9ba052c2-4e9c-4ff3-8798-4554fc28af89","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#60 W9- W3.25 Bathroom (UF03)","Handover Checklist"
"2976ba8d-5380-4d07-97a3-fef0337e3811","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#61 W10m-W3.26 Bedroom (UF03)"
"0dfde7bb-700d-44b0-87a9-46a77ed5200a","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#61 W10m-W3.26 Bedroom (UF03)","Pre Install Checklist"
"549b9d5a-450a-4f80-a1c5-0ffd17515ff0","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#61 W10m-W3.26 Bedroom (UF03)","Installation"
"a55a88de-3233-4dda-ab09-c46de24b153f","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#61 W10m-W3.26 Bedroom (UF03)","Glazing"
"48eb9fbb-340d-4677-a51b-28d246e5d87f","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#61 W10m-W3.26 Bedroom (UF03)","Performance Tests"
"fe925e40-f33f-4bae-96b4-35290b376a0f","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#61 W10m-W3.26 Bedroom (UF03)","Handover Checklist"
"316d8ffe-6c9e-4c60-be40-3568039a75c2","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#64 W10-W3.30 Bedroom (UE03)"
"7551ebe9-1c95-4202-a9b2-8f23ced1a049","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#64 W10-W3.30 Bedroom (UE03)","Pre Install Checklist"
"f01babd7-cc3a-4890-9381-80932d13ab86","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#64 W10-W3.30 Bedroom (UE03)","Installation"
"abaef115-7613-4898-9e41-41c3800a3213","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#64 W10-W3.30 Bedroom (UE03)","Glazing"
"6ab1eafe-6fe7-49e2-a73a-250bec58e37e","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#64 W10-W3.30 Bedroom (UE03)","Performance Tests"
"9810b471-0b9d-48e6-a9cb-f512a4323881","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#64 W10-W3.30 Bedroom (UE03)","Handover Checklist"
"170bbcb9-4968-4611-af53-af5000aa0f46","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#65 W9- W3.31 Bathroom (UE03)"
"b056758c-03e3-487a-aa9d-99dd8b17a116","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#65 W9- W3.31 Bathroom (UE03)","Pre Install Checklist"
"8cec59fe-7006-4bd2-ba87-9d6aee4fadd9","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#65 W9- W3.31 Bathroom (UE03)","Installation"
"ec6da309-95f9-4b46-8f76-a6c4ed29b88b","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#65 W9- W3.31 Bathroom (UE03)","Glazing"
"c0e03fad-ff34-4167-b38b-2f2266a15869","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#65 W9- W3.31 Bathroom (UE03)","Performance Tests"
"b0e9bb8f-d987-41b6-95e8-b55a5da49f16","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#65 W9- W3.31 Bathroom (UE03)","Handover Checklist"
"fa4c8773-7bf9-4c66-bc24-e8e733d78690","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#66 W1- W3.32 Bedroom (UD03)"
"6d6d90ab-d94f-40c1-8f3e-1d6846d646e7","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#66 W1- W3.32 Bedroom (UD03)","Pre Install Checklist"
"3aa5fc12-b6d9-4460-9da1-3f46e8faab87","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#66 W1- W3.32 Bedroom (UD03)","Installation"
"ec1721aa-a203-4400-be02-64fea50725a5","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#66 W1- W3.32 Bedroom (UD03)","Glazing"
"7dbadbfd-c6ad-4934-a8fb-4ddd121079c0","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#66 W1- W3.32 Bedroom (UD03)","Performance Tests"
"b6daa553-890d-414c-9e39-6e645a22c564","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#66 W1- W3.32 Bedroom (UD03)","Handover Checklist"
"c37469a6-5bfe-473e-a0ed-33810deaf46e","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#67 W2- W3.33 Bedroom (UD03)"
"f24f1aa0-19db-446b-bd34-1017530a85d8","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#67 W2- W3.33 Bedroom (UD03)","Pre Install Checklist"
"757f8791-c3ad-41a0-92e8-fbabd00efc5f","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#67 W2- W3.33 Bedroom (UD03)","Installation"
"e8f38cad-6883-4226-9d08-dcb92ff06d2a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#67 W2- W3.33 Bedroom (UD03)","Glazing"
"df5798fb-bdd4-4791-b639-1c1c23ad6d66","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#67 W2- W3.33 Bedroom (UD03)","Performance Tests"
"4ddff12d-9d93-4f6e-826d-9e824343de5b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#67 W2- W3.33 Bedroom (UD03)","Handover Checklist"
"fa6dbb8c-90a4-4a8c-8b5d-5f8471d33c6a","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#69 W1- W3.35 Bedroom (UC03)"
"bf45203d-3a2d-4bad-84d6-207ea9f273c0","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #6","#69 W1- W3.35 Bedroom (UC03)","Pre Install Checklist"
"bda65cdb-c05e-4481-9532-6d3f674d75fd","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #6","#69 W1- W3.35 Bedroom (UC03)","Installation"
"b527089c-4009-4a3e-b67d-175903e31c3b","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #6","#69 W1- W3.35 Bedroom (UC03)","Glazing"
"2a2efbd0-3f0a-47d2-bd6b-7f57b05eb23e","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #6","#69 W1- W3.35 Bedroom (UC03)","Performance Tests"
"c65d7572-b3d1-4f16-b295-cfaad60e38ea","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #6","#69 W1- W3.35 Bedroom (UC03)","Handover Checklist"
"de483b57-ae82-4d71-abbc-b8fe06a5430d","","work-in-progress","","folder","TRUE","FALSE","STAGE #6","#70 W2- W3.36 Bedroom (UC03)"
