"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"620b6065-f3d9-4a67-b6e7-57461a8f551d","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING","AC"
"68df7edd-74da-42ad-bb21-046f9e6bf62c","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING","AC","CU-1"
"27840b5c-ad47-4f56-891d-fede1c216795","","checklist-sectioned","","AC High wall mounted Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-03A"
"9ac2f9fa-6f46-4b77-8c17-eb8e85d32864","","checklist-sectioned","","AC High wall mounted Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-03B"
"cce56010-85a8-423b-aa20-8a0348b44cd6","","checklist-sectioned","","AC High wall mounted Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-03C"
"0a82ef6d-ab4c-44e7-8f77-e2fcaf7c4142","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-04"
"bb89573c-a12d-497d-b309-930f2d7c2e56","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-07A"
"dc0d431b-c62e-429f-a775-8e194751b325","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-07B"
"717eac25-dde8-4114-89b7-8db894131ca4","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-08A"
"7acc6798-9296-4ac5-8183-5200c500dcf7","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-08B"
"b307f7bf-e9f8-4c1b-9d3b-a4a451c30704","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-41A"
"9aff3391-875d-4004-a123-616d969192c1","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-41B"
"ba27981e-d374-49ff-856b-123092f36fc7","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-42A"
"45f62e18-2e86-4028-81ae-d1a37df61db7","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-42B"
"c9ba1400-7ede-4597-8862-72005d362e19","","checklist-sectioned","","AC Outdoor unit (VRF) Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","CU-1"
"7a3621be-25ec-4571-bc17-aba5a42a7415","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING","AC","CU-2"
"ffb20f39-effa-4789-9eaa-fff543dfe872","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16A"
"a09b78ef-0bd7-4e40-abdc-a9aa170a9a37","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16B"
