"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"db610340-6c0c-43cc-b4c2-42b48ddc6786","","checklist-sectioned","","AC Outdoor unit (VRF) Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","CU-1"
"bdc6b9d8-4c01-4d4f-a0be-19d65d9fe21f","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING","AC","CU-2"
"58eb928c-04b1-4aa1-b1d5-80a671f016e4","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16A"
"a49b97ca-ac12-4cd8-b2c6-f1ae197b58ff","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16B"
"cc10ab6b-ae16-4fe3-b5d5-1c384fa1c76f","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16C"
"c78979f3-04ea-43ee-9124-ac6c3a8d0b6c","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-16D"
"f6eddd58-c05d-49c5-a328-22467cff1358","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-21A"
"cfd986a5-7048-408a-a6c7-e923756b00cc","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-21B"
"95bfec33-22ff-41be-a48b-3fc6b6b233ac","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-22A"
"e8883370-c851-4afe-a743-d0e90a84df78","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-22B"
"a2a8c053-e650-4c7e-a5cb-745aa9860c0c","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36A"
"18588df3-b118-4e07-82fd-234d9d491f1a","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36B"
"a2a06f45-929c-4683-97b8-3c526885807e","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36C"
"ad90f803-207e-482c-9acb-3f4c433ac60b","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-2","FCU-G-36D"
