"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a04f420f-fc1c-4e88-a358-6ee4ec30301f","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.32.K"
"8b043929-9211-4991-bd23-d4b5cb4761c3","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Townhouse South"
"aa12a228-bcac-406c-9567-5c4491ce12f1","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse South","W.03.33.N"
"ad7f3660-66df-4972-b902-3058c85fe4ed","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Basement"
"c95b8453-952d-4198-904e-817885a15a36","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Basement","W.03.26.C"
"53e8ff80-fa79-4c26-915c-31eeb4cd23b4","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Basement","W.03.26.E"
"43018ec6-c763-48ee-a47b-bdb7ac63a161","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Basement","W.03.27.C"
"be198707-eb2f-4289-a2ec-90455f382d91","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 04"
"674b1dca-44e0-49cd-9461-71f14130a1a4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 04","West Tower"
"eed3f9af-a241-4533-9cfc-2d57dc13b475","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.01.1"
"cd7e2827-f6c9-491a-bffe-d8fe86d945ab","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","West Tower","W.04.01.1 (Backing Rubber Replacement)"
"69f33250-8ffc-4a34-98f4-14e35dfc2554","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.02.2A"
"49847680-dfd8-464d-b205-ba94dff1619a","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.03.3"
"c6b307e3-2424-4718-945a-32e82aa6947b","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","West Tower","W.04.03.3 (Backing Rubber Replacement)"
"29778625-673d-42c7-8f01-dae845ef75aa","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","West Tower","W.04.04.17"
