"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2827f438-9131-49b6-8103-74b5c99a4e8b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 6","West"
"7c7ae669-9226-4002-8c06-e0d0f1ee73d2","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 6","West","Slab"
"55676a0e-10aa-47c6-a0e8-863a59a7abdd","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 6","West","Slab","Mechanical Services"
"57999496-1cad-466f-b48c-ad784b4d093b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 6","North"
"b4f4c308-33d5-45b2-b74f-477bb693a41e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 6","North","Slab"
"5f8c2713-535e-429f-a3f0-896e3015227b","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 6","North","Slab","Mechanical Services"
"d25fa700-cd89-4801-8f3f-36efde57b765","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 7"
"0d5f27ff-8acf-4140-a6d1-3aa14bb3c8d3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 7","South"
"0ea28975-4b01-48f2-97ca-4dbe66406c57","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 7","South","Slab"
"44a014ea-867a-4789-81ef-61f48f8b8fd4","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 7","South","Slab","Mechanical Services"
"68fcec31-8988-48e7-ace3-b6b6bcb3b4d0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 7","West"
"f714f4e4-bd71-4e9a-b410-8811b3a1601e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 7","West","Slab"
"4cc52cba-f63a-4474-b95e-40bb7f892985","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 7","West","Slab","Mechanical Services"
"e14f61ef-1752-4d7a-942e-cdf6be2580f6","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 7","North"
"b78eb171-2314-4818-a291-6a443a5d8fa9","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 7","North","Slab"
"d1635126-504e-4cad-b768-15f6f7c03960","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 7","North","Slab","Mechanical Services"
"59694550-83b8-4821-8e0f-4f7ed4131398","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 8"
"f08b00cd-a317-47d0-be8c-78e94b918294","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 8","South"
"d8427de1-abb8-4d11-9909-e523f22f533d","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 8","South","Slab"
"0994c3f8-13ed-432b-ab83-5e8cf48c443b","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 8","South","Slab","Mechanical Services"
"49b39006-b222-4a1c-8ecf-ff44f2a0edb8","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 8","West"
"36f3e633-ee62-46cc-94a4-c5e263b74ee6","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 8","West","Slab"
"54967963-cc60-49a1-8528-90f84f35931b","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 8","West","Slab","Mechanical Services"
"155e8e22-00a6-45ed-abe6-0e3fc1af44a0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 8","North"
"748069ce-bff5-4d72-a317-4db95b03b394","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 8","North","Slab"
"ac41e4d1-4b12-4f77-b9a2-c1002140722a","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 8","North","Slab","Mechanical Services"
"8dd13bcf-0d74-46a5-ae27-bb4de14cab7f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 9"
"3818380a-2983-4c35-bcf6-14845f2e7613","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 9","South"
"d95ac323-1d42-4cff-93e4-b58df1d1754d","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 9","South","Slab"
"d90da646-6cba-4a32-9514-c51b9d0feb10","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 9","South","Slab","Mechanical Services"
"9d07d9b8-13aa-4123-b7f1-cbf940820cae","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 9","West"
"e8ba257b-f0f0-48da-9f3d-2760a53c013b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 9","West","Slab"
"1dda53c0-9ce1-4f2f-bf4f-0eb9d44e7355","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 9","West","Slab","Mechanical Services"
"d263123e-a940-4cbd-817e-fbda9a1d170e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 9","North"
"a4eba3af-6871-4cde-b8fe-7d4c8d66f01c","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 9","North","Slab"
"c94465b0-c18c-4379-bed3-0927998038cf","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 9","North","Slab","Mechanical Services"
"c67bfc19-0517-4bb8-a69c-1cd3c6c07777","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 10"
"73cb0189-9f7a-4cad-9fc6-95039913df8c","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 10","South"
"5b75ca8b-2d3f-46ff-8d03-627a52c46177","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 10","South","Slab"
"4e1e134a-43d4-402a-857b-12da00edaba1","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 10","South","Slab","Mechanical Services"
