"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b4ace5b-996d-4cc1-85aa-a741a8f6125d","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete","Shoring Wall 6"
"c05955b0-3bbc-4408-b922-f2285a4aed40","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete","Shoring Wall 7"
"5ebb7b75-f7f9-46f0-a5c1-a354db855218","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 4","Anchors"
"ff2f5350-7640-49a6-a8d3-267b80f0abc3","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Anchors","Shoring Wall 1"
"73c47991-6bb1-4f45-9c4e-04d2a573cbbc","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Anchors","Shoring Wall 2"
"064532fd-fcfe-4afd-8f24-1368b340f97e","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Anchors","Shoring Wall 3"
"ab57567c-9f31-4f3b-ae51-32d9b6e15f89","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Anchors","Shoring Wall 4"
"5ff8213e-fc42-4922-924d-d70264572ee6","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Anchors","Shoring Wall 5"
"0500098c-002e-4451-8e44-9e8b3220e2d9","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Anchors","Shoring Wall 6"
"c42f645e-b794-4e8c-a56e-cb84db3a75d7","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Anchors","Shoring Wall 7"
"3866d939-1134-4c1e-b1fd-0edd255bfc6f","","checklist-flat","pass","Bulk Excavation (V140421)","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Bulk Excavation"
"67e8d308-83a6-4211-b285-f316e85615b4","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 4","Tanking"
"d5a89879-7878-4e52-a3e7-b307bd42fad9","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 4","Tanking","Shoring Wall 1"
